 	les	aliments	gras	font	grossir	</S>
a66	0.28405	0.244455	0.390331	0.0531007	0.0213665	0.00669755
a87	0.61409	0.224557	0.104358	0.0261255	0.0170297	0.01384
a23	0.654525	0.227332	0.0874742	0.00969003	0.0102297	0.0107491
a83	0.56433	0.27501	0.0989432	0.0120459	0.0159461	0.033725
a54	0.313618	0.267318	0.159751	0.042334	0.0744506	0.142529
a6	0.140236	0.249411	0.369127	0.0875508	0.0880871	0.0655885
a54	0.106297	0.137725	0.577953	0.104385	0.0428602	0.0307795
a15	0.109738	0.123632	0.465504	0.160004	0.0822477	0.0588742
a79	0.0995165	0.104716	0.384016	0.202124	0.12012	0.089508
a92	0.146803	0.120478	0.37831	0.161116	0.0965292	0.0967638
a37	0.140257	0.0780954	0.337954	0.16194	0.13092	0.150833
a12	0.179186	0.0908963	0.401633	0.172333	0.0696229	0.0863285
a47	0.0725824	0.0382313	0.276057	0.31452	0.154143	0.144467
a88	0.0589656	0.026659	0.151257	0.319091	0.212756	0.231271
a38	0.0151242	0.00585679	0.0548726	0.198936	0.316592	0.408619
a93	0.00584061	0.00270082	0.0212809	0.141715	0.305548	0.522915
a70	0.00369048	0.00163683	0.0109776	0.0849132	0.208477	0.690305
a62	0.00071708	0.000361148	0.00162777	0.0197737	0.122951	0.854569
a0	0.000572508	0.000364059	0.00122161	0.0139215	0.116472	0.867448
a75	0.00109287	0.00044475	0.00265628	0.0216637	0.134873	0.83927
a92	0.000111347	6.49349e-05	0.000217923	0.00641361	0.0633374	0.929855
a56	7.31735e-05	2.79898e-05	0.000139693	0.00564925	0.0621506	0.931959
a93	0.000308356	0.000128808	0.000750884	0.0162067	0.0849069	0.897698
a4	0.00024709	0.000109378	0.000714586	0.01615	0.129201	0.853577
a13	0.000779234	0.000281356	0.00155036	0.0233612	0.1285	0.845528
a3	0.00339371	0.000967335	0.00927549	0.0964443	0.251128	0.638791
a87	0.211153	0.0670127	0.0716825	0.129916	0.173623	0.346613
a23	0.408394	0.199035	0.114354	0.092419	0.0854193	0.100379
a87	0.157751	0.0324595	0.0302468	0.04633	0.107516	0.625697
a97	0.014742	0.00270565	0.00331408	0.0253683	0.115464	0.838406
</S>	0.0468339	0.0124339	0.0139454	0.0600199	0.14243	0.724337
