 	le	chef	est	en	voyage	</S>
a87	0.36929	0.224811	0.159278	0.118331	0.076699	0.0515907
a85	0.289821	0.184087	0.163343	0.158708	0.112712	0.09133
a87	0.404223	0.250312	0.139447	0.0834339	0.0557892	0.0667948
a30	0.449589	0.248542	0.135566	0.0713971	0.0456532	0.0492522
a93	0.337941	0.241535	0.157503	0.110888	0.0783817	0.0737504
a13	0.501592	0.26721	0.118137	0.05155	0.0304369	0.0310743
a9	0.434506	0.275478	0.149087	0.0675159	0.0357553	0.0376576
a53	0.33308	0.246866	0.170516	0.0959694	0.0711625	0.0824058
a56	0.205934	0.167657	0.157265	0.132862	0.14215	0.194133
a34	0.203515	0.180253	0.177814	0.145325	0.136794	0.156298
a75	0.136808	0.14055	0.177053	0.178155	0.175598	0.191836
a34	0.102673	0.108021	0.129207	0.148626	0.206835	0.304638
a70	0.0401461	0.0558841	0.108918	0.196306	0.274902	0.323844
a75	0.040415	0.0536254	0.0995732	0.186333	0.273824	0.34623
a34	0.0384059	0.0477504	0.0776004	0.142123	0.262699	0.431421
a83	0.0106275	0.016162	0.0386119	0.122916	0.323154	0.488529
a54	0.00595165	0.00862782	0.0206427	0.0812809	0.282725	0.600772
a7	0.00364172	0.00570662	0.0150851	0.0670833	0.261831	0.646652
a26	0.00330485	0.00488548	0.0118131	0.0529479	0.218969	0.70808
a57	0.0218939	0.0198983	0.0270841	0.059803	0.205584	0.665737
a87	0.110879	0.0848748	0.0862674	0.117095	0.218623	0.382261
a23	0.108092	0.078057	0.0842673	0.142073	0.262315	0.325196
a87	0.0655187	0.0558779	0.0720863	0.148408	0.300661	0.357448
</S>	0.0390892	0.0385874	0.0580186	0.126922	0.289786	0.447596
