 	si	tu	fais	du	mal	aux	autres	tu	n'	auras	pas	une	longue	vie	</S>
a87	0.218852	0.172655	0.111922	0.0811766	0.0788479	0.0869707	0.06523	0.0463921	0.0335281	0.020058	0.0184462	0.0203175	0.0181359	0.0136287	0.0138393
a23	0.219784	0.159662	0.0904491	0.0528514	0.0443404	0.0363301	0.0295471	0.0250413	0.0272878	0.0257772	0.0422072	0.0483173	0.0582535	0.0724757	0.0676761
a87	0.093326	0.0910059	0.0870306	0.0765679	0.0725534	0.0689832	0.0593656	0.0480675	0.0466826	0.0390416	0.0474653	0.0458104	0.0541882	0.0690188	0.100893
a23	0.0895592	0.0822511	0.0856355	0.0780424	0.0663733	0.0638964	0.052326	0.0417653	0.0509968	0.0403269	0.0427109	0.0469329	0.0686726	0.0836089	0.106902
a79	0.0993739	0.105714	0.106595	0.0859913	0.0699221	0.0593835	0.0430915	0.0340811	0.0309595	0.0296155	0.0404915	0.0572461	0.083387	0.0746374	0.0795097
a20	0.263704	0.242443	0.153743	0.0960517	0.0581507	0.0409448	0.0233093	0.0159858	0.0113325	0.00970981	0.0114219	0.0147657	0.0216384	0.0178873	0.0189127
a36	0.203932	0.199551	0.174249	0.129565	0.081775	0.0541612	0.0325744	0.023216	0.0205795	0.0150537	0.0139674	0.015099	0.017259	0.0103497	0.00866871
a37	0.144866	0.153169	0.145712	0.125288	0.0916636	0.0671996	0.047577	0.0369631	0.0405165	0.0310977	0.0257253	0.0241751	0.0279525	0.0207131	0.0173812
a56	0.106535	0.122654	0.128156	0.120651	0.097611	0.0778366	0.0620194	0.0506865	0.0598196	0.0461432	0.0337331	0.0266731	0.0261206	0.0210837	0.0202776
a34	0.066162	0.079095	0.101205	0.11243	0.106074	0.098233	0.0867487	0.0727171	0.0797903	0.0648612	0.0387548	0.0240583	0.0218805	0.0222787	0.0257114
a56	0.0519243	0.0597689	0.0837861	0.1014	0.104216	0.103412	0.0965424	0.0823763	0.0943677	0.0783648	0.0445769	0.0263903	0.0236989	0.0242169	0.0249573
a13	0.0359182	0.0373539	0.0548289	0.0758782	0.0936832	0.106178	0.10726	0.0956757	0.115258	0.098761	0.0560854	0.0328352	0.0296252	0.0308958	0.029763
a9	0.0210361	0.0212911	0.0323744	0.0487641	0.0691195	0.092567	0.110437	0.110051	0.152724	0.11363	0.065812	0.0436338	0.0392038	0.0382201	0.0411356
a38	0.00656722	0.00779054	0.0127248	0.0209584	0.039724	0.0720107	0.112769	0.136109	0.168774	0.139488	0.0820619	0.054348	0.0462822	0.0473236	0.0530681
a75	0.00670532	0.00788413	0.0101194	0.014471	0.0280123	0.0552153	0.0929944	0.122783	0.169176	0.169651	0.0967415	0.0580791	0.0494534	0.0527108	0.0660029
a34	0.0209357	0.0242135	0.0288281	0.0384309	0.0568413	0.0846096	0.0946083	0.0863803	0.0997787	0.114123	0.0934021	0.0610357	0.0579971	0.0697637	0.0690516
a92	0.0164762	0.0172387	0.0207785	0.0290678	0.0490009	0.0851301	0.115174	0.111609	0.146453	0.144308	0.0947249	0.054447	0.0424503	0.0380014	0.0351403
a66	0.0254826	0.0289324	0.0315343	0.039222	0.0504174	0.0740666	0.0957012	0.0921739	0.114892	0.118524	0.0942807	0.061113	0.0567764	0.0636351	0.0532485
a38	0.00661991	0.00778123	0.00934321	0.0131287	0.0225364	0.0478543	0.0974131	0.131009	0.199214	0.176921	0.101602	0.060305	0.0423843	0.0388056	0.0450826
a75	0.00535466	0.00650974	0.00772742	0.0107772	0.0185677	0.0392779	0.08679	0.128394	0.200903	0.186911	0.112888	0.0664459	0.0457899	0.0407818	0.0428821
a85	0.0122083	0.0136078	0.0142612	0.0186722	0.026059	0.0416911	0.0690074	0.0847207	0.123424	0.134516	0.112353	0.0743788	0.0741673	0.100801	0.100132
