 	j'	ai	mangé	un	morceau	de	pain	avec	le	miel	</S>
a66	0.213754	0.140574	0.0801471	0.0528134	0.0567008	0.0761689	0.0969619	0.0942679	0.0798705	0.0671649	0.041576
a87	0.270452	0.156834	0.10639	0.0799053	0.067672	0.0833859	0.0883557	0.0544628	0.0408168	0.0353803	0.0163448
a23	0.321384	0.281052	0.19427	0.0831317	0.0469394	0.0234278	0.0197445	0.00664894	0.00639519	0.00851347	0.00849303
a18	0.344446	0.242423	0.142185	0.0713038	0.0567451	0.0483829	0.0342164	0.0158393	0.0126842	0.0174613	0.0143134
a50	0.301461	0.198266	0.122574	0.0692957	0.0676278	0.0515291	0.0399665	0.0266868	0.0284623	0.0476921	0.0464391
a88	0.252445	0.173917	0.110305	0.071387	0.0690735	0.0477681	0.0390453	0.0331566	0.0347433	0.0730754	0.0950838
a24	0.168544	0.166755	0.132354	0.122536	0.119711	0.0620587	0.0446442	0.0356094	0.0338996	0.0522298	0.0616587
a62	0.0801135	0.105227	0.130215	0.161379	0.170805	0.0870915	0.0606016	0.0481428	0.0403304	0.0570766	0.0590175
a70	0.0376981	0.0633313	0.132991	0.169488	0.184426	0.0975267	0.0666964	0.0554861	0.0470147	0.0698781	0.0754635
a83	0.0344578	0.0513701	0.101138	0.150379	0.188534	0.108965	0.0801875	0.0666601	0.0548408	0.0770387	0.0864296
a54	0.0296996	0.0415246	0.0872098	0.145769	0.195619	0.118616	0.0883501	0.0690143	0.0560192	0.0752398	0.0929375
a44	0.0244397	0.0324211	0.071089	0.13071	0.189729	0.134615	0.111358	0.0756767	0.0580243	0.0775046	0.0944327
a70	0.0283497	0.0313746	0.0526408	0.105947	0.174079	0.156376	0.133243	0.0823175	0.0588561	0.075933	0.100884
a54	0.0119085	0.0123336	0.0204854	0.0457284	0.1014	0.160753	0.15576	0.109216	0.0804605	0.122664	0.17929
a44	0.0170726	0.0159927	0.0192894	0.035938	0.0668632	0.143035	0.173708	0.148865	0.103909	0.11994	0.155387
a54	0.0111925	0.0101848	0.0127679	0.0261038	0.056552	0.135605	0.170189	0.145585	0.103618	0.136371	0.191832
a73	0.0119504	0.0103056	0.0107802	0.0194966	0.0363362	0.100157	0.168362	0.16601	0.129059	0.15222	0.195323
a84	0.0102752	0.00851975	0.0081704	0.0133025	0.021422	0.070321	0.14481	0.169426	0.146004	0.192434	0.215315
a40	0.00116912	0.00122225	0.00148964	0.00254083	0.00430592	0.0154569	0.0473916	0.105303	0.137707	0.300627	0.382786
a54	0.00582351	0.00413847	0.0040007	0.00606229	0.00874455	0.0186662	0.0426286	0.0956734	0.124505	0.284385	0.405372
a37	0.00281201	0.00230112	0.00244759	0.00367845	0.0053754	0.0136806	0.0412464	0.0943345	0.122364	0.290719	0.421041
a44	0.000497042	0.000418419	0.000418385	0.000705176	0.00130968	0.0052645	0.0141935	0.0478137	0.0791429	0.293139	0.557098
a11	0.000753086	0.000602975	0.000505068	0.000878491	0.0016568	0.00668734	0.0161448	0.0543378	0.0856602	0.286777	0.545997
a4	0.000504574	0.000401923	0.000317321	0.000498863	0.000826692	0.00304311	0.0067917	0.0284815	0.0583201	0.260167	0.640647
a99	0.000357305	0.000292072	0.000222634	0.00040441	0.000718326	0.00283315	0.00705605	0.0298811	0.0606015	0.237334	0.660299
a9	0.00012788	0.000103937	9.53997e-05	0.000153937	0.000267975	0.00163102	0.00477603	0.0255895	0.0607899	0.251432	0.655032
a99	0.000431699	0.00031865	0.000302549	0.000450031	0.000628275	0.00245636	0.00704674	0.0349743	0.0873216	0.263524	0.602545
a82	0.00900664	0.00531684	0.00365857	0.00377198	0.00404528	0.00971035	0.0184362	0.0504405	0.110217	0.280215	0.505182
a99	0.0887607	0.0581119	0.0332192	0.0223773	0.0178743	0.0252432	0.0416347	0.0779557	0.129592	0.217744	0.287487
a87	0.107392	0.0770902	0.0495831	0.0346321	0.0290014	0.0388245	0.0697312	0.108145	0.142752	0.160882	0.181966
a23	0.105427	0.0859686	0.0674136	0.0450953	0.0333198	0.042406	0.087926	0.11987	0.134598	0.137417	0.140559
a87	0.145115	0.108563	0.0750482	0.0524867	0.0333692	0.0429579	0.0636535	0.0979709	0.119143	0.13055	0.131142
a23	0.10171	0.0919945	0.0592667	0.04031	0.0279887	0.0497099	0.0718703	0.0974386	0.122856	0.155384	0.181471
a97	0.112584	0.111183	0.0796417	0.0502229	0.0310191	0.0473375	0.0725636	0.101344	0.123784	0.129045	0.141276
</S>	0.124456	0.0952602	0.0553493	0.0397924	0.0317696	0.0641263	0.0680336	0.0865437	0.106321	0.139513	0.188835
