 	il	est	mort	son	âme	est	partie	</S>
a10	0.239736	0.165846	0.122381	0.135934	0.148443	0.0890243	0.0555213	0.0431148
a87	0.244921	0.149921	0.130962	0.123306	0.120339	0.0866109	0.0732135	0.0707258
a23	0.28719	0.172304	0.131298	0.110085	0.0876398	0.0723166	0.067773	0.0713937
a79	0.183029	0.164893	0.177334	0.163778	0.133598	0.0723017	0.0537875	0.0512786
a20	0.360808	0.242413	0.127935	0.0955169	0.0683842	0.0383924	0.0320948	0.0344549
a30	0.373721	0.24729	0.126503	0.0958813	0.0688456	0.0387662	0.0266075	0.0223859
a35	0.282455	0.228335	0.157388	0.133505	0.102494	0.0500817	0.0268098	0.0189323
a94	0.241814	0.218164	0.168722	0.145484	0.113294	0.0596316	0.0319642	0.0209267
a62	0.231273	0.218625	0.170277	0.144439	0.110643	0.0621914	0.0367795	0.0257721
a32	0.210524	0.212612	0.167218	0.146377	0.119303	0.0696666	0.0434737	0.030826
a75	0.125051	0.159822	0.173721	0.173337	0.162024	0.096094	0.0626098	0.0473418
a73	0.154803	0.178849	0.163758	0.151619	0.136267	0.0946227	0.068646	0.0514352
a76	0.111283	0.13416	0.138938	0.144066	0.155675	0.124045	0.102595	0.0892377
a14	0.107506	0.115751	0.121406	0.130352	0.142107	0.131992	0.127325	0.123561
a73	0.0851567	0.0948485	0.104152	0.122689	0.139268	0.138753	0.152427	0.162706
a57	0.0726756	0.0815363	0.0937199	0.111352	0.139528	0.149162	0.170799	0.181227
a87	0.0391042	0.0475305	0.0714798	0.0916817	0.15784	0.175114	0.201866	0.215384
a23	0.0402602	0.0519056	0.0720612	0.0877196	0.12274	0.149532	0.213787	0.261994
a4	0.0355346	0.0414204	0.0608158	0.072314	0.101829	0.134245	0.225083	0.328758
a93	0.0469372	0.0491901	0.0566102	0.0607992	0.0936654	0.145642	0.226219	0.320937
a35	0.0292092	0.0292808	0.0339232	0.0386843	0.0723572	0.132542	0.246197	0.417806
a26	0.0264097	0.0236001	0.0295217	0.0331449	0.0559583	0.1087	0.244001	0.478664
a24	0.00903938	0.00998902	0.0173066	0.0254809	0.0540324	0.106643	0.249977	0.527532
a35	0.00964795	0.0104174	0.0168685	0.0231454	0.0439373	0.0869148	0.230799	0.578269
a98	0.00696498	0.0070751	0.0112616	0.0151164	0.0300394	0.0719653	0.231723	0.625854
a14	0.00472713	0.00489843	0.00893248	0.0128492	0.0281695	0.072655	0.236698	0.63107
a73	0.004751	0.00519472	0.00854944	0.0119883	0.0292767	0.0843841	0.260173	0.595683
a90	0.00478175	0.00538536	0.0103104	0.0147528	0.0382499	0.0954389	0.258263	0.572818
a15	0.00463371	0.0050214	0.0106907	0.0156163	0.0453123	0.106287	0.261778	0.550661
a73	0.00343434	0.00379655	0.00871739	0.0130469	0.0414578	0.101422	0.261356	0.566769
a57	0.00852849	0.00795993	0.0153234	0.02233	0.0637995	0.11366	0.243787	0.524612
a87	0.0499897	0.0457822	0.0604858	0.0678722	0.101496	0.114666	0.190217	0.369491
a23	0.0996138	0.0921488	0.0889395	0.0927798	0.107538	0.11593	0.158047	0.245003
a10	0.127016	0.111661	0.0796924	0.0751495	0.0777514	0.102564	0.165875	0.260292
a53	0.0603773	0.0542339	0.0583516	0.0656616	0.0829178	0.122238	0.212972	0.343248
a70	0.0178924	0.0159334	0.0245558	0.0392216	0.0927285	0.163296	0.252929	0.393443
a34	0.0126952	0.0121145	0.0210015	0.0323168	0.0768371	0.156698	0.272604	0.415733
a43	0.00484074	0.00557951	0.0106701	0.0175429	0.0486988	0.129366	0.283807	0.499495
a25	0.00356046	0.00422203	0.00822041	0.0129566	0.0372771	0.0982031	0.251602	0.583959
a76	0.00477701	0.0051478	0.00957217	0.0139522	0.0315328	0.0744518	0.220285	0.640281
a90	0.00510848	0.00546743	0.00954353	0.0138977	0.0340329	0.0857441	0.240264	0.605942
a13	0.00137739	0.0018839	0.00402293	0.00657187	0.0198934	0.0662284	0.227061	0.672961
a38	0.00245069	0.00301717	0.0060561	0.00940347	0.022188	0.0597673	0.205203	0.691914
a90	0.00447042	0.00498739	0.01051	0.015082	0.0313459	0.0676895	0.209349	0.656565
a69	0.00475796	0.00525897	0.0103544	0.0160039	0.0413855	0.092073	0.240671	0.589495
a84	0.00421491	0.0044898	0.00826724	0.0127732	0.0335153	0.0807265	0.226966	0.629047
a57	0.0166304	0.0189929	0.0347173	0.0428204	0.0653617	0.0976217	0.215187	0.508669
a87	0.0595812	0.0523532	0.0596265	0.0615022	0.0695651	0.0863068	0.187385	0.42368
</S>	0.0599555	0.0530315	0.0499906	0.0547312	0.0658016	0.0986311	0.203083	0.414776
