 	la	panthère	a	attrapé	le	cabri	</S>
a23	0.472778	0.310613	0.100734	0.0464875	0.0296908	0.0202363	0.0194595
a83	0.442013	0.305536	0.129426	0.0483392	0.0260596	0.0231254	0.025501
a70	0.276509	0.265904	0.174907	0.0941862	0.0627034	0.0569158	0.0688752
a13	0.352859	0.327141	0.176207	0.0755393	0.0329951	0.0200302	0.0152281
a53	0.316175	0.315661	0.217759	0.0833105	0.028087	0.02058	0.0184286
a54	0.181445	0.19622	0.213308	0.154491	0.0773983	0.0815749	0.0955629
a41	0.146823	0.146779	0.160827	0.132862	0.100074	0.134045	0.178589
a27	0.139194	0.141375	0.201703	0.154767	0.101781	0.116101	0.145079
a40	0.142552	0.134718	0.200049	0.163023	0.108323	0.11294	0.138394
a41	0.0508708	0.0458042	0.0777303	0.109208	0.148282	0.233225	0.33488
a35	0.0765479	0.0635596	0.103383	0.140778	0.165038	0.200038	0.250655
a27	0.101705	0.0795073	0.118389	0.159624	0.162227	0.170804	0.207744
a38	0.0921785	0.0599011	0.0724256	0.0954613	0.133421	0.202678	0.343935
a24	0.0788503	0.0520998	0.0552242	0.078433	0.139339	0.229141	0.366913
a41	0.0546097	0.0344922	0.039417	0.0576295	0.114502	0.251922	0.447428
a35	0.0239577	0.0162279	0.016432	0.0300219	0.0915852	0.261445	0.56033
a76	0.0222231	0.0145191	0.0170619	0.0341459	0.104288	0.281614	0.526148
a41	0.0317705	0.018965	0.0181581	0.0344984	0.112438	0.298726	0.485444
a32	0.0240406	0.014141	0.0183987	0.0377672	0.122846	0.316422	0.466385
a24	0.0115191	0.00707128	0.00896421	0.0199179	0.069387	0.255037	0.628103
a9	0.0182161	0.00859613	0.00977578	0.0178886	0.0543481	0.22081	0.670366
a87	0.0044828	0.00412034	0.00518468	0.0130266	0.0510465	0.219535	0.702605
</S>	0.00578979	0.00353843	0.00364009	0.0111901	0.0623571	0.243495	0.669989
