 	j'	ai	rêvé	de	toi	hier	</S>
a66	0.436145	0.180671	0.102879	0.10428	0.0916769	0.0523347	0.032013
a87	0.21666	0.149341	0.269018	0.222461	0.0874687	0.0295119	0.02554
a23	0.510993	0.344458	0.0795841	0.0265748	0.0167008	0.00931915	0.0123697
a18	0.399867	0.398914	0.132229	0.026343	0.0139984	0.0117414	0.0169063
a50	0.37004	0.317099	0.12896	0.0626355	0.0401112	0.033901	0.0472536
a31	0.429584	0.285497	0.165078	0.058806	0.0274012	0.0160747	0.0175594
a61	0.258472	0.392561	0.263692	0.0560079	0.0146534	0.00770815	0.00690505
a75	0.169048	0.342482	0.394863	0.0632905	0.0161934	0.00801094	0.00611174
a92	0.124455	0.257999	0.46629	0.103412	0.0274959	0.0125711	0.00777646
a75	0.105939	0.245257	0.449875	0.118637	0.0464544	0.0210531	0.0127851
a34	0.0744582	0.137799	0.359911	0.179201	0.1243	0.0741396	0.050191
a75	0.110318	0.115674	0.217819	0.249947	0.171193	0.0747058	0.0603434
a85	0.0298518	0.0341449	0.121807	0.288637	0.243441	0.150586	0.131531
a47	0.00946413	0.00856818	0.0386522	0.19965	0.27958	0.223473	0.240613
a36	0.00355831	0.00221663	0.00992917	0.0687147	0.239645	0.285303	0.390633
a7	0.00299161	0.00166952	0.003598	0.018984	0.0890449	0.284472	0.59924
a44	0.00231838	0.00141214	0.00289617	0.0112185	0.0464619	0.246011	0.689682
a69	0.000772185	0.000470418	0.00225272	0.0138675	0.0635394	0.300089	0.619009
a58	0.000507778	0.000323393	0.001453	0.0112752	0.0627767	0.306201	0.617463
a82	0.00167961	0.00138916	0.00517585	0.0234551	0.0850254	0.242754	0.640521
a87	0.139686	0.0614835	0.0612167	0.0798484	0.135618	0.215862	0.306285
a23	0.464171	0.259124	0.140775	0.0440054	0.0323017	0.0273934	0.0322291
a87	0.11389	0.0594693	0.0572692	0.0761364	0.153978	0.264108	0.275149
</S>	0.00762468	0.00526483	0.0129418	0.0398678	0.133416	0.310393	0.490492
