 	mon	petit	frère	m'	a	montré	l'	endroit	où	maman	a	gardé	ma	nourriture	</S>
a66	0.109967	0.0950303	0.0862968	0.0946306	0.205611	0.205901	0.0552823	0.0562922	0.0292421	0.0151772	0.0119584	0.00774195	0.00870314	0.00897468	0.00919105
a87	0.310859	0.185552	0.0888874	0.0814512	0.108757	0.12912	0.0257641	0.0163903	0.00687535	0.00347426	0.00453328	0.00408167	0.00754044	0.0130516	0.0136615
a23	0.457413	0.239912	0.0984433	0.0845852	0.0613733	0.0347863	0.00507696	0.00420676	0.00161703	0.000725259	0.00080789	0.000779869	0.00154264	0.00379339	0.00493677
a87	0.524969	0.237667	0.0736224	0.065472	0.0305515	0.0135936	0.00431792	0.00296824	0.0025283	0.00252027	0.00329722	0.00379252	0.00545316	0.0119968	0.0172503
a23	0.436864	0.273205	0.103504	0.0770875	0.0443693	0.0245865	0.00769936	0.00502873	0.00313561	0.00277735	0.00323322	0.00300512	0.00373964	0.00541477	0.00635036
a30	0.419758	0.235933	0.0761364	0.0679162	0.040295	0.027921	0.0118532	0.0113279	0.0113608	0.0107629	0.0125612	0.012347	0.0153445	0.0224476	0.024035
a99	0.348946	0.17707	0.0875179	0.0713583	0.0591303	0.0442903	0.0281994	0.0252747	0.025022	0.0174985	0.0177838	0.0184556	0.0232458	0.0286426	0.0275644
a83	0.211573	0.124675	0.0729943	0.0551834	0.0628672	0.0910143	0.0515755	0.0673535	0.0520944	0.0291748	0.0279973	0.0285711	0.0390935	0.0458722	0.0399601
a34	0.207469	0.138463	0.0709633	0.0526216	0.0484103	0.109178	0.0563463	0.0977755	0.051529	0.0230352	0.0220776	0.0169458	0.0283808	0.0427189	0.0340861
a98	0.114463	0.0946676	0.0685346	0.0615511	0.0680053	0.150551	0.0986973	0.107472	0.0638123	0.0354291	0.029272	0.0198623	0.0279972	0.0349681	0.0247179
a6	0.0395135	0.0419583	0.0390164	0.0377541	0.0598704	0.163603	0.12906	0.118474	0.0804191	0.0569331	0.0553091	0.0355844	0.0477837	0.055613	0.0391088
a92	0.0506646	0.0558614	0.0601197	0.0581901	0.0744838	0.143296	0.16139	0.10345	0.0650057	0.0498654	0.0432701	0.0288442	0.0310848	0.0391605	0.0353135
a85	0.0605997	0.0628748	0.0662094	0.0675658	0.0839332	0.142494	0.134614	0.0968636	0.0636652	0.0550805	0.0455184	0.0291924	0.0265879	0.0328063	0.0319946
a5	0.0421967	0.0480966	0.0537363	0.0518441	0.0669984	0.107476	0.141743	0.119238	0.078191	0.0756059	0.0683668	0.0442232	0.0348788	0.0345736	0.0328319
a0	0.0577272	0.067157	0.0813172	0.0755171	0.0873978	0.144935	0.168336	0.0989369	0.0530393	0.0409972	0.0322424	0.02286	0.0203517	0.0238386	0.0253465
a70	0.0407484	0.0475141	0.0667004	0.0581489	0.0716366	0.0867694	0.172856	0.115486	0.0871846	0.0626817	0.0487653	0.0332075	0.0319072	0.0364696	0.0399245
a83	0.0190788	0.0222179	0.0399522	0.0369079	0.058139	0.061112	0.101051	0.0927198	0.105114	0.101299	0.0766697	0.0594712	0.0625767	0.0739821	0.0897083
a62	0.019365	0.0215194	0.0402795	0.0354373	0.0574059	0.0611403	0.0859961	0.0900719	0.12547	0.12246	0.084814	0.0633194	0.0613777	0.0628729	0.0684709
a96	0.0140662	0.0154573	0.0262192	0.0236998	0.0368956	0.0427414	0.0769858	0.0952718	0.134305	0.135388	0.0987912	0.0702674	0.0700114	0.0762323	0.0836681
a62	0.0092386	0.0103672	0.0179899	0.0162858	0.0229716	0.0254194	0.0543488	0.0802569	0.132659	0.150052	0.121313	0.0934199	0.083586	0.084938	0.0971539
a47	0.0107058	0.0118192	0.0189185	0.0180989	0.0231692	0.0250369	0.0586156	0.0777595	0.11743	0.145189	0.131604	0.0978649	0.0862602	0.0863017	0.0912266
a96	0.010596	0.011958	0.0192074	0.0171957	0.0205717	0.0235811	0.0417951	0.0570408	0.0963799	0.13759	0.126385	0.114008	0.110413	0.105869	0.107409
