 	je	pense	à	ma	mère	</S>
a66	0.493882	0.197635	0.11938	0.0821715	0.058251	0.0486802
a87	0.253441	0.162255	0.144999	0.147226	0.143305	0.148774
a97	0.317366	0.196594	0.143603	0.119694	0.118955	0.103787
a23	0.329164	0.201937	0.144055	0.119788	0.112546	0.0925097
a79	0.377434	0.28126	0.150497	0.0822975	0.0594712	0.0490407
a75	0.582302	0.225928	0.0801709	0.0386097	0.0356574	0.0373321
a5	0.395322	0.293855	0.14326	0.0691918	0.0503229	0.0480487
a61	0.348369	0.316542	0.128048	0.0727938	0.0610581	0.0731895
a43	0.421279	0.268573	0.120304	0.0728582	0.056419	0.0605671
a75	0.171794	0.21607	0.178453	0.150572	0.132843	0.150269
a92	0.120432	0.190022	0.181625	0.184583	0.156929	0.166409
a37	0.0610349	0.137368	0.186051	0.226906	0.194157	0.194484
a25	0.0175393	0.0471441	0.100562	0.205344	0.278587	0.350824
a90	0.00307947	0.0188578	0.0617382	0.186745	0.294065	0.435515
a94	0.00163995	0.00996903	0.0366974	0.14056	0.286386	0.524748
a93	0.000646023	0.00396286	0.0173359	0.108291	0.311596	0.558168
a4	0.000451096	0.0028162	0.01287	0.0951028	0.301852	0.586908
a57	0.0014637	0.00739429	0.0323147	0.139937	0.320342	0.498548
a3	0.00264747	0.00854054	0.0493273	0.169653	0.34156	0.428271
a97	0.0387287	0.0353386	0.0902929	0.157401	0.317562	0.360677
a3	0.180927	0.113566	0.163126	0.170209	0.186545	0.185627
a97	0.0676908	0.0370218	0.072762	0.147344	0.278332	0.39685
a10	0.0332052	0.0195221	0.0410968	0.133913	0.302817	0.469446
a99	0.0169925	0.0142366	0.0345157	0.121755	0.276477	0.536024
a97	0.00597749	0.00817285	0.0249073	0.097112	0.251652	0.612178
a9	0.0085109	0.0153058	0.0434776	0.122695	0.262631	0.54738
</S>	0.0149324	0.0213471	0.0572923	0.14155	0.273455	0.491423
