 	retire	l'	aiguillon	de	l'	abeille	qui	est	enfoncé	dans	mon	bras	</S>
a10	0.131445	0.120429	0.116838	0.128846	0.157317	0.157981	0.0709632	0.0450975	0.0234187	0.0155879	0.012355	0.0100167	0.00970595
a87	0.124772	0.101871	0.0846595	0.0651923	0.0508648	0.0432439	0.0361163	0.0375502	0.0514044	0.0744556	0.0950415	0.109101	0.125727
a23	0.210609	0.172222	0.127904	0.0931779	0.0593371	0.047932	0.0311163	0.0277969	0.0304144	0.0323408	0.0393258	0.0543936	0.07343
a13	0.133198	0.182674	0.185008	0.105072	0.0965546	0.076609	0.0469089	0.0349662	0.0237585	0.0262016	0.0273916	0.0291604	0.0324965
a62	0.26924	0.262853	0.161592	0.100347	0.0836506	0.0516189	0.0230235	0.0156418	0.0072833	0.00602312	0.00554225	0.00653346	0.00665131
a24	0.2954	0.224621	0.156317	0.0990181	0.0834972	0.0640862	0.0336702	0.0216828	0.00890882	0.00442832	0.00291084	0.00278006	0.00267855
a26	0.240053	0.204105	0.155177	0.11749	0.106219	0.0825267	0.0427029	0.026016	0.0104359	0.00505894	0.00348562	0.00339785	0.00333266
a35	0.158293	0.207806	0.181265	0.132738	0.110727	0.0774279	0.0499766	0.0283062	0.0143568	0.00920502	0.00867777	0.00988361	0.0113369
a76	0.156818	0.169612	0.158684	0.138518	0.120101	0.0962108	0.0709175	0.0437446	0.0173213	0.00859941	0.00645776	0.00654203	0.00647438
a94	0.162973	0.152419	0.147328	0.135705	0.121426	0.0949606	0.0798052	0.0509574	0.022236	0.0110057	0.00744155	0.00697756	0.0067643
a54	0.108644	0.152283	0.150779	0.140448	0.130699	0.112395	0.092448	0.0569701	0.0220131	0.01029	0.00762598	0.00742442	0.0079807
a14	0.0684643	0.125485	0.149604	0.149803	0.13525	0.118072	0.0987344	0.0620295	0.0293842	0.0175337	0.0139148	0.0150768	0.0166485
a35	0.0730191	0.123149	0.128994	0.142868	0.124704	0.122654	0.101482	0.0701045	0.0370927	0.0237534	0.0173204	0.0172544	0.0176041
a75	0.0618179	0.111029	0.118184	0.129386	0.114273	0.132966	0.119238	0.0821958	0.0438098	0.0257673	0.0191279	0.0198115	0.0223928
a35	0.0509697	0.0935823	0.0953709	0.118891	0.11502	0.13102	0.120748	0.0877233	0.0466377	0.0346127	0.0311962	0.0358117	0.0384169
