 	ce	jeune	garçon	a	une	plaie	à	la	tête	</S>
a15	0.442846	0.20945	0.10337	0.0592682	0.0428755	0.0408584	0.0364638	0.0254972	0.0211944	0.0181755
a66	0.177496	0.126067	0.0844384	0.0784066	0.0860412	0.115811	0.0994712	0.0806544	0.0802662	0.0713471
a87	0.444725	0.166434	0.0730686	0.0482285	0.0370924	0.0434301	0.0400861	0.0447883	0.0516792	0.050468
a23	0.333323	0.192544	0.0881129	0.0530729	0.0366796	0.0540291	0.0517653	0.062437	0.0668085	0.0612284
a53	0.256583	0.16177	0.101544	0.0777661	0.0584217	0.0686584	0.0621326	0.0716833	0.0716849	0.0697563
a79	0.469704	0.240372	0.107568	0.0624316	0.0325284	0.0236151	0.0184897	0.0152524	0.0148826	0.0151563
a75	0.247483	0.276302	0.209153	0.1366	0.0583544	0.0246831	0.0150818	0.0103603	0.0109371	0.0110455
a85	0.100579	0.175091	0.217609	0.22366	0.127215	0.059323	0.0357493	0.0214109	0.0200036	0.0193588
a47	0.11857	0.183166	0.221899	0.198097	0.114263	0.0575951	0.0383866	0.0242463	0.0226924	0.0210841
a7	0.064325	0.118766	0.189824	0.210886	0.160727	0.0846343	0.0530172	0.0363257	0.0400098	0.0414844
a90	0.0788804	0.105384	0.138271	0.160226	0.149044	0.106753	0.0746354	0.058546	0.0624441	0.0658159
a92	0.0565658	0.082375	0.10421	0.131178	0.164424	0.132799	0.101622	0.0748024	0.0744858	0.0775388
a56	0.0203353	0.0276676	0.0451214	0.0749733	0.137584	0.167682	0.159164	0.128161	0.120676	0.118636
a96	0.0192211	0.0192831	0.0241241	0.0336236	0.0752178	0.136125	0.174143	0.166805	0.170907	0.18055
a70	0.0137552	0.0135904	0.0176545	0.0241874	0.0520733	0.115438	0.179458	0.199652	0.1948	0.189391
a66	0.00581535	0.00553523	0.00820985	0.0132425	0.0308302	0.0786401	0.152607	0.213511	0.247919	0.243689
a13	0.00302213	0.00235539	0.00221321	0.00334649	0.00831133	0.0265399	0.0716417	0.17202	0.312182	0.398368
a99	0.00219149	0.00157278	0.00150584	0.00250259	0.00657706	0.0223042	0.0699015	0.181705	0.310573	0.401167
a87	0.00509593	0.00391586	0.00433173	0.00622504	0.0122585	0.0309011	0.0743814	0.172071	0.276663	0.414157
a23	0.0778476	0.0391962	0.0254747	0.0209385	0.0306039	0.0646968	0.114474	0.175789	0.207187	0.243793
a99	0.0162284	0.00717229	0.00501617	0.00531863	0.00983212	0.0307814	0.0822707	0.225971	0.319538	0.297871
a97	0.00799891	0.00431563	0.00371085	0.00597166	0.0134461	0.0428029	0.104488	0.225516	0.296808	0.294943
</S>	0.00430074	0.00271389	0.00293467	0.00450814	0.0108104	0.0392421	0.0884909	0.205221	0.305317	0.336461
