 	cette	année	les	régimes	de	bananes	sont	gros	</S>
a23	0.250787	0.146024	0.145703	0.155583	0.1327	0.0793285	0.0360587	0.0263611	0.0274547
a5	0.389728	0.142651	0.0943105	0.0963955	0.0817001	0.0599419	0.0458165	0.0446268	0.0448294
a94	0.406995	0.238812	0.159779	0.0672662	0.023869	0.0255146	0.0244275	0.0255359	0.0278009
a79	0.452106	0.246449	0.17459	0.0641455	0.0224557	0.0147182	0.00903496	0.00823673	0.00826404
a20	0.400875	0.207663	0.185674	0.0968257	0.0390826	0.0224989	0.0160338	0.0152077	0.0161388
a41	0.308129	0.178091	0.221248	0.136852	0.0608625	0.0348697	0.0232508	0.0181982	0.0185
a35	0.263355	0.222218	0.215902	0.131993	0.0657653	0.0366798	0.0247799	0.0191954	0.0201122
a85	0.162429	0.218002	0.218947	0.157686	0.0913764	0.0574476	0.0385638	0.0264285	0.0291195
a41	0.0622673	0.107589	0.164927	0.185137	0.134038	0.106219	0.0861071	0.0728734	0.0808414
a24	0.0519903	0.0973463	0.135047	0.184956	0.14184	0.108122	0.0867203	0.0841596	0.109818
a41	0.0753655	0.107831	0.10735	0.154736	0.148745	0.103048	0.0807398	0.0903173	0.131867
a40	0.119555	0.187564	0.157752	0.164293	0.129603	0.0713428	0.0484527	0.0512385	0.0701996
a14	0.0642309	0.106425	0.106008	0.155978	0.148735	0.103702	0.0796686	0.0932831	0.14197
a27	0.0845923	0.106138	0.116767	0.154474	0.16408	0.110843	0.0778442	0.0788378	0.106424
a57	0.0999622	0.101712	0.114631	0.111021	0.131071	0.107061	0.0732223	0.0927492	0.168569
a76	0.020167	0.0296518	0.0415305	0.0649816	0.104276	0.147081	0.137477	0.181699	0.273136
a41	0.0843495	0.0887849	0.0920173	0.0792011	0.081849	0.0904699	0.109527	0.149248	0.224553
a44	0.0288582	0.0383512	0.0541737	0.0868702	0.122616	0.159349	0.162303	0.165493	0.181986
a38	0.0288386	0.0353954	0.0420865	0.0467698	0.0663576	0.110515	0.144951	0.217114	0.307972
a75	0.0253461	0.0262142	0.0324148	0.0347187	0.0464419	0.0908341	0.137588	0.237265	0.369178
a41	0.0328214	0.0340637	0.0397757	0.0435951	0.0621983	0.119354	0.165821	0.22867	0.273701
a35	0.0194803	0.0183152	0.0232744	0.0259893	0.0454519	0.100156	0.163578	0.283249	0.320506
a41	0.04128	0.0385205	0.0393915	0.0369188	0.0519342	0.105428	0.160472	0.243353	0.282702
a96	0.0405829	0.0310665	0.0337942	0.0327103	0.0451871	0.094935	0.156002	0.265783	0.299939
a21	0.0227567	0.0280401	0.0265494	0.0262537	0.0266558	0.0486529	0.0999659	0.259172	0.461953
a12	0.0193317	0.018796	0.017446	0.0174069	0.0221099	0.0438748	0.0960786	0.280097	0.48486
a18	0.0265026	0.0259283	0.0219389	0.0212759	0.0274073	0.0493948	0.0958652	0.252265	0.479422
a27	0.0191761	0.0200662	0.0202744	0.0194389	0.0230522	0.0401251	0.0854545	0.240202	0.532211
a82	0.0183743	0.0194055	0.0145154	0.013689	0.0203231	0.0376996	0.0777393	0.213688	0.584566
a87	0.0142347	0.0118181	0.00609008	0.00505201	0.0102587	0.0317151	0.0838774	0.240037	0.596917
</S>	0.030948	0.0246648	0.0176317	0.0159617	0.0357905	0.0729376	0.109257	0.221743	0.471066
