 	on	ne	peut	pas	parler	avec	lui	il	est	borné	</S>
a23	0.208344	0.138259	0.131739	0.154863	0.136767	0.0818185	0.0611004	0.0345815	0.0203439	0.0138933	0.0182901
a66	0.316059	0.217981	0.15841	0.114478	0.0686234	0.0393927	0.0251076	0.0134247	0.0104202	0.0128494	0.0232537
a10	0.205769	0.182267	0.165177	0.126234	0.0808319	0.0586905	0.0375319	0.0240204	0.0225965	0.0319483	0.0649332
a87	0.211313	0.180868	0.144479	0.116695	0.087016	0.0621061	0.0415011	0.02533	0.0271481	0.0352584	0.0682846
a23	0.231141	0.187358	0.150759	0.124583	0.097811	0.0628285	0.0403302	0.0230471	0.0242161	0.0240549	0.0338711
a61	0.299542	0.209707	0.157104	0.11821	0.0678696	0.0314832	0.0180265	0.0123526	0.0155847	0.022743	0.047377
a32	0.357905	0.222218	0.135979	0.0854313	0.0673599	0.0374058	0.0226153	0.0159457	0.0163686	0.0186253	0.0201455
a75	0.275418	0.208861	0.155534	0.110818	0.104615	0.0679388	0.030726	0.0127175	0.00998166	0.0106039	0.0127862
a41	0.202027	0.167937	0.152376	0.131874	0.127243	0.0863379	0.0460597	0.0279673	0.0200612	0.0189593	0.0191574
a94	0.137995	0.144586	0.143711	0.131946	0.137781	0.100141	0.0662962	0.0456747	0.0317839	0.0302014	0.0298838
a98	0.087011	0.128812	0.150488	0.149454	0.161906	0.130539	0.0735614	0.0378495	0.0259579	0.0269673	0.0274537
a76	0.0549613	0.0943588	0.128738	0.145657	0.151024	0.140587	0.101656	0.0642436	0.0417563	0.039109	0.0379099
a44	0.055109	0.09103	0.122579	0.136405	0.138982	0.121392	0.0942915	0.0767247	0.060894	0.0544169	0.0481751
a2	0.055563	0.0863415	0.122927	0.152408	0.156406	0.147256	0.103279	0.0592168	0.0374119	0.0382538	0.0409362
a11	0.0255767	0.0425084	0.068557	0.101423	0.0997971	0.147698	0.141975	0.104335	0.0729577	0.088623	0.106548
a75	0.0303268	0.0449912	0.0657711	0.0922311	0.0949134	0.135204	0.130748	0.101936	0.0822982	0.102018	0.119561
a14	0.0295314	0.0391295	0.0531051	0.0762897	0.0769518	0.100154	0.0990979	0.0985423	0.120787	0.157478	0.148933
a35	0.0340191	0.037053	0.0424788	0.0556339	0.0568832	0.0701873	0.0831933	0.0968328	0.128467	0.190525	0.204727
a14	0.0383178	0.0387234	0.0425409	0.054753	0.0537036	0.0668108	0.0879865	0.110627	0.130247	0.179805	0.196484
a73	0.0400596	0.0399823	0.0434548	0.0579492	0.0610676	0.0737459	0.0938207	0.112676	0.126101	0.169029	0.182114
a76	0.0630605	0.0594016	0.0586268	0.0695513	0.0644182	0.0696765	0.0832947	0.10643	0.114104	0.14327	0.168166
a73	0.0672343	0.0629663	0.0600908	0.0663044	0.0613675	0.0568813	0.0637363	0.0858541	0.11016	0.164639	0.200766
a2	0.0685478	0.0628666	0.0619551	0.0716113	0.0658781	0.0615353	0.0694435	0.0979297	0.121378	0.146345	0.17251
a40	0.0516533	0.0466766	0.0461001	0.0549935	0.0497553	0.0593666	0.0650553	0.0904295	0.122105	0.167764	0.2461
a14	0.0878187	0.0664823	0.0542403	0.0506282	0.0430765	0.0456629	0.0496111	0.0770021	0.112259	0.181794	0.231425
a73	0.0389958	0.0376275	0.0392271	0.0462647	0.044514	0.0540763	0.0681018	0.116188	0.156777	0.194224	0.204003
a20	0.0245582	0.0222797	0.0240716	0.0294702	0.02639	0.0332632	0.038408	0.0731254	0.146572	0.247982	0.33388
a41	0.0833031	0.0575162	0.0422302	0.035408	0.0284397	0.0309909	0.0384373	0.0786001	0.128912	0.207657	0.268506
a26	0.024213	0.022114	0.0225404	0.0269615	0.0257024	0.0333563	0.0483868	0.101036	0.177303	0.249693	0.268693
a24	0.0116934	0.00974117	0.0102789	0.0124741	0.011899	0.0166399	0.0221539	0.0514942	0.130676	0.303196	0.419754
a71	0.020582	0.0158127	0.0139227	0.0129605	0.0122369	0.0144723	0.0196254	0.0471809	0.113982	0.278052	0.451173
a53	0.0065895	0.00505142	0.00529549	0.00614765	0.00529571	0.00782152	0.0103724	0.0244936	0.0824551	0.291137	0.555341
a90	0.0257796	0.0215374	0.0204904	0.0200994	0.0163295	0.0184462	0.0220582	0.0466257	0.11051	0.264999	0.433124
a94	0.0389068	0.0333283	0.030941	0.0285631	0.0237404	0.0222914	0.0236171	0.0412121	0.0879527	0.217168	0.452279
a58	0.0193549	0.0155906	0.0158821	0.015804	0.0119382	0.0119499	0.0130833	0.0259135	0.074349	0.237163	0.558972
a38	0.0160989	0.0126599	0.0136168	0.015168	0.0108007	0.0110803	0.0119464	0.022767	0.0703756	0.245587	0.569899
a94	0.0159452	0.0143663	0.0169639	0.0203932	0.0150707	0.0120818	0.0133141	0.0251369	0.0742388	0.231436	0.561053
a43	0.0155552	0.0134117	0.0156223	0.0187831	0.0139001	0.0111038	0.0123673	0.0236306	0.0721472	0.234947	0.568532
a24	0.0193567	0.0165352	0.0193146	0.0222384	0.0156894	0.0111843	0.0125261	0.0244335	0.0799603	0.249632	0.529129
a9	0.0240132	0.0200309	0.0197365	0.0178121	0.011112	0.0084579	0.00988679	0.0211993	0.0720352	0.232657	0.56306
a87	0.016121	0.0138339	0.0133101	0.0126683	0.00849495	0.00887374	0.0111343	0.0242116	0.0819642	0.287476	0.521912
</S>	0.0139423	0.010655	0.00920948	0.00890406	0.00622485	0.00525277	0.00842198	0.0270186	0.0930807	0.271101	0.546189
