 	donne-nous	la	preuve	que	tu	l'	as	pris	en	adultère	</S>
a66	0.346013	0.174524	0.116191	0.0812707	0.071793	0.0638597	0.048595	0.0342343	0.0238493	0.0230856	0.0165839
a87	0.660575	0.129741	0.0517063	0.020878	0.00924786	0.013272	0.0162886	0.0157326	0.0206794	0.0240965	0.037782
a23	0.344377	0.207457	0.110076	0.0311025	0.021694	0.0315396	0.0370483	0.0391951	0.0562045	0.0523099	0.0689957
a53	0.30052	0.198498	0.185536	0.0547393	0.0304273	0.0393333	0.0374853	0.0311625	0.0365651	0.0361815	0.0495523
a90	0.539835	0.266902	0.122333	0.0163707	0.00872975	0.00930118	0.00732408	0.00594517	0.00619412	0.00852188	0.00854295
a92	0.360009	0.367122	0.211709	0.019943	0.00753129	0.00728261	0.00562842	0.00432707	0.00480903	0.00584413	0.00579415
a21	0.29156	0.350291	0.203865	0.0501648	0.0233723	0.0208129	0.0140479	0.00982651	0.0106132	0.0129888	0.0124572
a12	0.29124	0.391371	0.201773	0.0434232	0.0203102	0.0166089	0.0101323	0.00635294	0.00600417	0.00613139	0.00665313
a21	0.350181	0.374134	0.183075	0.0350939	0.0154851	0.0119901	0.00763754	0.00517673	0.0051635	0.00560355	0.00645973
a61	0.269219	0.349189	0.211332	0.0559899	0.0341272	0.0265941	0.0171418	0.0103835	0.00862777	0.00808743	0.00930848
a43	0.171615	0.236485	0.211306	0.108251	0.0646847	0.057708	0.043195	0.0300327	0.0252919	0.0227803	0.0286502
a21	0.0951499	0.14887	0.180125	0.153227	0.0961042	0.0931831	0.0704792	0.0495503	0.0377674	0.0331101	0.0424339
a47	0.0476416	0.102371	0.149617	0.162888	0.143223	0.128401	0.0886076	0.0579082	0.0411158	0.0356277	0.042599
a43	0.0244218	0.0441399	0.0923717	0.206768	0.174409	0.169485	0.111657	0.0682843	0.0419222	0.0314439	0.0350963
a94	0.0149396	0.0321451	0.0785002	0.191881	0.191288	0.187068	0.118756	0.0719834	0.0427675	0.0341584	0.0365118
a34	0.00891871	0.0171728	0.0379737	0.160931	0.218525	0.215329	0.136503	0.0816497	0.0461707	0.0375163	0.0393103
a93	0.0106235	0.0210624	0.0386379	0.130865	0.199428	0.182173	0.128234	0.103161	0.0723524	0.0603002	0.0531629
a90	0.00599159	0.0129144	0.0262804	0.0998638	0.201422	0.203075	0.142738	0.10583	0.0731522	0.0643453	0.064387
a25	0.00268441	0.00686796	0.0199075	0.0867706	0.196174	0.179161	0.13442	0.12076	0.0923265	0.0828277	0.0781001
a21	0.00167666	0.00344172	0.00968509	0.0620318	0.204917	0.164205	0.11561	0.132392	0.0987195	0.0942167	0.113105
a75	0.00334341	0.00640536	0.0116514	0.0477629	0.157827	0.131259	0.107867	0.135763	0.122917	0.110538	0.164665
a56	0.00129907	0.00372869	0.0114586	0.0581337	0.139592	0.112754	0.0910475	0.121215	0.124623	0.12753	0.208618
a94	0.00147859	0.00400108	0.0100863	0.0473688	0.149748	0.129649	0.0999654	0.131161	0.123302	0.121824	0.181416
a11	0.0014252	0.00313578	0.00889181	0.0401942	0.132342	0.117328	0.08908	0.121741	0.122413	0.131294	0.232155
a96	0.00128357	0.00278996	0.00740608	0.0260526	0.0832628	0.0837708	0.0706606	0.104755	0.117322	0.137702	0.364995
a93	0.00152166	0.00363982	0.00832647	0.02596	0.0776714	0.0752065	0.0646486	0.0938505	0.115355	0.137771	0.396048
a90	0.00096737	0.00208847	0.00423854	0.0158162	0.0535958	0.0541849	0.0549907	0.0899916	0.119895	0.150704	0.453527
a4	0.000484801	0.000958008	0.00208002	0.0112552	0.0447733	0.0431766	0.0461304	0.085483	0.115676	0.157559	0.492424
a90	0.000485441	0.00079075	0.00178883	0.0125852	0.0404801	0.0393403	0.0437851	0.0868956	0.134212	0.168067	0.471569
a92	0.000317149	0.000560044	0.00141829	0.00833281	0.0305694	0.0319387	0.0362525	0.0669725	0.0993146	0.14258	0.581744
a56	0.000236825	0.000397809	0.000970686	0.00746057	0.0306212	0.0316247	0.0367105	0.0700739	0.0997895	0.132013	0.590101
a32	0.000141028	0.00030807	0.000989352	0.00881692	0.0256312	0.0243885	0.027337	0.0474364	0.0789216	0.131275	0.654755
a38	0.000236093	0.000393469	0.000892363	0.00673376	0.0178227	0.0164349	0.0188899	0.0378551	0.0720158	0.138856	0.68987
a10	0.00129159	0.0016495	0.00261763	0.0126358	0.0279861	0.0240377	0.0286548	0.0605824	0.116009	0.1807	0.543835
a9	0.00539101	0.00717006	0.0119868	0.0334721	0.0587823	0.0432086	0.0418164	0.0786183	0.140983	0.190213	0.388359
a10	0.0585214	0.0426585	0.0362445	0.0681787	0.0959629	0.0737962	0.0681656	0.0932802	0.129878	0.129906	0.203408
a87	0.101634	0.0502283	0.0357878	0.060017	0.0741063	0.0670188	0.0695142	0.0853583	0.129329	0.132228	0.194778
a23	0.108536	0.0446167	0.0288836	0.0533699	0.0772668	0.0642606	0.0725361	0.0969357	0.13887	0.138778	0.175947
a99	0.00791523	0.00413961	0.00418304	0.0169954	0.0258661	0.0249784	0.0392688	0.0594222	0.105074	0.171622	0.540535
a97	0.00676684	0.00404024	0.00624073	0.0306516	0.0525567	0.0442887	0.0526369	0.0662318	0.103823	0.156684	0.476079
</S>	0.00484413	0.00448208	0.00564212	0.0315448	0.0508297	0.0443988	0.0432582	0.0454511	0.0621398	0.131134	0.576275
