 	le	grand-parent	d'	ondouma	est	malade	</S>
a84	0.436491	0.237591	0.105246	0.0934579	0.0548807	0.0424026	0.0299308
a10	0.429872	0.258029	0.115326	0.070927	0.0424571	0.0383956	0.0449927
a40	0.371414	0.350476	0.100381	0.0518421	0.0370845	0.0408958	0.0479067
a75	0.362605	0.453322	0.101252	0.0413721	0.0177822	0.0133534	0.0103134
a47	0.417468	0.419944	0.0764414	0.0395491	0.018853	0.0154385	0.0123059
a98	0.413913	0.354357	0.0992129	0.0547391	0.0264526	0.0252491	0.026076
a92	0.367622	0.365483	0.148346	0.0619397	0.0240455	0.0178608	0.0147034
a56	0.352255	0.292986	0.155491	0.090771	0.0472517	0.0356479	0.0255985
a96	0.378695	0.377396	0.136512	0.0546782	0.0221793	0.0165041	0.0140351
a93	0.324374	0.450325	0.128914	0.0483713	0.0196229	0.0143639	0.0140292
a34	0.214802	0.326381	0.160877	0.118415	0.0738523	0.0541781	0.0514937
a75	0.0796876	0.194751	0.205581	0.220326	0.129939	0.0875644	0.0821508
a98	0.015325	0.0650138	0.152536	0.224592	0.197795	0.175837	0.168902
a92	0.00391754	0.0204909	0.128665	0.228425	0.223049	0.204716	0.190736
a56	0.00175825	0.0099328	0.0723211	0.2271	0.246526	0.220748	0.221615
a75	0.00131555	0.00337166	0.0235592	0.117904	0.224389	0.28376	0.345701
a92	0.00054337	0.00263021	0.0120256	0.0664062	0.170802	0.284925	0.462668
a79	0.000405781	0.00185462	0.00943697	0.0555703	0.158638	0.284708	0.489386
a90	0.000240427	0.00130437	0.00801112	0.0413459	0.139442	0.281259	0.528397
a25	0.000191219	0.000750045	0.00480223	0.0325872	0.125244	0.294761	0.541664
a15	9.89989e-05	0.000414391	0.0036357	0.0270442	0.111162	0.294236	0.563409
a7	0.000998831	0.00227145	0.00929084	0.0468016	0.136542	0.291041	0.513054
a11	0.000841243	0.00256264	0.0113801	0.050555	0.134028	0.310874	0.489759
a10	0.00613327	0.0142121	0.0553354	0.128598	0.153889	0.249007	0.392826
a27	0.0339365	0.0695602	0.0965976	0.141136	0.159122	0.207072	0.292576
a10	0.119803	0.178267	0.112745	0.115623	0.125268	0.159879	0.188415
a38	0.0720568	0.0905757	0.076388	0.125216	0.173502	0.226484	0.235778
a84	0.0134052	0.0179874	0.0184245	0.0522728	0.155138	0.27197	0.470802
</S>	0.00957545	0.0167653	0.0288607	0.098327	0.17133	0.233504	0.441638
