 	cet	homme	est	seul	dans	la	maison	</S>
a85	0.330027	0.197006	0.141802	0.137414	0.0992266	0.0479055	0.0263706	0.0202484
a87	0.354636	0.177197	0.128165	0.115201	0.0921763	0.0597268	0.0414811	0.031417
a23	0.195123	0.165879	0.142725	0.105958	0.0872964	0.0846936	0.0959543	0.12237
a62	0.36434	0.203662	0.136841	0.0699751	0.0444078	0.0433891	0.0542913	0.0830933
a70	0.547895	0.229734	0.120359	0.0555765	0.0200199	0.0107772	0.00794989	0.00768851
a98	0.421557	0.249969	0.168039	0.0725167	0.0290318	0.0197712	0.0185544	0.0205611
a85	0.256981	0.228165	0.229257	0.136839	0.0550905	0.0332194	0.0288931	0.0315547
a18	0.248027	0.240143	0.233571	0.143906	0.0525697	0.0291974	0.0252082	0.0273777
a31	0.137794	0.174735	0.229172	0.19236	0.0993636	0.0615657	0.0504809	0.05453
a88	0.147001	0.182001	0.219738	0.186488	0.0947802	0.0582972	0.0523631	0.0593313
a62	0.0918307	0.12703	0.166281	0.184834	0.130311	0.100255	0.0901058	0.109353
a0	0.0796991	0.107757	0.127097	0.168545	0.147058	0.128941	0.115129	0.125775
a75	0.0584159	0.0813112	0.0979992	0.168261	0.170238	0.155492	0.130446	0.137837
a85	0.0770045	0.0746436	0.0777875	0.131438	0.148771	0.152622	0.148722	0.189012
a18	0.0634446	0.0621171	0.0670721	0.125785	0.168845	0.178147	0.154259	0.180331
a66	0.0492873	0.0501372	0.0483906	0.0848189	0.128908	0.187482	0.195443	0.255534
a47	0.0236092	0.0240397	0.0225677	0.0369338	0.068976	0.151255	0.241638	0.430981
a88	0.0615509	0.0583837	0.0527585	0.0798871	0.106861	0.160035	0.188969	0.291555
a62	0.0141272	0.0149576	0.016275	0.0371849	0.0751417	0.164697	0.256437	0.421179
a21	0.0160655	0.0167872	0.0189425	0.0389097	0.0682805	0.150457	0.270804	0.419753
a85	0.0130041	0.0133504	0.0145448	0.0294359	0.0547594	0.135784	0.269949	0.469172
a37	0.00720854	0.00641611	0.00826136	0.019428	0.0425681	0.119534	0.261888	0.534696
a70	0.0030819	0.0033662	0.00445872	0.0140379	0.040934	0.122322	0.257044	0.554755
a75	0.00232109	0.0025189	0.00330365	0.00999695	0.0310739	0.107137	0.249971	0.593677
a5	0.00301199	0.00282835	0.00369387	0.0101566	0.0276072	0.0944267	0.2402	0.618076
a96	0.00283131	0.00252254	0.00297795	0.00706856	0.0205294	0.0789727	0.227637	0.657461
a18	0.00312248	0.00340151	0.00482712	0.0119508	0.0302634	0.0961084	0.240801	0.609526
a25	0.0102124	0.00918749	0.011587	0.0262631	0.0562681	0.127719	0.245689	0.513073
a87	0.0588023	0.0406252	0.0417891	0.0632876	0.0956646	0.148394	0.208794	0.342644
a23	0.130312	0.0921937	0.0805214	0.085243	0.119793	0.156094	0.166978	0.168866
a87	0.0519768	0.0357678	0.0342194	0.0510401	0.0969342	0.191907	0.256113	0.282041
</S>	0.0168125	0.014358	0.0177875	0.0392857	0.0880795	0.176267	0.265486	0.381924
