 	jésus	a	vécu	sur	terre	sans	pécher	</S>
a66	0.182637	0.244267	0.274136	0.170906	0.0925996	0.0223748	0.00588411	0.00719673
a87	0.452167	0.242313	0.143166	0.0765706	0.0366284	0.0163472	0.0106142	0.0221945
a23	0.629628	0.197291	0.0724842	0.0353059	0.0192008	0.0115892	0.0109503	0.0235508
a87	0.709193	0.183888	0.0392272	0.0226496	0.00927584	0.00874946	0.00761266	0.0194036
a23	0.650159	0.192156	0.0502043	0.0419174	0.0225465	0.0159981	0.0119019	0.0151166
a99	0.616424	0.175641	0.0424844	0.0308564	0.0185208	0.0284925	0.0341182	0.0534633
a50	0.410278	0.253989	0.11383	0.073247	0.0320752	0.0325922	0.034721	0.0492674
a62	0.392627	0.225051	0.137518	0.104723	0.0464295	0.0364241	0.0298126	0.0274158
a0	0.241341	0.188542	0.157782	0.141342	0.0832466	0.0635648	0.0591061	0.0650759
a11	0.23978	0.198863	0.14957	0.124556	0.0732295	0.0639877	0.0692034	0.0808105
a4	0.235014	0.203935	0.132638	0.1149	0.0731863	0.0652772	0.0758341	0.0992156
a40	0.217256	0.197169	0.184008	0.159017	0.085615	0.0519848	0.0445248	0.0604252
a47	0.147891	0.169779	0.203091	0.175028	0.0813762	0.0562187	0.0680236	0.0985924
a85	0.0922791	0.12465	0.178434	0.163567	0.0804049	0.0694268	0.0995789	0.19166
a5	0.082196	0.100053	0.185725	0.202123	0.129865	0.0605368	0.0708276	0.168674
a21	0.120136	0.1538	0.230358	0.213851	0.140366	0.0455586	0.0356201	0.0603106
a75	0.0936478	0.12839	0.256282	0.237878	0.181219	0.0442587	0.023376	0.0349485
a25	0.0529433	0.0932207	0.219677	0.230557	0.179743	0.0854062	0.0533024	0.0851505
a79	0.0176486	0.0388854	0.135566	0.191303	0.224942	0.131877	0.088511	0.171267
a36	0.0217474	0.054658	0.159373	0.19105	0.243741	0.117833	0.0866308	0.124967
a0	0.0146419	0.0366769	0.153589	0.180528	0.256942	0.0962022	0.0929356	0.168484
a21	0.0180719	0.0417106	0.190567	0.213243	0.241331	0.0798566	0.0714791	0.143741
a12	0.0181318	0.0293642	0.146165	0.18212	0.259338	0.142677	0.0943053	0.127898
a96	0.011937	0.0198357	0.109811	0.140617	0.200524	0.131976	0.124948	0.260351
a88	0.0101504	0.0174602	0.07982	0.0856523	0.112623	0.123298	0.158279	0.412717
a71	0.0087407	0.0165401	0.067397	0.0677832	0.102326	0.118574	0.175721	0.442918
a3	0.0204659	0.0363937	0.089426	0.0820433	0.1011	0.102318	0.213102	0.355151
a87	0.0538074	0.0577765	0.105535	0.102717	0.137073	0.166846	0.192334	0.183911
a23	0.0800833	0.0542598	0.0779228	0.0740529	0.117898	0.195507	0.200048	0.200228
a53	0.0217121	0.0174997	0.0270565	0.0317454	0.0611394	0.173279	0.23677	0.430797
a15	0.00222968	0.00332135	0.0122001	0.0222893	0.0445813	0.14412	0.26965	0.501608
a47	0.00161355	0.00289202	0.0140129	0.0217575	0.0393621	0.117627	0.302629	0.500106
a15	0.00102196	0.0018134	0.0122638	0.0198673	0.0405033	0.134346	0.321271	0.468913
a0	0.00116703	0.00187467	0.00969616	0.0153531	0.0336065	0.117677	0.339649	0.480976
a56	0.000822023	0.00128525	0.00744176	0.0110659	0.0325881	0.131002	0.286813	0.528981
a96	0.000672512	0.00135519	0.007575	0.0109644	0.0231652	0.0880671	0.338245	0.529956
a90	0.000593241	0.00103357	0.00380302	0.00485213	0.0106317	0.0527071	0.286585	0.639795
a69	0.00043161	0.000740473	0.00266672	0.00340923	0.00850562	0.0451898	0.293309	0.645747
a20	0.000270852	0.000345206	0.00134029	0.00183256	0.0064099	0.0430726	0.303334	0.643395
a75	0.000299884	0.00032621	0.00110705	0.00133584	0.00444574	0.0320782	0.312076	0.648331
a6	0.000138689	0.000193856	0.00110823	0.00146079	0.00506755	0.0353166	0.290332	0.666382
a36	9.63924e-05	9.37045e-05	0.000589756	0.00070001	0.00309524	0.0262011	0.287902	0.681322
a54	0.000347235	0.000314452	0.000849251	0.000796599	0.00255889	0.0237399	0.323367	0.648027
a36	0.000373158	0.000312262	0.00141621	0.0015928	0.0049058	0.0324992	0.333216	0.625685
a2	0.000513958	0.000476429	0.00115485	0.00113034	0.00329542	0.0306005	0.326647	0.636182
a57	0.0123072	0.0134093	0.0238219	0.0226699	0.0484173	0.149057	0.32323	0.407088
a87	0.0934147	0.0533853	0.0757469	0.0611951	0.135869	0.163552	0.211014	0.205823
a23	0.0824574	0.108505	0.125988	0.103237	0.174685	0.150049	0.116427	0.138652
a99	0.0214073	0.0159319	0.0171242	0.0116598	0.02929	0.0763679	0.22319	0.605028
a87	0.0128182	0.0118989	0.02364	0.0177141	0.0399488	0.0876545	0.211148	0.595178
</S>	0.00335172	0.00285593	0.0074483	0.0056683	0.0123313	0.0343932	0.186207	0.747745
