 	je	l'	ai	accusé	de	vol	au	tribunal	</S>
a23	0.358993	0.185226	0.138032	0.0982426	0.0713868	0.0546296	0.0392668	0.0306552	0.0235681
a83	0.469892	0.230338	0.137194	0.0466978	0.0216013	0.0179501	0.0210454	0.028892	0.026389
a26	0.283937	0.214113	0.160842	0.114906	0.0562207	0.0426928	0.0358533	0.0481487	0.0432867
a24	0.276627	0.273566	0.22101	0.131598	0.0464789	0.0258524	0.0127277	0.00766063	0.00447811
a25	0.265957	0.276569	0.23987	0.123272	0.0402874	0.0239646	0.0142934	0.00955745	0.00623018
a38	0.211126	0.235069	0.23386	0.156383	0.0722743	0.0391208	0.0241689	0.0160183	0.0119799
a75	0.178482	0.207856	0.221236	0.17053	0.0967667	0.0527798	0.0325426	0.02216	0.0176469
a41	0.200122	0.213923	0.219649	0.16393	0.0959753	0.0490045	0.0267112	0.0171287	0.0135553
a76	0.175025	0.20352	0.213245	0.180687	0.106068	0.0579557	0.0314553	0.0186726	0.0133712
a41	0.170789	0.186557	0.188655	0.151985	0.102885	0.0713958	0.0511955	0.0419061	0.0346317
a32	0.13258	0.146339	0.152806	0.167409	0.135657	0.103275	0.0712178	0.0513057	0.03941
a24	0.0617503	0.0786718	0.097506	0.171833	0.197084	0.173623	0.115369	0.0641359	0.0400263
a26	0.0696144	0.0878737	0.105036	0.17591	0.183073	0.152558	0.107401	0.071956	0.0465774
a35	0.038356	0.0512942	0.0678447	0.140393	0.205462	0.197421	0.13861	0.0976435	0.0629755
a98	0.0441146	0.0576373	0.0715966	0.141998	0.187261	0.188981	0.132446	0.103613	0.0723519
a73	0.0390457	0.0428951	0.0431227	0.0704289	0.11148	0.153644	0.158296	0.190814	0.190273
a57	0.030532	0.0321042	0.0330551	0.0603594	0.0886862	0.11703	0.149557	0.234607	0.254069
a87	0.0171165	0.0144496	0.0139104	0.0360069	0.0636475	0.119938	0.146786	0.266391	0.321754
a23	0.0188293	0.013442	0.0133542	0.0496441	0.096405	0.162803	0.184454	0.233601	0.227468
a79	0.0387109	0.0422608	0.045788	0.117368	0.152152	0.186526	0.159718	0.142707	0.114768
a69	0.0309525	0.0290549	0.022949	0.027585	0.0349643	0.0660015	0.0998844	0.24392	0.444688
a35	0.0205333	0.0144984	0.00986393	0.0154868	0.0257699	0.0545834	0.0987822	0.252376	0.508106
a24	0.017037	0.0117743	0.00724184	0.00929399	0.0194856	0.0496085	0.0968126	0.263134	0.525612
a32	0.0109791	0.00759537	0.00514734	0.00768785	0.0156442	0.0367493	0.077914	0.242166	0.596117
a75	0.0131157	0.00838751	0.00565862	0.00879488	0.0166416	0.0348678	0.074499	0.231339	0.606696
a35	0.00769596	0.0053935	0.0031784	0.00388632	0.00840519	0.0231669	0.055515	0.231909	0.66085
a98	0.00676107	0.00479171	0.00320744	0.00435179	0.00968295	0.0245611	0.0607491	0.235141	0.650753
a14	0.0038203	0.00271908	0.00174116	0.00225809	0.00502639	0.0139356	0.0433007	0.232498	0.694701
a44	0.00671516	0.00440187	0.00254361	0.00312728	0.00842681	0.0282594	0.0705043	0.255819	0.620203
a57	0.00372358	0.00261795	0.0018775	0.00298819	0.00576674	0.0154114	0.0456258	0.210409	0.71158
a38	0.00442192	0.0035415	0.00295134	0.00493332	0.00913532	0.0219076	0.0599908	0.229952	0.663166
a41	0.00275838	0.00263684	0.0026122	0.00392196	0.00584025	0.0139747	0.0447981	0.219749	0.703708
a35	0.00434169	0.00364313	0.00265115	0.00264251	0.00453245	0.0148178	0.0442564	0.219131	0.703984
a70	0.00924062	0.00728718	0.00471273	0.00504733	0.00786637	0.0220949	0.0555265	0.208584	0.679641
a71	0.00584063	0.00490839	0.00392688	0.00651229	0.0096038	0.0231925	0.0684405	0.234933	0.642642
a25	0.0087125	0.00833579	0.00779242	0.0155745	0.0232326	0.0494056	0.114754	0.259403	0.51279
a87	0.0171291	0.0199738	0.0215849	0.0281679	0.0273741	0.043574	0.093878	0.24281	0.505508
</S>	0.0193476	0.0206196	0.0220385	0.0301418	0.0273844	0.0418889	0.0872596	0.262116	0.489203
