 	le	singe	est	en	train	de	faire	tomber	les	fruits	</S>
a87	0.208221	0.135018	0.106426	0.0995029	0.103849	0.118387	0.0921181	0.0662578	0.0309867	0.0222076	0.0170251
a10	0.137232	0.0677293	0.0795541	0.0795682	0.0914962	0.106141	0.100595	0.106842	0.067805	0.0774227	0.0856145
a62	0.21262	0.124893	0.122869	0.0911738	0.082142	0.089958	0.0748324	0.0601861	0.0414083	0.0476253	0.0522925
a75	0.25015	0.183085	0.138575	0.0914776	0.0805125	0.0749304	0.0525511	0.0260295	0.022383	0.033459	0.0468472
a96	0.359323	0.250269	0.140338	0.0734257	0.0470318	0.0373712	0.0361273	0.0165591	0.0106768	0.0135319	0.0153458
a90	0.352725	0.262326	0.13663	0.0747373	0.0443009	0.0387869	0.0392751	0.0161202	0.0102877	0.0113111	0.0134989
a44	0.212115	0.189788	0.138376	0.115506	0.0902529	0.0846077	0.0742246	0.0346866	0.0191691	0.0182239	0.0230502
a53	0.165381	0.175299	0.149109	0.140452	0.112149	0.102759	0.082955	0.0311626	0.0144994	0.0122314	0.0140029
a90	0.14603	0.143081	0.141555	0.141706	0.122114	0.112192	0.0901111	0.0343838	0.0202186	0.0210293	0.0275793
a98	0.102979	0.104595	0.127447	0.140684	0.13485	0.130863	0.111172	0.0520632	0.0306439	0.028462	0.0362409
a44	0.0725028	0.088011	0.126899	0.154888	0.143781	0.121606	0.106949	0.0635186	0.0444612	0.0362882	0.041095
a98	0.045954	0.0460674	0.0759265	0.121113	0.170752	0.184751	0.154194	0.0731972	0.0422274	0.0385533	0.0472638
a79	0.0429573	0.0440204	0.0661505	0.106084	0.146609	0.150944	0.134642	0.0939221	0.0759977	0.0635245	0.0751487
a70	0.0345893	0.0348519	0.0485754	0.0762385	0.122183	0.151148	0.146224	0.112402	0.0929353	0.0804811	0.100371
a34	0.0300235	0.028502	0.0426532	0.0649171	0.108346	0.153667	0.151458	0.132525	0.0948123	0.082571	0.110524
a88	0.0253315	0.0240973	0.035144	0.0567463	0.0994495	0.141798	0.144681	0.143215	0.11637	0.0944097	0.118758
a24	0.0163412	0.0164369	0.0248808	0.0375487	0.0627057	0.0997122	0.112104	0.157906	0.174564	0.142833	0.154968
a83	0.00601889	0.00529925	0.00836683	0.0134132	0.0289135	0.0590899	0.075487	0.134194	0.197761	0.221033	0.250424
a38	0.00308799	0.00278389	0.00472269	0.0081944	0.0192104	0.041316	0.0520124	0.101238	0.193625	0.262511	0.311298
a70	0.00178225	0.0015438	0.00253456	0.00412238	0.00902533	0.0162224	0.0203201	0.0499748	0.153565	0.299182	0.441727
a90	0.000978675	0.000981438	0.00185642	0.00322852	0.00716816	0.0131549	0.0173335	0.0439113	0.132772	0.301159	0.477456
a15	0.000857519	0.000822159	0.00148232	0.00259303	0.00580097	0.00945927	0.0120272	0.0319013	0.119998	0.303232	0.511825
a84	0.00152032	0.00142173	0.00242385	0.00355294	0.00652838	0.010005	0.0129446	0.0318161	0.120112	0.29274	0.516935
a57	0.00287543	0.0024536	0.00427628	0.00630998	0.0122798	0.017554	0.0207842	0.047011	0.129246	0.267562	0.489647
a87	0.0205481	0.00940581	0.00976417	0.0107833	0.016168	0.0208043	0.0244179	0.0602753	0.142733	0.262917	0.422183
a23	0.0844629	0.0459111	0.0414139	0.0437045	0.0664301	0.0921837	0.0879304	0.121082	0.123866	0.142943	0.150073
a87	0.085826	0.0371786	0.0314855	0.0315013	0.041701	0.050603	0.0646309	0.107067	0.156913	0.209218	0.183876
a97	0.0529735	0.0307486	0.0308663	0.0345754	0.0506257	0.0525017	0.0543648	0.0797617	0.130004	0.2345	0.249079
</S>	0.0622871	0.049097	0.0573601	0.0611296	0.0798443	0.0816587	0.0749878	0.0864617	0.103869	0.160638	0.182667
