 	il	n'	est	pas	venu	travailler	à	cause	de	la	pluie	</S>
a66	0.228761	0.134387	0.103633	0.116929	0.107909	0.0933123	0.0681238	0.0473672	0.0313431	0.0230732	0.0226517	0.0225086
a87	0.150949	0.100812	0.0944106	0.0867312	0.0925696	0.0801755	0.0552914	0.0455219	0.0420994	0.044403	0.0770223	0.130015
a23	0.31184	0.167339	0.119043	0.0800781	0.065213	0.0500511	0.0333993	0.0282158	0.0249336	0.0246854	0.0351677	0.0600346
a30	0.279621	0.183896	0.13811	0.0912505	0.0662884	0.0519709	0.0338593	0.0267565	0.0222482	0.0219472	0.0292114	0.0548404
a53	0.26138	0.151102	0.113309	0.0886945	0.0679828	0.0460596	0.0393386	0.0384098	0.0330657	0.0349446	0.0460603	0.0796529
a15	0.312564	0.199897	0.135805	0.0878526	0.0563635	0.0471465	0.0345698	0.0275653	0.02276	0.0221351	0.0240646	0.0292765
a98	0.212349	0.175363	0.149657	0.102504	0.0711382	0.0637211	0.0439762	0.0377535	0.0307297	0.031269	0.0346679	0.0468708
a85	0.17889	0.161147	0.141844	0.109947	0.0829978	0.0792878	0.0541336	0.0427013	0.0334506	0.0329244	0.0355448	0.0471305
a6	0.111862	0.122099	0.124724	0.115722	0.096278	0.104847	0.0777144	0.0598941	0.0468401	0.0433973	0.0432945	0.0533269
a5	0.102117	0.104609	0.113655	0.118406	0.104811	0.113304	0.0810575	0.0592947	0.0452592	0.0432743	0.0494623	0.0647498
a12	0.0910069	0.102624	0.113812	0.122365	0.111793	0.113775	0.0800532	0.0631173	0.0488564	0.0450225	0.0478519	0.0597226
a43	0.0532955	0.0678235	0.0892862	0.115577	0.12157	0.122166	0.0897595	0.0770218	0.0627708	0.0600498	0.0630176	0.0776618
a75	0.0320732	0.045126	0.0715346	0.111839	0.130228	0.129277	0.0944947	0.0797377	0.0663632	0.067839	0.07503	0.096458
a85	0.0102961	0.0138301	0.0250163	0.0517927	0.0836561	0.0924826	0.0928054	0.101331	0.105085	0.118401	0.130666	0.174637
a98	0.0216946	0.0284159	0.046169	0.0774894	0.0965816	0.102983	0.0993137	0.0983119	0.0987139	0.103819	0.10653	0.119977
a92	0.0116704	0.0160847	0.0282247	0.0564417	0.0855549	0.0905239	0.0944819	0.105651	0.109321	0.121125	0.124299	0.156621
a21	0.0112064	0.0138308	0.0219077	0.0445198	0.0781963	0.0901013	0.0971974	0.114455	0.115458	0.126861	0.128076	0.15819
a85	0.0126682	0.0156289	0.0238774	0.0470631	0.082635	0.104351	0.113661	0.133843	0.122808	0.113712	0.100228	0.129525
a47	0.0120047	0.0131105	0.0191811	0.0336851	0.0557355	0.0687544	0.0828715	0.103888	0.112656	0.129997	0.150356	0.21776
a36	0.0121124	0.0139289	0.0199156	0.0334009	0.0521045	0.0557203	0.0671878	0.0924775	0.095896	0.110735	0.140566	0.305955
a47	0.0432783	0.0356986	0.0405222	0.0493262	0.0540748	0.048948	0.0528836	0.0699689	0.0772673	0.0893246	0.138806	0.299901
a36	0.0252502	0.0219789	0.0267879	0.0368426	0.047403	0.0452118	0.0533319	0.0751977	0.0851391	0.100677	0.151431	0.330749
a2	0.048067	0.0381939	0.041505	0.0484748	0.0544167	0.0449377	0.0478065	0.0593314	0.0716548	0.0980644	0.163161	0.284387
a57	0.0864707	0.067565	0.0634321	0.0643506	0.0551108	0.0468441	0.0420742	0.04159	0.0478425	0.0720059	0.146911	0.265803
a87	0.106934	0.0693143	0.0587576	0.0554092	0.0521907	0.0477082	0.0494587	0.056734	0.0718109	0.0950315	0.13643	0.20022
a23	0.0956176	0.0532964	0.0464843	0.0502136	0.0546145	0.053347	0.0597413	0.0788448	0.0927469	0.103171	0.132428	0.179495
a62	0.0195721	0.0138423	0.014519	0.0188827	0.0273874	0.0325819	0.044507	0.0643561	0.0966564	0.141992	0.219059	0.306644
a88	0.0127356	0.00921315	0.00992478	0.0138168	0.0224677	0.0308292	0.0428349	0.0617784	0.0994274	0.153002	0.230803	0.313167
a31	0.00466698	0.00355434	0.00399145	0.00599497	0.0104214	0.0157489	0.0261949	0.0459523	0.0817726	0.147687	0.255088	0.398927
a47	0.00493255	0.00428374	0.00497892	0.00756207	0.0143299	0.0205488	0.0314533	0.051221	0.0855559	0.153091	0.260759	0.361285
a88	0.00568097	0.00499343	0.00619355	0.00978931	0.0174643	0.0223636	0.0343282	0.0596224	0.0975214	0.161801	0.244532	0.335709
a75	0.00394989	0.00388275	0.00482737	0.00727784	0.0131319	0.0161607	0.0250378	0.0456461	0.083864	0.153811	0.255462	0.386949
a85	0.00096331	0.00105506	0.00170302	0.00324882	0.00654251	0.0089182	0.0155029	0.0316568	0.0648918	0.142747	0.283424	0.439346
a47	0.00108953	0.00120443	0.00189927	0.00390819	0.00806034	0.0116628	0.0188006	0.0317539	0.0572322	0.12456	0.272852	0.466977
a92	0.00100137	0.00110946	0.00168386	0.00336781	0.00727896	0.0100217	0.016238	0.0282726	0.0535675	0.122149	0.2539	0.50141
a37	0.00157222	0.00143467	0.00188289	0.00335944	0.00657083	0.00829392	0.0140573	0.0288414	0.057312	0.121404	0.247891	0.50738
a90	0.00475698	0.00384337	0.00471875	0.00681011	0.0098518	0.00956435	0.0142422	0.0275798	0.0525358	0.106476	0.233517	0.526104
a25	0.00362208	0.00287186	0.00336753	0.00474859	0.00723931	0.00756991	0.0110214	0.0206071	0.0404264	0.0909954	0.228287	0.579243
a15	0.00119636	0.00124825	0.00173301	0.00278793	0.00456513	0.00542238	0.00780911	0.0147742	0.0329831	0.0843898	0.252186	0.590905
