 	il	faut	éviter	les	problèmes	</S>
a87	0.190111	0.226344	0.218898	0.173297	0.109816	0.0815344
a10	0.173374	0.131742	0.161775	0.181041	0.188336	0.163731
a40	0.236403	0.186595	0.139061	0.135619	0.146643	0.155679
a75	0.338529	0.238199	0.147718	0.0918856	0.0756538	0.108015
a85	0.255708	0.20954	0.17844	0.156598	0.101991	0.097723
a75	0.292781	0.253176	0.182751	0.125283	0.0787112	0.0672972
a13	0.292782	0.271083	0.177323	0.111654	0.076925	0.070233
a70	0.232029	0.249674	0.19714	0.152309	0.0854851	0.0833626
a96	0.133017	0.167205	0.187438	0.225699	0.150626	0.136014
a98	0.127133	0.164691	0.194967	0.227889	0.145748	0.139573
a44	0.0900886	0.12024	0.152158	0.214429	0.198892	0.224193
a84	0.0431987	0.0579538	0.0911145	0.176713	0.281896	0.349123
a57	0.0131802	0.0152721	0.0259039	0.0625444	0.279185	0.603914
a75	0.00400416	0.00445066	0.0111259	0.0434807	0.266924	0.670015
a25	0.00216061	0.00254074	0.00831285	0.027268	0.259376	0.700342
a69	0.00231005	0.00261337	0.00954329	0.0273519	0.236	0.722182
a58	0.00101564	0.00129357	0.0046922	0.0211561	0.23679	0.735052
a84	0.00472081	0.00447097	0.0165369	0.0503119	0.228459	0.6955
a87	0.0823399	0.0702477	0.0944293	0.122829	0.206357	0.423797
a23	0.147943	0.127397	0.125732	0.141894	0.189224	0.26781
a97	0.0683104	0.0616124	0.104864	0.187656	0.287206	0.290352
</S>	0.0133673	0.014594	0.0283643	0.116963	0.34217	0.484541
