 	l'	homme	met	un	bouchon	sur	la	bouteille	</S>
a23	0.367375	0.197673	0.154528	0.099361	0.0584024	0.0293824	0.0308225	0.0306569	0.0317994
a85	0.277002	0.226931	0.185152	0.104398	0.110688	0.0366794	0.0201536	0.0176346	0.021361
a87	0.250652	0.240508	0.213917	0.107941	0.0907267	0.0244082	0.0181107	0.0195782	0.034158
a23	0.253057	0.235484	0.188279	0.0955601	0.0866363	0.033776	0.0257025	0.0287267	0.0527785
a87	0.269581	0.256286	0.209665	0.0902309	0.0702294	0.0213941	0.0188158	0.0218236	0.0419738
a10	0.235234	0.236543	0.187827	0.0984112	0.0833461	0.032894	0.0277875	0.0336031	0.0643538
a87	0.200723	0.213866	0.200224	0.117036	0.0989518	0.0366987	0.032096	0.0357943	0.0646102
a23	0.235938	0.244325	0.206859	0.119917	0.0893246	0.0289904	0.0201561	0.0196804	0.0348091
a50	0.300065	0.249594	0.190297	0.0803495	0.0547347	0.0229296	0.0223866	0.0285367	0.0511077
a24	0.436808	0.274584	0.153912	0.0632948	0.0432396	0.0115345	0.00570437	0.00482108	0.00610133
a83	0.422896	0.251742	0.150507	0.0627789	0.0512214	0.0214651	0.0127611	0.0114797	0.0151483
a9	0.329198	0.237043	0.170179	0.0926767	0.0677825	0.034896	0.0211091	0.0194246	0.0276901
a54	0.167408	0.14956	0.13164	0.102892	0.0820766	0.0949723	0.077094	0.08002	0.114337
a30	0.201462	0.178998	0.182662	0.156211	0.10122	0.0595567	0.0417157	0.0359043	0.0422697
a2	0.167711	0.174167	0.167725	0.157515	0.107228	0.0725803	0.054393	0.0451593	0.0535213
a57	0.0620711	0.0812845	0.0938823	0.0963986	0.093857	0.0933532	0.089013	0.146894	0.243246
a83	0.0567095	0.0768108	0.0948156	0.112491	0.120379	0.144037	0.111783	0.114217	0.168757
a26	0.049297	0.0577465	0.0655859	0.075561	0.0798954	0.135709	0.10709	0.176425	0.25269
a24	0.0704382	0.0740626	0.0701585	0.080988	0.0772467	0.188415	0.166003	0.140988	0.131699
a71	0.0679228	0.0793783	0.0822052	0.0982264	0.0979412	0.16895	0.160054	0.13189	0.113432
a24	0.0420678	0.0567521	0.0618655	0.0708577	0.0901771	0.180998	0.179133	0.16069	0.157459
a31	0.0520949	0.0657955	0.0719228	0.0860736	0.0945208	0.143054	0.162498	0.17484	0.1492
a24	0.0314163	0.0411727	0.0542161	0.0727925	0.0791613	0.154314	0.188842	0.207775	0.17031
a32	0.0216228	0.0274522	0.0358077	0.0446734	0.0542768	0.135208	0.196282	0.252713	0.231963
a26	0.0109217	0.0139536	0.0199661	0.0252698	0.0343652	0.109107	0.22253	0.292936	0.27095
a24	0.0118371	0.0163067	0.021745	0.0254021	0.0311372	0.0885568	0.192249	0.301339	0.311427
a41	0.00581059	0.00585404	0.00706334	0.00998131	0.0168137	0.0946545	0.187706	0.334549	0.337567
a25	0.00311376	0.00259707	0.00289634	0.00422256	0.00669834	0.0557969	0.198115	0.366534	0.360026
a90	0.00180474	0.00189866	0.00201755	0.00236642	0.00370334	0.0194345	0.103519	0.355808	0.509447
a56	0.000816724	0.000746624	0.000963419	0.00169615	0.00357835	0.0290785	0.146418	0.386268	0.430434
a54	0.00184081	0.00182039	0.00242931	0.00376881	0.00601093	0.037174	0.14135	0.358102	0.447503
a14	0.00136753	0.00111024	0.00136291	0.00218879	0.00422186	0.0349039	0.137475	0.365228	0.452142
a35	0.00136183	0.0011359	0.00156874	0.00324516	0.00569235	0.0475102	0.176248	0.388456	0.374782
a83	0.000799569	0.00060366	0.000707236	0.00129908	0.00264644	0.0313795	0.147641	0.385903	0.42902
a9	0.0010421	0.000755385	0.000784486	0.00111895	0.00223763	0.0254117	0.117965	0.367693	0.482992
a99	0.00139638	0.00112992	0.00100894	0.00123812	0.00246368	0.0141648	0.0836599	0.316836	0.578102
a87	0.00253265	0.00217218	0.0017476	0.00226875	0.00436074	0.0199303	0.0912081	0.329035	0.546745
</S>	0.00692291	0.00661998	0.00569493	0.00670829	0.00844658	0.0372255	0.148507	0.310356	0.469519
