 	si	l'	enfant	fait	des	bêtises	il	faut	le	redresser	</S>
a66	0.135354	0.156426	0.166666	0.157797	0.14617	0.114744	0.0596849	0.0358645	0.0142271	0.00803783	0.00502979
a87	0.319833	0.190135	0.0980214	0.0669568	0.0591648	0.0575194	0.0492475	0.0670089	0.0416055	0.0279893	0.0225181
a23	0.313107	0.208348	0.111644	0.104217	0.0971738	0.0765982	0.0313128	0.0232474	0.0136192	0.00955279	0.0111797
a79	0.345776	0.180798	0.0850641	0.0817483	0.074453	0.0643295	0.0286658	0.030508	0.0286747	0.0294899	0.0504922
a20	0.23118	0.11729	0.0636638	0.0708865	0.067053	0.0595574	0.0392734	0.0642274	0.0819613	0.104214	0.100694
a15	0.175654	0.141019	0.122776	0.105817	0.103446	0.114075	0.0718297	0.0624385	0.044625	0.0341298	0.0241907
a7	0.0994257	0.0941792	0.0885154	0.0710793	0.0712282	0.0958063	0.11632	0.143584	0.110471	0.0722366	0.0371554
a20	0.0847545	0.0931778	0.118173	0.121754	0.105615	0.106956	0.0792304	0.0793858	0.0819148	0.0785249	0.0505132
a6	0.0682006	0.0892938	0.111719	0.101342	0.0877502	0.0775675	0.0839912	0.099104	0.0976309	0.0992637	0.0841367
a36	0.067643	0.0738417	0.0868997	0.087455	0.0830216	0.0877046	0.0974117	0.0985478	0.081728	0.121106	0.114641
a26	0.0577672	0.0641984	0.077039	0.0853725	0.0864727	0.101972	0.0965938	0.0802168	0.0664998	0.139382	0.144486
a21	0.0291023	0.0385556	0.0607654	0.100034	0.119309	0.170686	0.157001	0.090719	0.0569717	0.0763286	0.100527
a12	0.0282156	0.0360246	0.0499703	0.0761573	0.0953231	0.150985	0.178703	0.126053	0.0719222	0.0932599	0.0933859
a43	0.011681	0.014986	0.0246943	0.0538389	0.0887676	0.179473	0.243526	0.155643	0.0810307	0.0663104	0.080048
a0	0.0126739	0.0179428	0.0292659	0.0547486	0.0895437	0.175361	0.247185	0.16032	0.0819935	0.0593832	0.0715823
a11	0.0190482	0.0264969	0.0422328	0.0646837	0.0881197	0.143619	0.193092	0.145143	0.10047	0.0836856	0.093409
a88	0.0232912	0.0317834	0.0491518	0.0732844	0.0930601	0.127148	0.158319	0.117718	0.0978467	0.106681	0.121717
a9	0.017351	0.0223689	0.0348544	0.0503301	0.064544	0.0924681	0.118857	0.121761	0.146667	0.169988	0.16081
a87	0.0340471	0.0447755	0.0598627	0.0846957	0.0992461	0.100998	0.106863	0.094048	0.0946581	0.117658	0.163148
a23	0.0757289	0.0606365	0.0521544	0.0529152	0.0608525	0.0603831	0.0868154	0.108058	0.109857	0.161508	0.171092
a40	0.0487003	0.0320962	0.0226791	0.0219515	0.0250076	0.0220051	0.041126	0.0742985	0.109088	0.201731	0.401316
a36	0.00720396	0.00685474	0.00864094	0.0123261	0.0183043	0.0182872	0.0462045	0.0874349	0.157995	0.253264	0.383484
a44	0.00199577	0.00231881	0.00339509	0.00567232	0.00926576	0.0131907	0.0325283	0.0565944	0.128059	0.329103	0.417877
a11	0.0022272	0.00262333	0.00378335	0.00600821	0.00934957	0.0132722	0.0247705	0.0393806	0.0961263	0.307932	0.494527
a0	0.00265222	0.0030208	0.00401133	0.00587366	0.0087089	0.0126053	0.0199534	0.037839	0.0997119	0.296779	0.508845
a56	0.00912319	0.0107706	0.0125152	0.0161188	0.020019	0.0255624	0.0378306	0.0591479	0.12753	0.243532	0.437851
a36	0.00205924	0.00249827	0.00331838	0.00434522	0.00549796	0.00670795	0.0116983	0.0243463	0.070924	0.227666	0.640939
a2	0.00751884	0.00821497	0.00911787	0.0111526	0.0130172	0.0123934	0.0189639	0.0312151	0.0880072	0.214132	0.586267
a57	0.135407	0.107339	0.0736532	0.0677979	0.070724	0.0614662	0.0772659	0.0796425	0.0841719	0.0981596	0.144373
a10	0.201006	0.16553	0.115931	0.104216	0.109929	0.0727136	0.0634847	0.0475205	0.0386572	0.0380975	0.0429138
a87	0.177597	0.147148	0.107929	0.103211	0.107877	0.0748504	0.0577455	0.0472081	0.0424305	0.0608587	0.0731456
a23	0.137653	0.127514	0.10619	0.108433	0.114199	0.10106	0.0801292	0.0634949	0.0525237	0.0575384	0.0512639
a87	0.0925362	0.0753611	0.0459878	0.0467847	0.0563909	0.0565671	0.067861	0.0908666	0.108939	0.132139	0.226566
</S>	0.0162242	0.0133936	0.00935525	0.0114252	0.0141303	0.015905	0.025718	0.0431977	0.0902798	0.266959	0.493412
