 	nous	sommes	des	étrangers	</S>
a85	0.495844	0.208108	0.140987	0.0948388	0.0602231
a87	0.65332	0.213016	0.0788212	0.0323148	0.0225274
a23	0.392829	0.280607	0.162632	0.0844275	0.0795045
a87	0.528691	0.241161	0.105213	0.0546791	0.0702558
a23	0.555161	0.265171	0.0917714	0.0387821	0.0491146
a13	0.519343	0.219898	0.0971284	0.0713767	0.0922542
a62	0.611755	0.247621	0.0859473	0.0283212	0.0263552
a0	0.568592	0.297972	0.0888586	0.0246119	0.0199652
a75	0.404138	0.266962	0.174537	0.0839826	0.0703801
a21	0.388678	0.239029	0.175386	0.0997166	0.0971905
a18	0.440065	0.224358	0.160289	0.0944362	0.0808523
a75	0.201059	0.182325	0.223541	0.178053	0.215022
a85	0.147843	0.106936	0.15597	0.234709	0.354542
a73	0.0851461	0.0810053	0.153088	0.272457	0.408304
a44	0.0195373	0.0278281	0.101423	0.303512	0.547699
a26	0.0316157	0.0460292	0.112123	0.295527	0.514705
a94	0.00802432	0.0157544	0.0548325	0.22925	0.692139
a13	0.00910614	0.0184543	0.0628411	0.259749	0.649849
a99	0.00523153	0.0116238	0.0382736	0.16914	0.775731
a87	0.00729101	0.0135982	0.0347484	0.151704	0.792658
a23	0.0994341	0.102119	0.104459	0.198572	0.495416
a87	0.0659996	0.0887777	0.084031	0.198065	0.563127
</S>	0.0419669	0.0574003	0.0883717	0.234779	0.577482
