 	il	marchait	sur	le	bord	de	la	rivière	</S>
a23	0.268455	0.218326	0.149058	0.138457	0.0803035	0.0464763	0.0357279	0.0309805	0.0322161
a87	0.40617	0.0736033	0.0656619	0.0719874	0.072971	0.0758239	0.0787846	0.0742052	0.0807933
a23	0.365436	0.122779	0.095154	0.0806206	0.0615277	0.0597829	0.0652118	0.0702303	0.079258
a87	0.482647	0.132476	0.0471101	0.0331467	0.0319998	0.0430687	0.0538811	0.0675882	0.108082
a23	0.240413	0.0769209	0.046573	0.0460722	0.0641417	0.0884839	0.116803	0.14032	0.180272
a87	0.170427	0.12795	0.0562278	0.0503159	0.0680288	0.0913336	0.120226	0.128894	0.186597
a23	0.132429	0.0925686	0.0437397	0.0426652	0.0688763	0.106551	0.140021	0.157211	0.215938
a10	0.184452	0.13003	0.0559761	0.0490739	0.0711821	0.0959745	0.124221	0.117899	0.171192
a87	0.294922	0.222019	0.103685	0.0652339	0.0591029	0.0621909	0.0714028	0.0617296	0.0597146
a23	0.13734	0.135577	0.0697004	0.0637306	0.0889073	0.103128	0.121836	0.11774	0.162042
a30	0.178567	0.136648	0.0681531	0.0548888	0.075365	0.0977768	0.122047	0.113565	0.152989
a53	0.374714	0.250586	0.111411	0.0579355	0.0409472	0.0397297	0.0443383	0.0417701	0.0385671
a20	0.398082	0.252967	0.128048	0.068031	0.0418112	0.0334925	0.0306272	0.0253943	0.0215465
a30	0.321065	0.255339	0.136825	0.0857761	0.0575315	0.0461016	0.0403062	0.0314195	0.0256367
a2	0.247707	0.196255	0.190623	0.131779	0.0777959	0.0548657	0.0442645	0.0318865	0.0248234
a57	0.0958107	0.107867	0.136176	0.136551	0.106262	0.109124	0.10565	0.0983499	0.104208
a40	0.0853983	0.0999441	0.113085	0.0984227	0.0769815	0.0993041	0.110986	0.126811	0.189068
a30	0.145472	0.134505	0.149624	0.135305	0.119489	0.106022	0.0879041	0.0645421	0.0571366
a2	0.121942	0.133702	0.190039	0.184491	0.137885	0.0973555	0.0694675	0.0411643	0.023953
a75	0.0598971	0.0778825	0.141907	0.180602	0.163261	0.141216	0.107456	0.0715697	0.0562091
a14	0.102359	0.130216	0.192831	0.171128	0.124752	0.10185	0.0802397	0.0554611	0.0411635
a30	0.106525	0.165233	0.192482	0.142371	0.106562	0.0878611	0.0780698	0.0663101	0.0545853
a14	0.0303944	0.0750635	0.142397	0.148952	0.148561	0.140588	0.119367	0.0937222	0.100956
a37	0.026209	0.0609128	0.131586	0.161095	0.16018	0.135167	0.11858	0.104918	0.101352
a41	0.0212054	0.0522914	0.121384	0.153967	0.154455	0.137972	0.12316	0.116259	0.119305
a26	0.0201257	0.0561247	0.137013	0.16185	0.159496	0.133809	0.113664	0.110663	0.107253
a54	0.00774448	0.0188519	0.0609219	0.110724	0.154156	0.174756	0.151859	0.1479	0.173088
a14	0.0113048	0.0203814	0.0532347	0.099405	0.142713	0.149652	0.159289	0.174788	0.189232
a35	0.00817345	0.020829	0.0634402	0.107095	0.157962	0.155806	0.152382	0.164303	0.170009
a76	0.00750587	0.014365	0.0401966	0.0726082	0.136326	0.160802	0.170549	0.187181	0.210466
a69	0.00703523	0.0163776	0.0457806	0.0806168	0.14828	0.169376	0.170743	0.177565	0.184225
a58	0.00767224	0.0151795	0.0359507	0.0564287	0.107435	0.166414	0.197965	0.20217	0.210785
a75	0.00344125	0.00481929	0.0145136	0.0321183	0.0811074	0.153626	0.210195	0.238141	0.262038
a41	0.00621099	0.0115076	0.0303218	0.0555375	0.100257	0.152516	0.182373	0.198981	0.262297
a61	0.0017677	0.00474583	0.0155115	0.032081	0.0772107	0.138271	0.197224	0.240947	0.292242
a75	0.00261482	0.00445513	0.0134377	0.0241154	0.0561746	0.112151	0.187795	0.263541	0.335716
a41	0.00446051	0.00816859	0.0233137	0.0396225	0.0746767	0.129432	0.187266	0.227824	0.305236
a35	0.00243636	0.00534888	0.0152095	0.0293866	0.0641534	0.118337	0.188451	0.254632	0.322045
a76	0.00193185	0.00370399	0.0119193	0.0213807	0.0443638	0.0878212	0.159876	0.266635	0.402368
a94	0.00597471	0.00960196	0.0253998	0.0404749	0.0718816	0.117527	0.180289	0.24246	0.30639
a58	0.00184912	0.00335139	0.0128146	0.0212974	0.0408483	0.0776149	0.138792	0.252862	0.450571
a38	0.000846318	0.00103681	0.0043833	0.0112584	0.0336744	0.0768285	0.146195	0.259044	0.466733
a11	0.000938356	0.000776031	0.00270798	0.00777434	0.0270545	0.06507	0.141849	0.265131	0.488698
a75	0.00109785	0.0011425	0.00396567	0.00951379	0.0282055	0.0610029	0.13226	0.25735	0.505462
a12	0.00116386	0.00126655	0.00411913	0.00876349	0.0248755	0.0590819	0.124601	0.248849	0.52728
a43	0.00167471	0.00253654	0.00629652	0.0116941	0.0301922	0.0640244	0.125666	0.235117	0.522798
a32	0.00138453	0.00154163	0.00459427	0.00907925	0.025209	0.0559822	0.120429	0.241948	0.539833
a11	0.00170417	0.00102695	0.003316	0.00700388	0.0197564	0.0482454	0.111391	0.237045	0.570511
a24	0.00170642	0.00116381	0.00385546	0.0081648	0.0209968	0.0452464	0.108181	0.240784	0.569901
a9	0.00242242	0.00130562	0.00357958	0.00731511	0.0190472	0.0422807	0.101292	0.230753	0.592004
a87	0.00204953	0.00129876	0.00381916	0.00796009	0.0208125	0.0441382	0.105896	0.236653	0.577373
</S>	0.00109172	0.00109097	0.00231881	0.00590167	0.022444	0.0555172	0.120867	0.243188	0.547581
