 	la	mauvaise	parole	que	tu	as	employé	e	n'	a	pas	plu	aux	gens	</S>
a66	0.138884	0.0915977	0.0788278	0.0962882	0.0831837	0.0639898	0.0733101	0.0737016	0.0688373	0.0795954	0.0621279	0.0593118	0.0133624	0.00861426	0.00836834
a87	0.111568	0.115449	0.125612	0.113634	0.112989	0.101982	0.10739	0.101838	0.0363103	0.0231005	0.0170945	0.020062	0.00476823	0.00406743	0.00413517
a23	0.146209	0.150268	0.124362	0.13366	0.107915	0.0756733	0.109653	0.0786481	0.0374454	0.0138744	0.00725189	0.00739262	0.00218809	0.00223416	0.0032252
a50	0.168907	0.185777	0.130971	0.13072	0.0982835	0.0826376	0.0823965	0.0521112	0.0232001	0.0126131	0.00773326	0.00820793	0.00387103	0.00497678	0.00759499
a70	0.203691	0.233659	0.111997	0.136054	0.105113	0.0798434	0.0471845	0.0346159	0.0130862	0.00752609	0.00483195	0.00489147	0.00401489	0.00584237	0.00765035
a4	0.228054	0.228845	0.109207	0.14589	0.102943	0.0626978	0.0402068	0.0311758	0.0140733	0.0101315	0.00680892	0.0055374	0.0051328	0.00470827	0.00458815
a93	0.110652	0.122201	0.115436	0.134888	0.124137	0.0951314	0.0774715	0.0671234	0.0466125	0.0349017	0.0233596	0.01818	0.0115992	0.00947455	0.00883204
a90	0.073233	0.0682319	0.091958	0.0991219	0.110171	0.103034	0.0760984	0.0835138	0.0832982	0.0650145	0.0490571	0.0382492	0.0219719	0.0185679	0.0184792
a56	0.0485163	0.0431803	0.0775778	0.0891102	0.105777	0.099664	0.0625127	0.08142	0.0921599	0.0906588	0.0727614	0.0510843	0.0322884	0.0265802	0.0267093
a41	0.0426904	0.0362604	0.063416	0.0782936	0.0912897	0.0906933	0.0658993	0.0943587	0.114367	0.109687	0.0844075	0.0552522	0.0281823	0.0221833	0.0230201
a21	0.029746	0.0291852	0.0454606	0.0696413	0.0828195	0.0771736	0.0577001	0.0871785	0.0992666	0.144308	0.116775	0.0584021	0.0388026	0.031404	0.0321368
a12	0.0149479	0.0162258	0.0396971	0.046669	0.0443238	0.0449725	0.0444156	0.0568307	0.106323	0.187948	0.170316	0.101472	0.0440158	0.0377346	0.0441077
a43	0.00952701	0.0122615	0.0310587	0.0345266	0.0313085	0.0354965	0.032604	0.0383856	0.0768607	0.18973	0.189323	0.118536	0.0634234	0.0619798	0.0749784
a47	0.00941668	0.01403	0.0273114	0.0349101	0.0313545	0.0375553	0.0285282	0.0383294	0.064258	0.187716	0.199796	0.141545	0.0677248	0.0551481	0.0623772
a62	0.0168057	0.0231631	0.0312953	0.0402883	0.0403571	0.0461524	0.037916	0.0483768	0.0676396	0.15208	0.163413	0.117341	0.0772175	0.0639932	0.0739608
a0	0.0104364	0.0153069	0.0335443	0.0375256	0.0297759	0.0337117	0.0262564	0.0280979	0.0546586	0.166377	0.166285	0.132633	0.0973974	0.079372	0.0886219
a31	0.0163749	0.026388	0.0387526	0.0614541	0.0705421	0.0745547	0.0460784	0.0456973	0.0458943	0.0879379	0.0834375	0.0951013	0.0956552	0.106382	0.105749
a12	0.00751411	0.0103192	0.0207387	0.0227596	0.0190984	0.0208796	0.0175201	0.0168644	0.0284748	0.0818847	0.102188	0.123287	0.17325	0.187862	0.167359
a88	0.00570948	0.00859103	0.0151352	0.0185392	0.0172407	0.0212817	0.0175527	0.0153388	0.0193851	0.0512883	0.058876	0.0602773	0.150505	0.249589	0.290691
a93	0.00749969	0.0131087	0.0187761	0.02792	0.0276045	0.0293434	0.0209153	0.0162868	0.0175281	0.0397614	0.0373839	0.040366	0.121398	0.25558	0.326528
a70	0.00830478	0.0131584	0.0166459	0.0265855	0.0253856	0.0247933	0.017064	0.0161334	0.0189794	0.0359573	0.0335936	0.0361434	0.0984702	0.246123	0.382662
a34	0.00398304	0.0069919	0.00875002	0.0117855	0.0122116	0.0126456	0.00818702	0.010855	0.0103199	0.0195336	0.0194959	0.0213502	0.0793505	0.263493	0.511048
a21	0.00143409	0.00213944	0.00305853	0.0033049	0.00361967	0.00393083	0.00334432	0.00528135	0.00499841	0.0111199	0.0140683	0.0158521	0.0808209	0.287001	0.560026
a92	0.00101734	0.00149128	0.0022179	0.00247988	0.00279667	0.00315011	0.00273249	0.00387828	0.00398818	0.00823925	0.0101977	0.0119097	0.0642405	0.253064	0.628597
a98	0.000724065	0.0012541	0.00144124	0.00184116	0.0016691	0.00201366	0.00155162	0.00189818	0.00230858	0.0059292	0.00812548	0.00910224	0.0537799	0.228161	0.680201
a6	0.000485207	0.000736869	0.000633951	0.000959113	0.000968186	0.00117691	0.00124324	0.00143898	0.0019714	0.00380677	0.00518013	0.00367324	0.0266022	0.20744	0.743684
a36	0.000716572	0.00091394	0.00103232	0.00128986	0.00125803	0.00128158	0.00103305	0.00172527	0.00233043	0.00559506	0.00749456	0.00706516	0.0585335	0.278943	0.630787
a26	0.0117703	0.0133091	0.0143611	0.0148047	0.0185253	0.0153797	0.0125721	0.021153	0.0205694	0.0230363	0.0218121	0.014593	0.0568698	0.208509	0.532735
a84	0.139176	0.127136	0.109722	0.128158	0.112529	0.0597012	0.0511979	0.0440429	0.0334595	0.0369438	0.028009	0.0144315	0.0170792	0.0327934	0.0656207
a87	0.14824	0.124699	0.0997918	0.105429	0.089554	0.0455343	0.0603607	0.0576334	0.0354714	0.0374148	0.0317359	0.0180756	0.0283113	0.0485044	0.069244
a23	0.147136	0.12188	0.0977628	0.103318	0.102587	0.0584699	0.0722852	0.0898819	0.0289508	0.025765	0.0262727	0.0220529	0.0345158	0.0334791	0.0356437
a99	0.0847186	0.0795486	0.0607553	0.0656103	0.0833161	0.0624705	0.0891794	0.110366	0.0471316	0.0533787	0.0503772	0.0327396	0.0373175	0.0578807	0.0852099
a87	0.0404211	0.0408347	0.0437156	0.0500675	0.066316	0.0527614	0.0834885	0.118109	0.100181	0.083005	0.0700099	0.0362942	0.0377926	0.0635003	0.113503
</S>	0.0256674	0.0298907	0.0303665	0.0400123	0.0446205	0.0362142	0.0564992	0.0935502	0.0604291	0.0539157	0.0575948	0.0277196	0.0516265	0.117356	0.274538
