 	les	chefs	coutumiers	du	district	de	boundji	sont	partis	en	conseil	à	ongondza	</S>
a66	0.114219	0.157037	0.238789	0.122008	0.118408	0.0636894	0.0583269	0.0420746	0.0276353	0.0210278	0.0159117	0.00863529	0.00713655	0.00510104
a87	0.463719	0.314218	0.0661071	0.00955431	0.0106467	0.0136627	0.0170982	0.0219339	0.0165773	0.0141812	0.010486	0.011878	0.0163268	0.0136112
a23	0.437239	0.21935	0.0607477	0.0279561	0.0270224	0.028433	0.0351069	0.0311403	0.0218374	0.0170035	0.0167597	0.0213644	0.0206005	0.0354392
a40	0.172395	0.0735614	0.0283436	0.0365765	0.042357	0.0563173	0.0765036	0.0834419	0.0742663	0.0789925	0.0638204	0.0742208	0.064177	0.0750267
a7	0.21991	0.127348	0.115725	0.0406696	0.0397544	0.0602089	0.0789215	0.0843961	0.0812835	0.0515689	0.0308452	0.0234291	0.0222646	0.0236758
a2	0.197853	0.276636	0.194145	0.0813038	0.0575696	0.0368028	0.0324068	0.0299026	0.0240583	0.0132804	0.0082897	0.0107755	0.016605	0.0203708
a40	0.109677	0.13007	0.138602	0.150903	0.100835	0.0710661	0.059196	0.0577851	0.0473307	0.0269442	0.0154755	0.0202754	0.0289211	0.0429176
a54	0.0998266	0.151951	0.153822	0.115947	0.0839032	0.061274	0.0562859	0.056523	0.0511081	0.0357258	0.027547	0.0327596	0.0387688	0.0345575
a6	0.0958587	0.160098	0.167674	0.117988	0.0695204	0.0596557	0.0580229	0.0553469	0.0508419	0.0325267	0.0189827	0.02171	0.0387313	0.053043
a47	0.112401	0.158233	0.137071	0.108622	0.0632863	0.0507977	0.049951	0.0455958	0.0444429	0.032895	0.0281914	0.0331167	0.0517297	0.083666
a37	0.103098	0.153913	0.153163	0.119111	0.0666239	0.0453837	0.0431138	0.0390496	0.0374569	0.028137	0.0249742	0.031796	0.05336	0.10082
a44	0.107267	0.142279	0.148295	0.138435	0.0898518	0.05149	0.048706	0.0441778	0.0396971	0.0340539	0.0309	0.0299367	0.0318887	0.0630221
a13	0.058274	0.0743111	0.137599	0.171892	0.120977	0.0716869	0.0756103	0.0695715	0.0610368	0.0502602	0.0348947	0.0235527	0.021645	0.0286891
a88	0.0229093	0.029846	0.0869151	0.187741	0.149999	0.0996549	0.104016	0.0929063	0.0772882	0.0530592	0.0288676	0.01749	0.0187421	0.030565
a18	0.0142769	0.0174553	0.0474926	0.163284	0.17649	0.129471	0.133928	0.111216	0.0844571	0.0456091	0.0208259	0.0115923	0.0149328	0.0289695
a40	0.0100581	0.0105074	0.0276722	0.129485	0.19756	0.150669	0.148086	0.115397	0.0836539	0.044926	0.0216622	0.0141077	0.017126	0.0290901
a47	0.00753597	0.00813149	0.0319403	0.0876419	0.0774411	0.0680421	0.108008	0.112437	0.112002	0.104838	0.0636924	0.0461091	0.0586588	0.113522
a37	0.00535402	0.00646883	0.0370426	0.0881564	0.07767	0.0749158	0.12571	0.132978	0.127332	0.11123	0.0669434	0.0409107	0.0365181	0.0687705
a66	0.00571349	0.00759464	0.0315955	0.0972176	0.112181	0.103496	0.145909	0.136348	0.12328	0.0952207	0.0514605	0.0254808	0.0232272	0.0412752
a38	0.00574558	0.00727771	0.0257716	0.0750177	0.115683	0.118481	0.161634	0.126065	0.108834	0.0898531	0.0483321	0.0280116	0.029167	0.0601275
a93	0.00451738	0.00497035	0.0156705	0.0466844	0.0910006	0.109623	0.169423	0.144524	0.128447	0.102277	0.0534351	0.0344007	0.0322131	0.0628135
