 	cet	homme	est	sorti	de	cette	maison	</S>
a66	0.243017	0.208542	0.174689	0.108334	0.100739	0.0782477	0.0520836	0.034348
a87	0.237771	0.188001	0.184572	0.142943	0.117685	0.0670381	0.0370846	0.0249058
a23	0.291858	0.242252	0.19854	0.108599	0.0695869	0.0449961	0.0271183	0.0170504
a87	0.446735	0.234175	0.135229	0.0705179	0.0437367	0.0287805	0.0223414	0.0184849
a23	0.407051	0.252189	0.150702	0.0768985	0.0445425	0.0277389	0.0210332	0.019845
a30	0.411022	0.205552	0.128675	0.0764066	0.0568679	0.0441944	0.0389513	0.0383311
a93	0.359255	0.212607	0.154143	0.096135	0.0711881	0.0485756	0.0325001	0.0255956
a4	0.230635	0.180646	0.154488	0.123924	0.116631	0.0997899	0.0561866	0.0376996
a93	0.145792	0.15406	0.138485	0.10952	0.112308	0.117895	0.117705	0.104234
a15	0.0983731	0.112037	0.10535	0.0899842	0.102852	0.121978	0.172346	0.19708
a69	0.0904368	0.109709	0.115028	0.110875	0.109593	0.120174	0.1515	0.192683
a20	0.0743543	0.0825685	0.084233	0.0884968	0.0949567	0.122203	0.185375	0.267813
a93	0.0992415	0.124834	0.140162	0.149174	0.124219	0.106459	0.105986	0.149924
a70	0.0432962	0.0466041	0.0552448	0.0724114	0.0900823	0.133235	0.225282	0.333844
a0	0.0313502	0.0309308	0.0362549	0.0604605	0.0862059	0.127255	0.235682	0.39186
a75	0.0132317	0.0111151	0.0120085	0.0258484	0.0589835	0.123802	0.268864	0.486147
a56	0.00687007	0.00737812	0.0125164	0.047435	0.123235	0.214256	0.257199	0.33111
a94	0.00414237	0.00388781	0.00600019	0.0233417	0.0741677	0.183319	0.300796	0.404346
a47	0.00376915	0.00313074	0.00429902	0.0165829	0.0491428	0.130379	0.283816	0.50888
a62	0.00230826	0.00178692	0.00232491	0.0102093	0.0383404	0.113198	0.268029	0.563802
a88	0.000464305	0.000373616	0.000462161	0.00208239	0.012048	0.0645736	0.287773	0.632223
a50	0.000392201	0.000299421	0.000362359	0.00154091	0.00833941	0.0533674	0.266332	0.669367
a88	0.00401579	0.00352099	0.00491736	0.0153353	0.0329821	0.0828872	0.246499	0.609843
a71	0.00581489	0.00492308	0.00652924	0.0189594	0.0377696	0.08928	0.241386	0.595338
a9	0.0243909	0.0185584	0.0204067	0.0431414	0.0674846	0.11425	0.217075	0.494693
a99	0.238463	0.150333	0.0984521	0.0799713	0.0717085	0.0688554	0.0944752	0.197741
a87	0.168685	0.118253	0.0766069	0.0603552	0.0595384	0.073517	0.146822	0.296221
a23	0.143961	0.114479	0.0809076	0.0672471	0.0746745	0.0976573	0.16637	0.254703
a87	0.048098	0.0343779	0.0263172	0.0358987	0.0564517	0.103717	0.212755	0.482385
</S>	0.0245449	0.020166	0.0181874	0.03747	0.0667685	0.107623	0.211925	0.513316
