 	sa	manière	de	conduire	la	voiture	est	mauvaise	</S>
a88	0.262835	0.11689	0.109776	0.186909	0.136228	0.0862374	0.0455609	0.0297428	0.0258214
a75	0.254423	0.144046	0.0737303	0.0470667	0.0717865	0.0828666	0.0958557	0.103803	0.126422
a90	0.466403	0.225461	0.0755704	0.0581973	0.0505786	0.0476456	0.0344474	0.0219535	0.019743
a56	0.543043	0.228779	0.0803729	0.0598056	0.0333114	0.0202772	0.012429	0.0103066	0.0116748
a21	0.528509	0.297828	0.0939341	0.0412483	0.0163897	0.00866292	0.00506088	0.00406414	0.00430274
a85	0.486985	0.33337	0.0984962	0.0403888	0.0167972	0.00939982	0.00542313	0.0045063	0.0046337
a25	0.262163	0.24875	0.212719	0.130181	0.0583069	0.0311094	0.0195874	0.0175787	0.0196041
a98	0.129252	0.143284	0.185457	0.23863	0.128739	0.0652873	0.0408547	0.0327412	0.0357559
a85	0.0434057	0.0544213	0.157828	0.258676	0.172687	0.101439	0.0666574	0.0635715	0.0813147
a44	0.0365777	0.0420416	0.149276	0.274543	0.186058	0.100806	0.0643676	0.0626476	0.0836821
a84	0.054551	0.0476026	0.107374	0.230001	0.201385	0.115245	0.0761172	0.0720979	0.0956258
a75	0.0146285	0.013519	0.0215694	0.0619119	0.114043	0.147688	0.169334	0.189767	0.267539
a25	0.0275516	0.0257633	0.0608981	0.161482	0.205737	0.178193	0.112099	0.0999196	0.128357
a96	0.0237593	0.0199045	0.0561291	0.164942	0.217646	0.166867	0.11234	0.0977511	0.140661
a61	0.0205672	0.0166254	0.0400079	0.0963825	0.187165	0.205327	0.147295	0.127363	0.159268
a21	0.0194436	0.0157343	0.0327689	0.0708849	0.146147	0.214826	0.186217	0.163539	0.150439
a66	0.0196456	0.0162215	0.0303062	0.0670959	0.136207	0.213122	0.191514	0.168616	0.157271
a61	0.00186615	0.00146173	0.0043221	0.0134328	0.0402286	0.100214	0.162707	0.2558	0.419968
a47	0.00260083	0.00224613	0.00592981	0.0185079	0.0502846	0.115471	0.175452	0.265323	0.364185
a13	0.00207196	0.0016156	0.00523062	0.0172381	0.0465567	0.105231	0.16622	0.268099	0.387737
a62	0.000375915	0.000298681	0.000945464	0.00285019	0.0119374	0.037492	0.109435	0.261787	0.574878
a83	0.00106013	0.000846675	0.00211671	0.00442362	0.0162147	0.0468717	0.120557	0.28715	0.52076
a9	0.000777012	0.000547226	0.0014698	0.00365589	0.0140539	0.0430763	0.12728	0.280123	0.529018
a87	0.00297949	0.00204386	0.00327294	0.0065021	0.0311573	0.107633	0.195948	0.280004	0.370459
a23	0.0572916	0.0307145	0.0262957	0.0324485	0.0683615	0.123191	0.177281	0.211951	0.272464
a87	0.0443271	0.0233101	0.0212786	0.0260733	0.0574246	0.0949392	0.154888	0.223092	0.354667
a23	0.0121015	0.00908375	0.0160102	0.0236725	0.0497632	0.0717528	0.14199	0.228444	0.447183
a87	0.0192122	0.0142654	0.0227441	0.0316726	0.0563792	0.0804454	0.142477	0.233807	0.398997
</S>	0.023381	0.017652	0.0324251	0.0375559	0.0529162	0.0666409	0.122491	0.221193	0.425745
