 	mon	épouse	a	mal	au	ventre	</S>
a66	0.394808	0.199614	0.128467	0.10982	0.0842783	0.0507365	0.0322754
a87	0.341132	0.221299	0.172362	0.123315	0.0695222	0.0405429	0.0318283
a23	0.54754	0.269994	0.0815756	0.0356347	0.0218124	0.0191535	0.0242898
a83	0.502731	0.226797	0.0777793	0.0421177	0.0415468	0.0481969	0.0608319
a98	0.362535	0.198905	0.100617	0.079157	0.080629	0.0851749	0.0929819
a85	0.332643	0.297274	0.174405	0.093502	0.0525384	0.0287568	0.0208802
a6	0.182557	0.248094	0.230409	0.168321	0.0964904	0.0458202	0.0283081
a56	0.145901	0.229674	0.241243	0.185734	0.107693	0.0539438	0.035811
a25	0.211271	0.25186	0.214322	0.129875	0.0799031	0.058888	0.0538802
a98	0.0737184	0.122127	0.199982	0.217157	0.148636	0.117972	0.120407
a15	0.0525605	0.0815806	0.155053	0.234593	0.186917	0.148403	0.140893
a79	0.0554817	0.0687837	0.1095	0.18188	0.188469	0.186075	0.20981
a44	0.0426778	0.0570579	0.106233	0.204473	0.213042	0.189666	0.186851
a62	0.0252535	0.0233618	0.0418341	0.121661	0.2092	0.255568	0.323122
a61	0.0141698	0.0109875	0.017237	0.0566816	0.167356	0.3005	0.433069
a43	0.00683482	0.00542249	0.00847775	0.0272798	0.106066	0.294005	0.551914
a56	0.00572571	0.00428638	0.00567362	0.0155149	0.0613147	0.243552	0.663933
a94	0.00272518	0.00221924	0.00372876	0.0126508	0.0532341	0.229229	0.696213
a93	0.00207319	0.00193277	0.00361073	0.0134381	0.0543704	0.22	0.704574
a4	0.00111496	0.00093958	0.00162663	0.00734195	0.040901	0.208225	0.739851
a90	0.00262022	0.00270322	0.00481142	0.018119	0.0739642	0.2423	0.655482
a15	0.00148848	0.00152839	0.00325789	0.013392	0.0553258	0.211766	0.713242
a7	0.00085587	0.00100431	0.00231038	0.0102542	0.0477477	0.198447	0.739381
a84	0.00126429	0.00173541	0.00395638	0.0184856	0.0760305	0.229149	0.669378
a87	0.0819364	0.063001	0.0646743	0.0978153	0.159148	0.220936	0.312489
a23	0.433749	0.291237	0.13449	0.0601715	0.0350087	0.0242635	0.0210802
a87	0.292034	0.159704	0.0812224	0.0764084	0.0920748	0.124545	0.174012
</S>	0.025775	0.0157951	0.011363	0.0240698	0.0773528	0.240697	0.604947
