 	les	visiteurs	s'	arrêtent	en	aval	du	village	</S>
a23	0.12299	0.0715173	0.0590671	0.0460861	0.0444058	0.0541072	0.0667379	0.171579	0.36351
a87	0.104485	0.0532815	0.0436363	0.0564553	0.11395	0.123709	0.121075	0.176699	0.206709
a23	0.113434	0.0588061	0.0583827	0.0750279	0.131708	0.126241	0.0926893	0.149538	0.194173
a40	0.072229	0.0318465	0.0352889	0.0542582	0.0828454	0.106777	0.13238	0.210385	0.27399
a73	0.173634	0.114208	0.097139	0.145876	0.136622	0.114404	0.072224	0.0760021	0.0698908
a69	0.259652	0.190171	0.146439	0.141028	0.114725	0.0742089	0.0312065	0.0242525	0.0183168
a58	0.142373	0.116488	0.136793	0.198994	0.170242	0.107901	0.0582126	0.0407274	0.028268
a53	0.141496	0.134824	0.168966	0.199208	0.152086	0.0937125	0.0497305	0.0349811	0.0249958
a15	0.0800258	0.0761499	0.126074	0.202166	0.179561	0.124848	0.0926163	0.0690091	0.0495489
a73	0.0923967	0.0746511	0.110115	0.147987	0.156571	0.119747	0.117196	0.103613	0.0777244
a94	0.0722699	0.0633441	0.100954	0.140491	0.166093	0.136225	0.134083	0.10662	0.0799202
a32	0.0736914	0.0644089	0.0990907	0.107657	0.14601	0.135136	0.143949	0.127185	0.102871
a90	0.0843649	0.0747111	0.101258	0.09903	0.127832	0.125239	0.137615	0.132604	0.117346
a69	0.0846682	0.0822161	0.103752	0.099567	0.130526	0.125374	0.129604	0.127956	0.116338
a94	0.0543844	0.0508816	0.0703095	0.0719655	0.109164	0.127283	0.149087	0.179821	0.187104
a32	0.0315817	0.0296901	0.0486496	0.0567423	0.0838003	0.10427	0.15545	0.222688	0.267129
a90	0.0451632	0.0375968	0.0578932	0.0611417	0.0811677	0.0979394	0.156697	0.209611	0.252789
a98	0.0238578	0.0272616	0.0468593	0.0550293	0.07591	0.0922327	0.140739	0.22669	0.31142
a73	0.017357	0.0219828	0.039485	0.0471162	0.0615138	0.0721958	0.143669	0.260831	0.33585
a84	0.0113039	0.0139118	0.0251856	0.0353569	0.0504093	0.0600318	0.131604	0.283702	0.388495
a53	0.0052171	0.00596747	0.0140561	0.0193285	0.0307613	0.0386126	0.114929	0.324742	0.446386
a4	0.00551665	0.00597761	0.0119979	0.0167767	0.0257332	0.0325255	0.106518	0.309983	0.484971
a57	0.0184134	0.01383	0.0179053	0.0215314	0.026496	0.0305433	0.0946948	0.255933	0.520653
a82	0.00760189	0.00543435	0.00817936	0.0112493	0.0162202	0.0217866	0.0891897	0.286534	0.553805
a87	0.00562685	0.00410984	0.00612811	0.00958283	0.0175888	0.0252697	0.10595	0.297847	0.527897
</S>	0.00209528	0.00192131	0.00366997	0.00602351	0.00789412	0.0125464	0.100781	0.312483	0.552585
