 	j'	ai	embroché	des	noix	de	palme	</S>
a66	0.424115	0.221825	0.147452	0.0940252	0.0558035	0.0239856	0.0153851	0.0174088
a87	0.630877	0.224841	0.0449078	0.0301532	0.0234539	0.0107998	0.0146744	0.0202919
a99	0.528653	0.20907	0.0696061	0.0406723	0.0318514	0.0265196	0.0384408	0.0551872
a13	0.531057	0.245817	0.0617746	0.0324566	0.0235587	0.0193048	0.0339966	0.0520342
a83	0.511687	0.229287	0.0901196	0.0455517	0.0236524	0.0170806	0.0317151	0.0509066
a54	0.447879	0.270555	0.0945306	0.055268	0.030816	0.0260708	0.0354805	0.0393996
a5	0.258368	0.228254	0.130147	0.130959	0.0809128	0.0625565	0.0590682	0.049734
a36	0.144564	0.230338	0.209892	0.191218	0.115257	0.0482369	0.0364589	0.0240353
a27	0.103306	0.184924	0.227087	0.177294	0.123122	0.0728705	0.0587137	0.0526836
a82	0.0537302	0.102349	0.192675	0.180625	0.158432	0.105434	0.0973032	0.109452
a38	0.0536434	0.0809757	0.162994	0.155736	0.161063	0.139615	0.123856	0.122117
a88	0.0538337	0.086478	0.170725	0.155864	0.125917	0.114376	0.134423	0.158383
a25	0.0316652	0.0506312	0.17445	0.207289	0.207364	0.123392	0.10133	0.103879
a24	0.0132017	0.0228555	0.102775	0.12598	0.168817	0.164897	0.172606	0.228868
a88	0.0137008	0.016208	0.0690555	0.0946818	0.153984	0.198934	0.199813	0.253623
a62	0.0101503	0.00995162	0.0317362	0.0505773	0.103176	0.213176	0.250083	0.331149
a21	0.00762617	0.00798539	0.0306775	0.0538385	0.103105	0.226148	0.252451	0.318168
a92	0.00117013	0.00106907	0.00448317	0.0117997	0.0431014	0.203708	0.307268	0.4274
a37	0.000982054	0.000991224	0.0041248	0.00901886	0.0262695	0.148816	0.313315	0.496483
a94	0.000786924	0.000689521	0.00201136	0.00398315	0.011979	0.0989034	0.298832	0.582814
a90	0.000778941	0.00066851	0.00153334	0.00316419	0.00940293	0.093918	0.307738	0.582796
a79	0.000346624	0.000323621	0.00115182	0.00277609	0.0111401	0.100357	0.313188	0.570717
a69	0.000149022	0.000123267	0.000478424	0.00123899	0.00555905	0.070975	0.29208	0.629396
a32	0.000287276	0.000277151	0.000941151	0.00201353	0.00807492	0.0915304	0.316084	0.580791
a53	0.000223905	0.000208887	0.00068485	0.00164097	0.00647626	0.0765226	0.284265	0.629978
a4	0.000285228	0.000241656	0.000736336	0.00145997	0.00667425	0.0855761	0.30379	0.601237
a13	0.000277798	0.000256697	0.000799277	0.00177641	0.00755783	0.0848043	0.286938	0.617589
a9	0.000615166	0.000520059	0.00130863	0.00266014	0.00810366	0.0842749	0.288685	0.613832
a99	0.0339772	0.0142047	0.0153758	0.0158047	0.0266703	0.0891249	0.21005	0.594792
a97	0.132829	0.0532386	0.0390106	0.0386371	0.0595721	0.109712	0.181924	0.385077
a87	0.351227	0.162304	0.0726254	0.0516405	0.0566386	0.0669043	0.0920518	0.146608
a97	0.216244	0.120315	0.0530173	0.0341979	0.0368141	0.0682592	0.160412	0.31074
a87	0.111866	0.0655344	0.0379644	0.0300779	0.0326384	0.0745721	0.202396	0.444951
</S>	0.0730461	0.0446758	0.0281409	0.0234699	0.0262787	0.0710091	0.215283	0.518097
