 	le	père	a	conseillé	son	fils	de	se	marier	avec	une	femme	de	la	même	tribu	</S>
a87	0.0259142	0.036729	0.0751101	0.135673	0.0662025	0.1051	0.10924	0.117758	0.131532	0.091605	0.0574943	0.0306161	0.0088986	0.00337888	0.00195056	0.00135889	0.00144064
a23	0.196205	0.135615	0.146663	0.0929471	0.0377624	0.0709	0.0495031	0.0303485	0.0326353	0.0403117	0.0347049	0.0258832	0.0150149	0.0137733	0.0235843	0.0217978	0.032351
a54	0.0714086	0.03903	0.0414557	0.0583452	0.0381128	0.0490787	0.0526461	0.0535895	0.0607285	0.0520474	0.0519198	0.0551258	0.0506763	0.0555003	0.0710108	0.0731654	0.126159
a47	0.0730055	0.0980406	0.111596	0.112065	0.044506	0.0492861	0.0792042	0.096802	0.0667157	0.036376	0.0406058	0.0468287	0.0491586	0.0375186	0.0270742	0.018622	0.0125947
a36	0.10117	0.128077	0.114841	0.103542	0.0598479	0.0677344	0.0980547	0.118493	0.079594	0.0327558	0.0238378	0.0184051	0.0140471	0.0117341	0.0110426	0.00857103	0.0082537
a75	0.098362	0.122515	0.0994651	0.10064	0.0724833	0.0793955	0.0992965	0.118207	0.0884524	0.0394802	0.0244304	0.0164091	0.0113748	0.00839574	0.00724996	0.00637911	0.00746372
a21	0.0947409	0.122182	0.0962901	0.0893227	0.0586686	0.0644813	0.0793335	0.0975465	0.0932599	0.0501193	0.0354922	0.0258432	0.0201594	0.0180663	0.018142	0.0157603	0.0205917
a92	0.102602	0.10515	0.0826089	0.0939818	0.0587395	0.0697034	0.0907188	0.111722	0.111658	0.0553708	0.0388095	0.0259765	0.0162916	0.0114621	0.00910051	0.0076205	0.00848456
a75	0.0579669	0.0618311	0.0669469	0.0803746	0.0465165	0.0611925	0.0883714	0.115966	0.149521	0.0711794	0.059058	0.0418978	0.0262201	0.0208909	0.0194531	0.0158309	0.0167829
a98	0.0959382	0.088529	0.072554	0.0771443	0.0470961	0.0591424	0.0824639	0.104253	0.122841	0.0642771	0.0524878	0.0373935	0.0233182	0.0180648	0.0168665	0.0168439	0.0207855
a85	0.0756707	0.076086	0.0770824	0.0715239	0.0500558	0.0559074	0.0649298	0.0802392	0.111176	0.0629359	0.0615348	0.0556992	0.0444527	0.0345767	0.0266588	0.023035	0.0284356
a92	0.0867888	0.0824438	0.0913915	0.0787168	0.0604336	0.0629787	0.0736264	0.0893316	0.106043	0.0593174	0.0531023	0.0444254	0.0305372	0.022928	0.018656	0.0176274	0.0216518
a61	0.0552014	0.0484016	0.0650919	0.0810928	0.0732072	0.0741189	0.0888284	0.112502	0.115681	0.0711236	0.0593947	0.0474658	0.0308577	0.0216086	0.0176463	0.0160116	0.0217664
