 	le	rat	zebré	ressemble	à	la	panthère	</S>
a66	0.357794	0.182748	0.0809374	0.0571955	0.0756893	0.0984206	0.0865638	0.0606519
a87	0.401001	0.116029	0.0434606	0.0746171	0.0903797	0.0876151	0.0844995	0.102398
a23	0.455834	0.33776	0.105831	0.0349576	0.0214802	0.0157799	0.0128863	0.0154713
a83	0.224884	0.269898	0.273051	0.0829569	0.0449448	0.0292565	0.031305	0.0437033
a75	0.321813	0.386066	0.165884	0.0322984	0.0176079	0.018438	0.0232829	0.0346104
a5	0.15167	0.246015	0.258952	0.169851	0.0773916	0.0356037	0.0271153	0.0334016
a21	0.141594	0.215076	0.313012	0.203638	0.0675143	0.0230128	0.0161577	0.019995
a5	0.114675	0.208253	0.286929	0.225015	0.0719037	0.0370068	0.0286409	0.0275772
a47	0.0802766	0.148301	0.194034	0.303475	0.11853	0.0643621	0.0467526	0.044268
a96	0.0545174	0.122747	0.155417	0.236863	0.149234	0.106288	0.0795798	0.0953527
a61	0.0123529	0.0328732	0.0681755	0.186455	0.213287	0.20919	0.138012	0.139654
a21	0.00502855	0.0134313	0.0168827	0.0570387	0.133261	0.236708	0.255828	0.281821
a12	0.00126276	0.00151262	0.0016875	0.0154265	0.0677304	0.194536	0.31208	0.405764
a75	0.000433143	0.00059269	0.000702778	0.0088843	0.0455519	0.156003	0.299761	0.488071
a98	0.000110612	0.000140683	0.000179422	0.00282348	0.0217877	0.119109	0.293282	0.562568
a92	4.76169e-05	5.00579e-05	8.69119e-05	0.00148999	0.0138842	0.118782	0.347706	0.517953
a44	5.53562e-05	4.50078e-05	4.41796e-05	0.000919178	0.00962568	0.0856429	0.349656	0.554012
a56	0.000416734	0.000224069	0.000169763	0.00224729	0.0205285	0.144013	0.353005	0.479396
a44	0.00147438	0.000760765	0.000623294	0.00388098	0.023969	0.134188	0.324298	0.510806
a57	0.00142986	0.000900304	0.000824456	0.00431289	0.0268941	0.125111	0.309945	0.530583
a3	0.0158868	0.0127179	0.00432809	0.0112115	0.0387712	0.13731	0.296376	0.483398
a87	0.179628	0.197594	0.0640292	0.0363842	0.0552983	0.0832438	0.129531	0.254291
a23	0.342094	0.23779	0.0685037	0.0381692	0.0431826	0.059705	0.089502	0.121053
a87	0.0471707	0.0263121	0.0112872	0.0105186	0.0226636	0.0686923	0.295582	0.517774
</S>	0.00569936	0.00528155	0.00421602	0.00757638	0.0184325	0.0662137	0.313373	0.579208
