 	le	pêcheur	s'	est	assis	sur	le	bout	de	la	pirogue	</S>
a66	0.270375	0.248378	0.0995489	0.0791678	0.086366	0.0555677	0.0429733	0.0365279	0.0301012	0.0211083	0.0155573	0.0143278
a87	0.426165	0.257024	0.0694253	0.0395114	0.0368587	0.0316383	0.0263141	0.0237231	0.0229309	0.0217709	0.0225301	0.0221083
a23	0.431766	0.330113	0.086084	0.0321809	0.0206619	0.0128698	0.00969261	0.00921103	0.0102602	0.0132004	0.018915	0.025045
a79	0.296555	0.267651	0.101222	0.0388174	0.0235265	0.0217729	0.0201979	0.0229475	0.0289705	0.0373467	0.0556617	0.0853307
a90	0.140968	0.134648	0.078269	0.0499093	0.0437406	0.047952	0.0441912	0.0544328	0.0677819	0.0896463	0.115745	0.132717
a79	0.184664	0.211166	0.15109	0.0972431	0.0804285	0.0718079	0.0506372	0.0394532	0.0313701	0.0270705	0.0278475	0.0272228
a15	0.139019	0.172276	0.147385	0.117513	0.107592	0.0862469	0.0565697	0.0422362	0.0343712	0.0288135	0.0335185	0.0344586
a98	0.0651021	0.0921366	0.123722	0.134076	0.134667	0.127526	0.0884233	0.0647741	0.0495669	0.0385534	0.040429	0.0410235
a6	0.0615559	0.0848082	0.133309	0.139913	0.141584	0.129921	0.090795	0.0672678	0.0476266	0.0330667	0.0339616	0.0361913
a5	0.0699022	0.0858957	0.150462	0.161756	0.150636	0.128483	0.0789987	0.0522383	0.0329841	0.0249294	0.0287577	0.0349565
a12	0.0784023	0.0814384	0.15442	0.2009	0.160708	0.11746	0.0664929	0.0432162	0.0280698	0.021068	0.0213849	0.0264398
a96	0.042328	0.0435717	0.111778	0.20212	0.18452	0.125337	0.0787217	0.0570122	0.041358	0.0341989	0.0349703	0.0440846
a75	0.0253445	0.0264296	0.0876683	0.20533	0.211574	0.142506	0.0857311	0.0590746	0.0429445	0.034713	0.0351128	0.0435717
a85	0.00769802	0.00819228	0.0304936	0.103599	0.153699	0.14613	0.117804	0.108755	0.0889352	0.0760468	0.0722929	0.0863543
a6	0.00519813	0.00598503	0.0231759	0.0824891	0.139141	0.147886	0.115945	0.10753	0.0933839	0.0915941	0.0873634	0.100309
a12	0.00890945	0.0101522	0.0331079	0.0979768	0.155342	0.137312	0.110963	0.104444	0.0867969	0.0809109	0.0791231	0.0949615
a96	0.0133087	0.0117709	0.030413	0.081106	0.140357	0.13551	0.118522	0.109068	0.0908889	0.0826967	0.0816624	0.104696
a88	0.0125391	0.0109674	0.02333	0.0548586	0.104646	0.122847	0.130989	0.134502	0.108356	0.0899316	0.088808	0.118226
a62	0.0158671	0.0155284	0.020348	0.0345096	0.062791	0.0854705	0.108429	0.132709	0.127794	0.12005	0.122268	0.154235
a96	0.0138232	0.0127146	0.0192098	0.0275586	0.0408073	0.0518053	0.0693009	0.100704	0.141355	0.168947	0.176038	0.177735
a34	0.00773003	0.00735724	0.0103408	0.0169178	0.0271188	0.0384858	0.0545186	0.0874589	0.136901	0.182798	0.20544	0.224933
a21	0.00299617	0.00259797	0.00437284	0.00832025	0.0150619	0.0229756	0.0355777	0.0637532	0.117796	0.192801	0.258078	0.27567
a85	0.00131138	0.00109107	0.00187526	0.00391634	0.00789297	0.0142997	0.0236069	0.0450904	0.0945213	0.183747	0.283276	0.339371
a79	0.000285437	0.000272862	0.000603638	0.00215303	0.00586384	0.0130871	0.0236977	0.0464986	0.08999	0.169632	0.268293	0.379622
a98	0.000144543	0.000131862	0.000352634	0.00117503	0.00338411	0.00750986	0.0151438	0.0337623	0.0762229	0.163476	0.29145	0.407248
a85	0.000280225	0.000241967	0.000654612	0.00179246	0.00419279	0.00826245	0.0143142	0.027245	0.0622705	0.143401	0.296664	0.440681
a6	0.000138851	0.000119941	0.000347022	0.00110706	0.00305451	0.00668937	0.0125067	0.0254132	0.0614367	0.14223	0.299651	0.447306
a36	0.000441648	0.000342355	0.000792381	0.00151901	0.00359274	0.00797252	0.0156857	0.0336363	0.0773873	0.166636	0.293434	0.398561
a27	0.00181869	0.00137058	0.00242111	0.00374922	0.00733773	0.0125172	0.0199488	0.0368014	0.0700693	0.157099	0.2797	0.407167
a84	0.0233128	0.0136892	0.0154864	0.0199254	0.0347945	0.0428078	0.0611022	0.0874219	0.102021	0.145895	0.187866	0.265678
a57	0.0542833	0.0319854	0.0310893	0.0395691	0.0602981	0.0577758	0.0693071	0.0840397	0.0924061	0.121066	0.152138	0.206042
a87	0.184725	0.0969034	0.0471177	0.039103	0.0451149	0.033814	0.0406	0.053667	0.0730195	0.102042	0.127422	0.156472
a23	0.151978	0.0959214	0.0474045	0.0389638	0.0466662	0.0335165	0.0431618	0.0638811	0.092538	0.116367	0.129587	0.140014
a99	0.0434343	0.0317101	0.0195671	0.0161412	0.0204535	0.0217606	0.0371334	0.064935	0.108728	0.156342	0.224677	0.255118
a97	0.0339058	0.0231065	0.0209581	0.0255719	0.0385633	0.0445943	0.0579702	0.0728705	0.090492	0.12787	0.202029	0.262069
a87	0.00982731	0.00819494	0.01193	0.0181135	0.0290366	0.0366103	0.0509146	0.0665141	0.0879586	0.125013	0.217821	0.338067
</S>	0.0140377	0.013307	0.015863	0.0194727	0.0285064	0.0328951	0.0450369	0.0579346	0.0769492	0.112736	0.216287	0.366975
