 	si	tu	pars	je	pars	aussi	</S>
a23	0.402468	0.230029	0.159784	0.0487718	0.0529614	0.0528129	0.0531733
a10	0.435378	0.215484	0.130822	0.0740759	0.0536415	0.0450902	0.0455078
a87	0.240946	0.224845	0.229159	0.116531	0.0705489	0.0562769	0.0616936
a23	0.258292	0.182755	0.162068	0.106183	0.0885233	0.0926712	0.109508
a79	0.278487	0.204388	0.190307	0.112036	0.0866849	0.0601605	0.0679366
a53	0.319375	0.262091	0.3175	0.058322	0.0235087	0.0108269	0.00837691
a20	0.23465	0.257162	0.371109	0.0892189	0.0277273	0.0117298	0.00840307
a73	0.224082	0.275845	0.338748	0.0997681	0.0364801	0.0143852	0.0106918
a94	0.244212	0.256955	0.297101	0.107921	0.0499203	0.0244596	0.0194312
a69	0.191845	0.235707	0.286958	0.15188	0.070539	0.0358003	0.0272701
a13	0.155213	0.17527	0.212065	0.198777	0.133324	0.0709267	0.0544243
a9	0.105913	0.125354	0.155869	0.204805	0.191699	0.125009	0.0913514
a38	0.0512353	0.0615626	0.0879576	0.211734	0.275301	0.182617	0.129592
a11	0.0368924	0.039049	0.0569059	0.174828	0.283991	0.232013	0.17632
a93	0.0269557	0.029556	0.0447361	0.136436	0.238773	0.276905	0.246637
a70	0.0151978	0.0177037	0.0293026	0.0916459	0.200368	0.316694	0.329088
a13	0.0084693	0.01112	0.0181357	0.0485889	0.143129	0.341935	0.428622
a9	0.0125759	0.0127906	0.0171657	0.0385111	0.100772	0.347781	0.470404
a87	0.0152057	0.0109943	0.0125121	0.0281123	0.0827973	0.341267	0.509111
a38	0.01242	0.00913455	0.010906	0.0248211	0.0934478	0.389551	0.45972
a4	0.0206519	0.0207533	0.0234263	0.0410058	0.109582	0.37595	0.408631
a13	0.0228992	0.0210528	0.0362878	0.0497904	0.114449	0.307384	0.448137
a98	0.0106719	0.0109601	0.0186196	0.0407477	0.0997676	0.326179	0.493054
a73	0.0127873	0.0110456	0.0131728	0.0218193	0.059574	0.285514	0.596087
a44	0.00380393	0.00420787	0.00681546	0.0211937	0.0629945	0.286928	0.614056
a62	0.00355184	0.00365762	0.0058057	0.0188082	0.0533497	0.25492	0.659907
a98	0.00507763	0.00517696	0.00737295	0.0204188	0.0569181	0.268066	0.636969
a9	0.00891555	0.00955304	0.010683	0.0254667	0.0661722	0.260486	0.618723
a10	0.00266657	0.00275471	0.0037188	0.0145323	0.0516981	0.252638	0.671992
a11	0.0128485	0.0093667	0.00704243	0.0145913	0.0486368	0.239549	0.667965
a24	0.0170733	0.0155542	0.0120424	0.01928	0.0584706	0.26259	0.61499
a9	0.0374595	0.035092	0.0255323	0.0264897	0.0602489	0.246101	0.569076
a87	0.0274378	0.021236	0.0165795	0.0230035	0.0534441	0.25045	0.607849
</S>	0.02654	0.0204507	0.0161113	0.0253763	0.0534942	0.28391	0.574117
