 	ibara	caresse	les	seins	de	ngala	</S>
a66	0.453709	0.21668	0.114249	0.0852949	0.0627936	0.0398195	0.0274537
a87	0.313654	0.0722932	0.0620653	0.0741238	0.159399	0.185992	0.132472
a97	0.38758	0.0944649	0.0509124	0.045635	0.0840481	0.166283	0.171077
a83	0.415066	0.126253	0.0904313	0.0801611	0.0900298	0.100093	0.0979651
a90	0.675875	0.128291	0.0362326	0.0207213	0.0274038	0.0446555	0.0668204
a79	0.545523	0.283798	0.069864	0.0252341	0.0247154	0.0232453	0.0276201
a5	0.390068	0.353686	0.140395	0.0439549	0.0274368	0.0194558	0.0250038
a6	0.275292	0.32888	0.197742	0.0835256	0.0481893	0.0304682	0.0359037
a36	0.192179	0.290982	0.225422	0.126964	0.0713203	0.0435306	0.0496017
a79	0.108861	0.172477	0.230947	0.214185	0.118815	0.0761568	0.0785579
a98	0.124825	0.25295	0.239708	0.147343	0.090895	0.0637091	0.08057
a6	0.117835	0.22099	0.24313	0.159969	0.10024	0.0703245	0.0875132
a36	0.0739469	0.136749	0.197049	0.183639	0.138068	0.115383	0.155165
a61	0.0268527	0.0523061	0.120688	0.174404	0.175177	0.193428	0.257144
a12	0.0134741	0.0238226	0.0584703	0.128069	0.197701	0.276213	0.30225
a21	0.00488874	0.00951849	0.0288955	0.0746504	0.15307	0.32866	0.400316
a5	0.00449237	0.00822212	0.0238402	0.0596124	0.121846	0.346003	0.435984
a85	0.00152117	0.00342702	0.0134923	0.0347411	0.0981714	0.311251	0.537396
a47	0.000317375	0.000678355	0.00435886	0.0158144	0.05898	0.254449	0.665402
a36	0.000942258	0.00196157	0.00790065	0.0252654	0.0812299	0.25841	0.62429
a21	0.0105062	0.0121096	0.0276278	0.0608303	0.118593	0.248083	0.522251
a5	0.00228107	0.00448145	0.01522	0.0384681	0.110691	0.283906	0.544953
a18	0.00139705	0.00283278	0.0115091	0.0297896	0.112731	0.286925	0.554815
a25	0.00470467	0.00501127	0.0102407	0.0252452	0.0720966	0.240669	0.642033
a82	0.0484105	0.0383235	0.0418135	0.0560849	0.110712	0.244536	0.46012
a97	0.0824832	0.0490751	0.0430625	0.0641335	0.117935	0.257321	0.38599
a87	0.0825268	0.0497871	0.0432617	0.0684804	0.099255	0.239357	0.417332
a97	0.0376598	0.0253122	0.0229667	0.0446164	0.0827405	0.265111	0.521593
a10	0.026281	0.0181665	0.0223704	0.0559497	0.10608	0.291132	0.48002
</S>	0.0273453	0.0209158	0.0262334	0.0600044	0.111669	0.278851	0.474981
