 	on	a	annoncé	la	nouvelle	de	sa	mort	dans	le	village	</S>
a40	0.0766568	0.0918433	0.130089	0.149765	0.0997481	0.10986	0.0929685	0.0682727	0.0469809	0.0488015	0.0408792	0.044134
a30	0.0971681	0.115631	0.165088	0.152684	0.108474	0.0762188	0.0562222	0.0399668	0.0345165	0.0389801	0.0502428	0.0648088
a35	0.156008	0.166305	0.193765	0.216411	0.117269	0.0672668	0.0324778	0.0138518	0.00958232	0.0081555	0.00910318	0.00980442
a11	0.260884	0.217124	0.164661	0.14593	0.0755806	0.0521328	0.0311908	0.0178763	0.010922	0.00762405	0.00775008	0.00832475
a75	0.258665	0.198514	0.150712	0.125304	0.0718808	0.0554659	0.0406265	0.028119	0.0191996	0.0150006	0.0166906	0.0198212
a41	0.241001	0.216156	0.180134	0.12166	0.0699639	0.0523077	0.0365931	0.0245054	0.0162781	0.0125028	0.013402	0.0154957
a24	0.265199	0.223171	0.168009	0.110646	0.0560383	0.0474688	0.0358062	0.0264972	0.0192096	0.0146371	0.0154297	0.0178884
a25	0.196388	0.200895	0.20864	0.123976	0.0665632	0.0511186	0.0395688	0.0292765	0.0211504	0.0172412	0.0201706	0.0250102
a10	0.0848273	0.113648	0.168585	0.140861	0.0972085	0.0886809	0.0743713	0.0582111	0.0381607	0.0341141	0.041306	0.0600254
a75	0.068254	0.0815827	0.111935	0.115056	0.0870218	0.0940997	0.0900332	0.074871	0.0536263	0.0525746	0.0671022	0.103844
a14	0.11411	0.127868	0.165294	0.120773	0.0872285	0.0775785	0.0705163	0.0605462	0.044986	0.0369411	0.0426047	0.0515541
a35	0.100094	0.116788	0.151351	0.116607	0.105399	0.0914845	0.0755763	0.0661298	0.0484622	0.0400228	0.0411608	0.0469253
a61	0.0608709	0.074385	0.104372	0.0897801	0.103268	0.10877	0.101041	0.0943765	0.0655788	0.0560587	0.0614776	0.0800214
a41	0.0533409	0.0626945	0.093561	0.0841786	0.102915	0.112253	0.113286	0.104033	0.0676797	0.0551346	0.0618019	0.0891214
a14	0.0415752	0.0514045	0.0816497	0.0776852	0.10483	0.118595	0.118345	0.108165	0.0731644	0.0639901	0.0683725	0.0922238
a35	0.0331752	0.0430622	0.0625006	0.0591265	0.0876698	0.105926	0.115373	0.118254	0.0873803	0.0823952	0.0884626	0.116674
a41	0.0290257	0.0361245	0.0521463	0.0480729	0.0640079	0.0860902	0.113798	0.135757	0.106639	0.0999312	0.0958001	0.132607
a90	0.0371338	0.0481077	0.0654546	0.0617139	0.070982	0.094082	0.114174	0.120745	0.0964078	0.0907	0.0883739	0.112125
a9	0.0238967	0.0348128	0.05347	0.0442137	0.055487	0.0699036	0.0968087	0.118222	0.100443	0.106157	0.122009	0.174577
a38	0.0152179	0.0213831	0.039161	0.0395851	0.0575834	0.0683417	0.0892848	0.10531	0.0925445	0.114905	0.136937	0.219748
a57	0.00916247	0.0126438	0.0240609	0.0226759	0.0359732	0.0470859	0.068789	0.0842805	0.0845928	0.131482	0.18434	0.294914
a44	0.00556856	0.00796356	0.0167603	0.0184194	0.0325767	0.0439404	0.0590119	0.0660324	0.0667497	0.121038	0.203907	0.358032
a35	0.00448393	0.00640515	0.0126402	0.0145972	0.0240065	0.0338184	0.0499089	0.0620361	0.0667172	0.120443	0.212618	0.392326
a98	0.00461096	0.00812754	0.0171689	0.0159668	0.0269554	0.0332828	0.0439098	0.0580652	0.066611	0.127781	0.220879	0.376642
a73	0.00604476	0.00928949	0.0190321	0.0187025	0.0324861	0.0392255	0.047406	0.0659352	0.0809121	0.148385	0.216245	0.316336
a76	0.00423273	0.00712247	0.0159563	0.015793	0.0207607	0.0253165	0.0321501	0.0462224	0.0593664	0.128585	0.2378	0.406694
a73	0.0137303	0.0207461	0.0352003	0.0299231	0.0351133	0.0413037	0.0456101	0.0616034	0.0758166	0.136065	0.201983	0.302906
a94	0.00397789	0.00655357	0.0151354	0.0142488	0.0180954	0.0221004	0.0263984	0.0382271	0.0521646	0.124554	0.242526	0.436018
a32	0.00545783	0.00855116	0.0180456	0.0142463	0.0187401	0.0220646	0.0253147	0.0320211	0.0439422	0.111085	0.236372	0.464159
a75	0.00720545	0.0093545	0.0160105	0.0116991	0.0135913	0.0177998	0.0202851	0.02984	0.0420389	0.110103	0.23599	0.486082
a14	0.0056561	0.0073319	0.0143562	0.0106522	0.0149083	0.0188968	0.0211313	0.0317061	0.048315	0.130455	0.243918	0.452673
a44	0.00493914	0.00735154	0.0156802	0.0141641	0.0218222	0.0241224	0.0248754	0.0334237	0.0491442	0.128809	0.244346	0.431322
a57	0.00492521	0.00696144	0.0145372	0.012423	0.0175808	0.019912	0.0221071	0.0273832	0.0368774	0.0989405	0.226502	0.51185
a97	0.00412203	0.00550883	0.0113524	0.00776507	0.012262	0.0140171	0.0164037	0.0258497	0.0390271	0.109123	0.240754	0.513815
a30	0.00495949	0.00605122	0.00918774	0.00528295	0.00872499	0.01016	0.0119182	0.0217968	0.0367084	0.107976	0.244429	0.532805
a93	0.0032718	0.0037799	0.00659521	0.00369997	0.007236	0.00884003	0.0109198	0.0219779	0.0363867	0.113852	0.246537	0.536904
a4	0.00471324	0.00634098	0.0130654	0.00927684	0.0137243	0.0194356	0.0190686	0.0259509	0.0363108	0.101844	0.228969	0.5213
a13	0.00757368	0.0108627	0.0227427	0.0137771	0.0166899	0.0217394	0.0205646	0.0259419	0.0365782	0.100575	0.221583	0.501371
a9	0.0126538	0.0178967	0.0308978	0.0190204	0.0262208	0.0281116	0.024734	0.0273567	0.0352657	0.0883123	0.214474	0.475056
a87	0.00807187	0.00847439	0.0120177	0.00711397	0.0155461	0.0181524	0.0192078	0.0279249	0.042109	0.102643	0.226586	0.512153
