 	mon	cadet	m'	a	calomnié	auprès	de	notre	père	</S>
a23	0.438497	0.24424	0.0956259	0.0403929	0.0698914	0.033732	0.0167885	0.0158736	0.0194655	0.0254934
a53	0.517561	0.191588	0.0734197	0.0427445	0.0439623	0.0268213	0.0187729	0.0218502	0.0270528	0.0362276
a90	0.408475	0.239938	0.138515	0.0398902	0.0295991	0.0195	0.0233605	0.0248727	0.034174	0.0416751
a66	0.29252	0.375411	0.209938	0.0392606	0.022185	0.0133254	0.0149744	0.0104905	0.0120432	0.00985171
a11	0.19948	0.294609	0.250857	0.122964	0.0867503	0.0182034	0.0107003	0.00639362	0.00604073	0.00400184
a54	0.107922	0.211527	0.249446	0.217596	0.139802	0.0287631	0.0178611	0.0102054	0.00960137	0.00727593
a73	0.0761541	0.159896	0.196829	0.169378	0.126695	0.0721197	0.0447742	0.0415368	0.0555021	0.0571154
a44	0.100225	0.18818	0.231078	0.188916	0.151435	0.0417783	0.0229715	0.0219697	0.0261045	0.0273411
a53	0.0482608	0.0872498	0.200942	0.279684	0.231567	0.0573711	0.0246379	0.021014	0.023595	0.0256785
a90	0.0377423	0.0651943	0.136407	0.211357	0.16538	0.087257	0.0542744	0.0588739	0.0815284	0.101985
a56	0.0646744	0.0862406	0.158589	0.217919	0.167356	0.0856105	0.0476349	0.0467262	0.058371	0.0668783
a75	0.0571978	0.0744292	0.128428	0.216582	0.215956	0.118401	0.0560355	0.0398755	0.0440029	0.0490916
a56	0.0424784	0.0536504	0.0896585	0.164471	0.173857	0.120061	0.0901003	0.0801175	0.087453	0.0981529
a96	0.0223998	0.0291852	0.0633939	0.169934	0.238251	0.190606	0.094666	0.0607671	0.0626405	0.0681564
a75	0.0171319	0.0191456	0.0471014	0.127995	0.202559	0.223739	0.124478	0.0777554	0.0782214	0.081874
a73	0.0243542	0.0254651	0.0472982	0.0905896	0.133757	0.147095	0.128379	0.118288	0.133371	0.151403
a84	0.0191794	0.0178147	0.0275129	0.049639	0.078763	0.151763	0.155302	0.144799	0.165332	0.189895
a53	0.0214129	0.0188656	0.0414343	0.0870636	0.138165	0.19536	0.131471	0.100635	0.111679	0.153915
a20	0.0113408	0.012597	0.0218341	0.0578449	0.119097	0.231332	0.18578	0.117215	0.113765	0.129194
a44	0.00654427	0.00713119	0.015301	0.0319992	0.0311723	0.0611184	0.121473	0.193735	0.247401	0.284124
a57	0.00558859	0.00516946	0.0137196	0.0417103	0.0441745	0.0989208	0.160367	0.180185	0.203242	0.246923
a54	0.00385778	0.00364808	0.00789035	0.0199057	0.0232389	0.0701393	0.140014	0.170951	0.23025	0.330106
a73	0.00604051	0.00554483	0.0105667	0.0272717	0.0356363	0.0788809	0.141197	0.168395	0.232035	0.294432
a2	0.00454956	0.00457024	0.00951879	0.0210474	0.0213506	0.0490551	0.116355	0.182581	0.254384	0.336589
a75	0.00327555	0.00253553	0.0045399	0.0101775	0.00867009	0.023075	0.0773505	0.153422	0.261081	0.455874
a73	0.00892836	0.00680618	0.00928108	0.0204598	0.0278312	0.0845015	0.179109	0.188748	0.226155	0.248179
a26	0.00716515	0.00646228	0.0118407	0.0219495	0.0197657	0.0374252	0.0964074	0.187583	0.263893	0.347509
a11	0.00120638	0.000763996	0.00110283	0.00249296	0.00250831	0.00873947	0.0409756	0.137853	0.287961	0.516397
a0	0.00161571	0.000793847	0.000881384	0.00187425	0.0021804	0.00948638	0.0409592	0.135341	0.276145	0.530722
a24	0.00104573	0.000434276	0.000526865	0.00100391	0.000846871	0.00328606	0.0188645	0.114468	0.290562	0.568962
a9	0.001253	0.00061952	0.000837501	0.00178369	0.00150968	0.00559908	0.0237937	0.118051	0.289688	0.556865
a87	0.00321272	0.00118436	0.000661392	0.000771984	0.000699766	0.00376787	0.0290822	0.147302	0.305702	0.507616
a23	0.00720246	0.00304136	0.00136641	0.0010667	0.00086881	0.00666888	0.0399261	0.165699	0.294049	0.480112
a87	0.00510749	0.00315254	0.00134395	0.00119434	0.00063873	0.00757856	0.0473936	0.186753	0.290108	0.45673
</S>	0.0078	0.005364	0.00204919	0.001341	0.000699583	0.00599615	0.0317538	0.140069	0.29114	0.513787
