 	je	les	suis	dans	le	champ	de	canne	à	sucre	</S>
a15	0.240811	0.138272	0.0885409	0.074124	0.07861	0.0860656	0.0899997	0.0795264	0.0488314	0.041065	0.0341545
a66	0.220415	0.117622	0.0826293	0.0708182	0.0577098	0.0577523	0.0839187	0.0929398	0.0696995	0.0755169	0.0709787
a87	0.343243	0.108765	0.0655672	0.0461048	0.0423387	0.0513859	0.0619806	0.0689257	0.0438437	0.0595694	0.108276
a23	0.37317	0.149598	0.101644	0.0525118	0.0385179	0.0441738	0.0451973	0.051603	0.0380681	0.044132	0.0613848
a83	0.387071	0.176166	0.123553	0.062503	0.0377611	0.0311395	0.0277857	0.0272759	0.0281246	0.0349694	0.0636515
a54	0.217389	0.175207	0.143254	0.0922142	0.0668365	0.0506985	0.0424439	0.0312723	0.0367936	0.046821	0.09707
a85	0.143375	0.164545	0.150785	0.124638	0.104334	0.0793745	0.0629588	0.0414742	0.0328377	0.034026	0.0616527
a5	0.208702	0.216635	0.182574	0.157758	0.0975267	0.0428657	0.0281097	0.0173394	0.0129759	0.0136461	0.0218683
a61	0.160674	0.190588	0.199865	0.163829	0.101806	0.0541585	0.039028	0.0309641	0.0182333	0.0167805	0.0240743
a75	0.135458	0.154063	0.175024	0.182529	0.12537	0.073566	0.0501388	0.0382937	0.0215614	0.0187098	0.0252875
a92	0.07159	0.0846777	0.0953258	0.141789	0.135139	0.117411	0.103707	0.0911625	0.0573467	0.047198	0.0546532
a37	0.0611641	0.0653567	0.0645726	0.113504	0.12647	0.123623	0.12003	0.119801	0.0820218	0.0635769	0.0598803
a98	0.0388194	0.0412794	0.0370791	0.0821265	0.12494	0.147322	0.139392	0.148877	0.0881722	0.0746206	0.0773723
a79	0.00892798	0.0111728	0.0138814	0.0350289	0.0667321	0.112968	0.14601	0.193815	0.159578	0.13651	0.115375
a98	0.00976957	0.0100055	0.0104064	0.0230948	0.0437062	0.081388	0.121457	0.22064	0.166415	0.151979	0.161138
a47	0.00625622	0.00669528	0.00750678	0.0166275	0.0348247	0.0636472	0.100331	0.203865	0.194371	0.186775	0.179101
a0	0.00536616	0.00523908	0.00535556	0.01132	0.0262442	0.0563737	0.0911677	0.184232	0.190011	0.19361	0.231081
a75	0.00348478	0.00291031	0.00249323	0.00432324	0.00928789	0.0323984	0.091311	0.202233	0.208904	0.205888	0.236765
a37	0.000999872	0.000891968	0.000918798	0.0022222	0.00639103	0.0266106	0.077052	0.15937	0.219284	0.24274	0.26352
a44	0.00101454	0.000862181	0.000736282	0.00138194	0.00338233	0.0145995	0.0550707	0.159543	0.251307	0.268562	0.24354
a93	0.000443968	0.000362666	0.000307783	0.00062051	0.00163047	0.00745899	0.0320757	0.120556	0.244475	0.306382	0.285686
a44	0.000525253	0.000434859	0.000331132	0.000648362	0.0016278	0.00636361	0.0281906	0.0990209	0.217908	0.328419	0.316531
a75	0.000380384	0.000334457	0.000247031	0.000441428	0.00109283	0.0048563	0.0252989	0.103869	0.221684	0.344988	0.296807
a21	9.03769e-05	8.45825e-05	7.64946e-05	0.000166007	0.000481237	0.00252186	0.0131261	0.0682521	0.175139	0.322733	0.417329
a47	0.000286955	0.000305415	0.00027804	0.00067644	0.00162991	0.00499916	0.0195253	0.0689437	0.163333	0.315528	0.424495
a31	0.000400676	0.000463856	0.000425276	0.000957069	0.00221214	0.00654173	0.0241509	0.0845392	0.176408	0.320917	0.382984
a88	0.000296533	0.000325418	0.000316932	0.000770275	0.00184318	0.00476107	0.0170845	0.0600975	0.143668	0.316607	0.45423
a38	0.000234574	0.000250292	0.000215941	0.000508894	0.00145919	0.00508942	0.0193593	0.0845208	0.172985	0.330857	0.384519
a13	0.000598644	0.000641935	0.000529483	0.00098663	0.00239977	0.00882806	0.0303539	0.101696	0.172019	0.313938	0.368008
a99	0.00229409	0.00258438	0.00231848	0.00367052	0.0068526	0.0172	0.0410159	0.120834	0.175315	0.285776	0.342139
a87	0.0230318	0.0156183	0.0112158	0.0119742	0.0144893	0.0206033	0.0321991	0.0819893	0.142679	0.263817	0.382383
a23	0.137164	0.0569736	0.032148	0.0185316	0.0156986	0.0200157	0.028735	0.0710307	0.113569	0.219907	0.286227
a87	0.0573426	0.0228555	0.0125381	0.00876572	0.00925626	0.0124894	0.0212808	0.056105	0.117285	0.245811	0.43627
</S>	0.0120733	0.0060787	0.0045621	0.00396621	0.00511475	0.010092	0.0232048	0.0603305	0.11888	0.244824	0.510874
