 	fais	lui	sentir	les	odeurs	du	plat	que	tu	as	préparé	</S>
a23	0.217753	0.138897	0.101093	0.138954	0.124075	0.081897	0.0768198	0.0381378	0.0287348	0.0224404	0.0162513	0.0149458
a53	0.264671	0.182101	0.0762232	0.0738834	0.0535475	0.0377756	0.0542032	0.0383539	0.0434822	0.0642669	0.0560395	0.0554529
a4	0.306807	0.185326	0.0850182	0.101891	0.0693301	0.0436269	0.04227	0.0334551	0.0389403	0.0355724	0.027325	0.0304385
a13	0.298758	0.248896	0.16862	0.134993	0.0584053	0.0263858	0.0207581	0.0136671	0.0100967	0.00735516	0.0054665	0.00659841
a53	0.236422	0.224798	0.202164	0.14957	0.0749644	0.033493	0.024488	0.0164036	0.0130258	0.0101472	0.0072374	0.00728787
a44	0.137529	0.149237	0.163139	0.163903	0.113856	0.0818196	0.0465954	0.0360087	0.0253245	0.0224096	0.0236899	0.0364885
a11	0.138528	0.168273	0.193696	0.172256	0.101754	0.0732845	0.042217	0.0308888	0.0204654	0.0164137	0.0178541	0.0243701
a0	0.134111	0.170678	0.191485	0.1599	0.0941013	0.0728085	0.0450487	0.0392017	0.0262625	0.0204111	0.020335	0.0256571
a75	0.109576	0.151719	0.187353	0.181573	0.101815	0.0802704	0.0455911	0.0400452	0.0280295	0.0230994	0.0228872	0.0280421
a73	0.111094	0.13133	0.175374	0.174082	0.125751	0.0921563	0.0487991	0.0406221	0.0255948	0.0203472	0.0215934	0.0332553
a20	0.0712402	0.100982	0.162263	0.21228	0.165608	0.115042	0.0522404	0.0334962	0.0201596	0.0169682	0.0211957	0.0285253
a73	0.0396618	0.0570253	0.0951018	0.138478	0.152363	0.142294	0.076268	0.0710265	0.0488541	0.0417971	0.0520751	0.085056
a0	0.0582388	0.0685456	0.0919196	0.149905	0.128	0.116349	0.0650454	0.0674474	0.0528439	0.047599	0.066337	0.0877697
a11	0.0708365	0.0713096	0.103843	0.159822	0.15299	0.146857	0.0832577	0.0604548	0.0355813	0.0284474	0.0364975	0.0501022
a44	0.0517927	0.0520804	0.0828706	0.145189	0.153002	0.166956	0.0941441	0.0673233	0.0426947	0.036752	0.0447901	0.0624052
a75	0.047016	0.0414224	0.0692998	0.115463	0.140788	0.167688	0.10125	0.0939931	0.0574603	0.0453493	0.0492752	0.0709956
a47	0.0416164	0.0343672	0.0497412	0.0788312	0.0830431	0.107797	0.0767478	0.101663	0.0916787	0.0806662	0.0967699	0.157078
a37	0.0541829	0.0397998	0.0499321	0.0859117	0.103775	0.155255	0.10374	0.104977	0.0658062	0.046954	0.0744875	0.11518
a44	0.0404074	0.0298264	0.0437768	0.0731801	0.107287	0.180517	0.125289	0.137514	0.0728458	0.0453805	0.0566315	0.0873443
a90	0.0213698	0.0166116	0.0284832	0.0512411	0.0820834	0.145646	0.130781	0.169586	0.104359	0.0699586	0.0718393	0.108041
a75	0.021684	0.0183275	0.033697	0.0592057	0.0751138	0.128177	0.116676	0.157317	0.120586	0.0797635	0.075019	0.114434
a21	0.0309352	0.0225715	0.0320772	0.0551634	0.0646096	0.0946847	0.0675057	0.108382	0.105337	0.0992809	0.126907	0.192546
a47	0.0315223	0.0214887	0.0292641	0.0454148	0.0567128	0.0958627	0.089138	0.149891	0.126232	0.0963861	0.103082	0.155005
a88	0.0102618	0.00611046	0.00919932	0.0180786	0.0358668	0.0724726	0.0740728	0.151221	0.135015	0.12501	0.143651	0.21904
a9	0.00383013	0.00212986	0.00268755	0.00473246	0.0118784	0.0233297	0.0280761	0.0714623	0.090311	0.126526	0.249558	0.385478
a0	0.00210279	0.00127154	0.00107274	0.00174092	0.00301462	0.0053673	0.00927675	0.036812	0.0642981	0.0945372	0.244629	0.535877
a21	0.000747487	0.000479586	0.0005923	0.00105366	0.00273022	0.00515244	0.00985229	0.0273721	0.0542924	0.110242	0.265038	0.522448
a61	0.00395757	0.00276525	0.0025726	0.00410439	0.00729316	0.0128559	0.0185787	0.0399702	0.0682538	0.129972	0.270288	0.439389
a70	0.000895855	0.000623275	0.000717336	0.00111185	0.00257773	0.0051683	0.00951256	0.0274923	0.0503731	0.0963917	0.255817	0.549319
a66	0.000561135	0.000419835	0.000601345	0.000959282	0.00223254	0.0038712	0.0078671	0.0217436	0.0468918	0.0998722	0.268811	0.546169
a57	0.00101649	0.000613639	0.000545127	0.000873051	0.00125484	0.00218096	0.00406723	0.0165204	0.0433091	0.105973	0.266857	0.55679
a9	0.00538862	0.00298367	0.00160218	0.00227359	0.0025644	0.00458914	0.00958331	0.0413763	0.0808281	0.127782	0.244724	0.476305
a87	0.0635372	0.0408281	0.0161532	0.0166745	0.014346	0.0230797	0.0488563	0.0998247	0.113329	0.131352	0.174171	0.257848
a23	0.0657289	0.0543555	0.0207803	0.0274368	0.0245765	0.0559475	0.10576	0.150427	0.127483	0.117907	0.111284	0.138312
a87	0.0313265	0.0226272	0.01152	0.0126111	0.0126497	0.0181189	0.0336769	0.0717172	0.0888368	0.166338	0.213587	0.31699
</S>	0.0106907	0.00938961	0.00554284	0.00699099	0.00845862	0.0140388	0.0264572	0.0471678	0.0685317	0.144028	0.242898	0.415806
