 	le	feu	fait	bouillir	l'	eau	</S>
a66	0.505643	0.184333	0.103518	0.0674182	0.0742856	0.0370529	0.0277489
a87	0.450232	0.215358	0.102511	0.0885237	0.0596939	0.0392365	0.0444446
a83	0.500803	0.278829	0.0952281	0.046055	0.0301146	0.0233255	0.025645
a34	0.402659	0.323227	0.138498	0.072492	0.0258038	0.0175504	0.0197697
a21	0.46367	0.237951	0.118953	0.0731663	0.047112	0.0312001	0.0279471
a5	0.190295	0.292585	0.273105	0.171769	0.0422727	0.0169883	0.0129848
a21	0.108447	0.189475	0.311576	0.283632	0.0616857	0.026357	0.0188278
a75	0.117629	0.196123	0.320909	0.251426	0.0684263	0.027442	0.0180461
a6	0.0916499	0.178154	0.297655	0.232317	0.0967991	0.0558775	0.0475475
a56	0.0755168	0.135933	0.228356	0.216647	0.152537	0.0983021	0.0927084
a43	0.0804723	0.111628	0.15172	0.162133	0.207825	0.153643	0.132579
a75	0.0452916	0.0549186	0.0748957	0.0940848	0.191537	0.255834	0.283439
a98	0.00894139	0.0101555	0.0188721	0.0421494	0.19772	0.346995	0.375166
a92	0.00230333	0.00318621	0.00865347	0.0262944	0.14828	0.344773	0.466509
a98	0.00142083	0.00146606	0.00284531	0.00736542	0.063057	0.29503	0.628816
a47	0.00054275	0.000603054	0.00118991	0.0029913	0.0341001	0.283793	0.67678
a36	0.000285586	0.000339558	0.000990521	0.00372228	0.0464827	0.300513	0.647667
a2	0.00228672	0.00183338	0.00337028	0.00880473	0.0382045	0.239834	0.705666
a57	0.0448952	0.0294902	0.0255799	0.0383652	0.0879589	0.236809	0.536902
a87	0.270115	0.117242	0.0625775	0.0497968	0.0613492	0.147052	0.291867
a23	0.576019	0.205033	0.0696123	0.0297496	0.0303806	0.0401555	0.0490499
a99	0.167601	0.0682904	0.0242563	0.0167304	0.0583602	0.250625	0.414137
a97	0.0400544	0.0169953	0.0108256	0.0132176	0.0572548	0.313288	0.548364
</S>	0.013527	0.0106368	0.0108928	0.0171631	0.0786657	0.337324	0.531791
