 	on	brûle	les	herbes	</S>
a23	0.394558	0.260327	0.145732	0.0966857	0.102697
a40	0.425994	0.192909	0.123317	0.134065	0.123715
a30	0.332904	0.214189	0.183483	0.146137	0.123288
a14	0.559129	0.237995	0.101575	0.0672642	0.0340374
a2	0.540038	0.285305	0.100723	0.0491621	0.0247725
a38	0.384977	0.244025	0.159039	0.106046	0.105912
a56	0.386007	0.248956	0.158829	0.106656	0.0995512
a35	0.311778	0.250402	0.182529	0.137458	0.117833
a38	0.271673	0.247792	0.205365	0.146791	0.128379
a30	0.168936	0.173674	0.219884	0.206513	0.230993
a2	0.126007	0.132273	0.215224	0.227861	0.298634
a11	0.089832	0.0957569	0.179316	0.240432	0.394664
a35	0.0592237	0.066524	0.139495	0.241168	0.493589
a98	0.044958	0.0466089	0.10891	0.223419	0.576105
a13	0.0183678	0.0191867	0.0757255	0.2067	0.68002
a9	0.0103105	0.00975776	0.0393046	0.143044	0.797583
a87	0.0327906	0.0325355	0.0787876	0.159142	0.696744
</S>	0.0457888	0.0412077	0.105293	0.207954	0.599757
