 	c'	est	assurément	le	garçon	le	plus	gentil	du	village	</S>
a23	0.328385	0.161197	0.0877535	0.0670259	0.0586262	0.059166	0.0428797	0.0443924	0.0365957	0.0464213	0.0675571
a85	0.266277	0.155028	0.135643	0.0881363	0.0716518	0.0688863	0.0716367	0.0335567	0.0247305	0.0293961	0.0550582
a87	0.308306	0.187992	0.155363	0.0797503	0.0548459	0.0378883	0.0323977	0.0150835	0.0164508	0.0338984	0.0780247
a23	0.28042	0.187929	0.174521	0.112999	0.0745949	0.0441579	0.031195	0.0128933	0.0110481	0.0202567	0.0499859
a87	0.334736	0.160374	0.117232	0.0755425	0.0562796	0.0382463	0.0291288	0.016856	0.0225107	0.042166	0.106928
a23	0.256489	0.154935	0.127421	0.0815089	0.0624572	0.0445757	0.0377487	0.0273464	0.0326614	0.0542431	0.120614
a20	0.304141	0.150225	0.0973966	0.058633	0.0480004	0.0365582	0.0309111	0.0208798	0.0322264	0.0663797	0.154649
a44	0.433483	0.180275	0.128986	0.0673333	0.0522231	0.0343174	0.0202505	0.0137327	0.0158427	0.021876	0.0316809
a26	0.277982	0.193559	0.152802	0.117254	0.0963136	0.0653397	0.04226	0.0222076	0.0115321	0.00998896	0.0107612
a11	0.228404	0.185002	0.15591	0.131773	0.112054	0.080604	0.0538232	0.0248089	0.0101925	0.00852527	0.00890204
a24	0.176592	0.155329	0.147854	0.143331	0.134395	0.105436	0.0724791	0.0331287	0.0119327	0.00962978	0.00989238
a98	0.131943	0.13245	0.153818	0.154615	0.15555	0.124122	0.078997	0.0324466	0.0119054	0.0110554	0.0130975
a71	0.113175	0.129305	0.16809	0.157505	0.147866	0.118526	0.0797098	0.0393872	0.0154109	0.0138604	0.0171656
a54	0.11603	0.113315	0.143655	0.15536	0.166365	0.134774	0.0852457	0.0372336	0.0142773	0.0145944	0.0191508
a73	0.080765	0.0910637	0.137103	0.144157	0.154336	0.138657	0.0977335	0.0579528	0.0309081	0.0301626	0.0371607
a37	0.0806886	0.0819554	0.142157	0.157074	0.163135	0.137978	0.0881397	0.0512937	0.028527	0.0293804	0.0396715
a24	0.101358	0.0859774	0.118042	0.141752	0.148654	0.132226	0.0916716	0.0564519	0.0338577	0.0381012	0.0519091
a25	0.115667	0.0873403	0.0808455	0.108562	0.13666	0.136582	0.102772	0.0725406	0.0459982	0.049213	0.0638193
a38	0.0656937	0.0501132	0.0733437	0.108698	0.149362	0.168453	0.130976	0.0745663	0.0442976	0.0542257	0.080271
a21	0.0835091	0.0572054	0.0652899	0.0894811	0.128774	0.151456	0.122287	0.0796037	0.0547111	0.0688319	0.0988504
a96	0.066522	0.047348	0.0516429	0.0762565	0.120724	0.153043	0.127125	0.0942827	0.0710751	0.0857571	0.106224
a88	0.0658481	0.0401678	0.0415555	0.0534375	0.0922954	0.143897	0.143018	0.107821	0.0830721	0.0987678	0.13012
a24	0.064809	0.0430488	0.0406375	0.0475315	0.0739357	0.130666	0.155374	0.128371	0.090224	0.0996061	0.125797
a98	0.0530559	0.0322613	0.0305791	0.0380982	0.0665853	0.1265	0.151777	0.142852	0.111647	0.114807	0.131837
a25	0.0611823	0.0425883	0.044036	0.0490681	0.0718228	0.12036	0.156441	0.126	0.0997099	0.100638	0.128154
a9	0.0331377	0.0236235	0.0344603	0.0455779	0.0777044	0.149249	0.195294	0.135207	0.0978247	0.0895779	0.118344
a53	0.0276762	0.0201144	0.026411	0.0372106	0.0611937	0.151323	0.246747	0.161863	0.0914066	0.0744086	0.101646
a76	0.0523818	0.0275467	0.0273358	0.0349961	0.0565719	0.104297	0.155362	0.105191	0.106447	0.143142	0.18673
a90	0.0191206	0.0114685	0.0168556	0.0244739	0.0437147	0.0746887	0.105043	0.111041	0.139669	0.198798	0.255127
a32	0.0136076	0.00865388	0.0137899	0.0201069	0.0393773	0.0730017	0.112304	0.121739	0.140036	0.191026	0.266358
a54	0.0209924	0.0122046	0.0150612	0.0215473	0.0409194	0.0730911	0.110784	0.133572	0.150436	0.182361	0.239031
a73	0.0258486	0.017894	0.0247743	0.0320324	0.049739	0.0656009	0.0827557	0.100849	0.135103	0.200632	0.26477
a44	0.00960822	0.00562009	0.00966529	0.0154124	0.0321998	0.0622889	0.103028	0.114084	0.151439	0.208092	0.288562
a98	0.0115318	0.00643285	0.0101259	0.0160147	0.0328666	0.0608492	0.0921933	0.0953287	0.129618	0.210719	0.33432
a41	0.0223681	0.0124029	0.0178442	0.0267301	0.0465256	0.0744352	0.102404	0.101634	0.117021	0.188009	0.290626
a56	0.0306789	0.0180112	0.0247039	0.0359154	0.0564174	0.0928956	0.127214	0.113356	0.118608	0.147796	0.234404
a21	0.00867351	0.00601475	0.0110143	0.0186214	0.0375389	0.0701055	0.10472	0.109969	0.136247	0.184355	0.312741
a12	0.0144964	0.00874594	0.012591	0.0194765	0.0352135	0.0638917	0.0931272	0.100093	0.132283	0.187601	0.332481
a43	0.0167796	0.0104502	0.013469	0.0185984	0.0307686	0.0532279	0.0773992	0.0886095	0.132142	0.199241	0.359315
a75	0.00678857	0.00397091	0.00557623	0.00810545	0.0139635	0.0277097	0.0501175	0.0665473	0.127786	0.236701	0.452734
a73	0.0120723	0.006224	0.0089085	0.0130973	0.0234414	0.0424846	0.0544927	0.058572	0.104125	0.21097	0.465613
a7	0.00528187	0.00295173	0.00476183	0.00812893	0.016816	0.0353629	0.0500074	0.0510002	0.100822	0.216431	0.508436
a84	0.00358811	0.00193015	0.00244381	0.00405014	0.00834498	0.0200046	0.0409746	0.051587	0.125021	0.235563	0.506493
a38	0.00187241	0.000980019	0.000849428	0.00134531	0.00250568	0.00443472	0.010275	0.0281495	0.117084	0.261271	0.571233
a53	0.00500828	0.00207098	0.00152954	0.00239303	0.00443665	0.00911814	0.0185861	0.0328728	0.108925	0.237607	0.577453
a93	0.0115712	0.00521362	0.00601203	0.00944683	0.0163635	0.0317295	0.0460458	0.0451929	0.0971741	0.217681	0.51357
a62	0.0100049	0.00606172	0.00667641	0.00917846	0.0146549	0.0275526	0.0464218	0.0511332	0.10149	0.219243	0.507584
a21	0.00682163	0.00375121	0.00406508	0.00554553	0.00910525	0.0181713	0.032237	0.0434813	0.0990544	0.240123	0.537644
a12	0.00692814	0.00507955	0.00612111	0.00861777	0.0142626	0.0245397	0.0409377	0.0550153	0.115751	0.227318	0.495429
a96	0.00632212	0.00424589	0.00476889	0.00620549	0.0094121	0.0156319	0.023498	0.0336483	0.0941468	0.248703	0.553418
a66	0.00561559	0.00344449	0.00395626	0.00540692	0.00843426	0.0153116	0.028069	0.0402466	0.0953327	0.231147	0.563035
a38	0.00315447	0.00191456	0.00228458	0.00333654	0.00559436	0.00950272	0.0184778	0.0402559	0.124138	0.261184	0.530157
a73	0.00500736	0.00285887	0.00360538	0.0053216	0.00890093	0.0164845	0.0316094	0.0517579	0.125101	0.247478	0.501875
a44	0.00873091	0.00439445	0.00530635	0.00758867	0.0128751	0.0244559	0.0397214	0.0523948	0.115301	0.233015	0.496217
a13	0.00587199	0.00344483	0.00433971	0.00665721	0.0109279	0.0189295	0.0342307	0.051663	0.118059	0.229762	0.516114
a38	0.00355095	0.00216955	0.00276269	0.00456798	0.00755938	0.0113864	0.0193751	0.0407443	0.116731	0.23525	0.555903
a27	0.0115728	0.00558084	0.00564281	0.00846224	0.0128002	0.021235	0.0304913	0.0427555	0.105469	0.229611	0.526379
a57	0.0045904	0.00261438	0.00309604	0.00506211	0.00928009	0.0129447	0.0175929	0.0374136	0.108794	0.22505	0.573562
a87	0.00242109	0.00117308	0.000793153	0.00134538	0.00281253	0.00476185	0.00912499	0.0225926	0.103638	0.241448	0.60989
</S>	0.0226883	0.0102312	0.00407205	0.00494665	0.00888899	0.0126195	0.0137372	0.0335742	0.127986	0.23605	0.525206
