 	ma	grand-mère	a	pris	de	la	latérite	noire	pour	fabriquer	une	casserole	</S>
a87	0.127215	0.216333	0.114495	0.0841572	0.077549	0.0892806	0.091161	0.0681306	0.0659666	0.0430053	0.0153671	0.00463078	0.00270858
a23	0.23546	0.113689	0.036866	0.0307392	0.0379501	0.0630245	0.0864375	0.0797775	0.0993733	0.0906398	0.0538751	0.0305828	0.0415852
a40	0.120458	0.0806874	0.0550598	0.0542807	0.0608975	0.0704867	0.0877394	0.0904151	0.0880956	0.0888048	0.0724796	0.0604693	0.0701264
a47	0.262457	0.334407	0.0939143	0.0538206	0.0453129	0.04009	0.0318912	0.0244712	0.0302929	0.028765	0.026498	0.0146567	0.0134235
a6	0.268104	0.236622	0.0802943	0.0598529	0.0532237	0.0493061	0.042917	0.0347201	0.0330585	0.0266361	0.0355948	0.0396014	0.0400688
a92	0.0986947	0.147666	0.118421	0.108446	0.111935	0.103834	0.078364	0.0670152	0.0465233	0.0297303	0.0226456	0.0289579	0.0377673
a34	0.078868	0.124052	0.109073	0.112876	0.121725	0.114919	0.0853463	0.0777883	0.0571433	0.0352606	0.0219925	0.0256	0.0353546
a96	0.0947073	0.136621	0.121878	0.121068	0.119149	0.116996	0.0888142	0.0773379	0.0491935	0.0252253	0.0140206	0.014667	0.0203228
a61	0.0896349	0.115135	0.121809	0.129493	0.124814	0.122628	0.0983052	0.0799481	0.0443759	0.024288	0.0142941	0.0149485	0.0203271
a75	0.060525	0.0933477	0.119713	0.135279	0.131102	0.128254	0.103893	0.0831224	0.045987	0.0264805	0.0182986	0.02228	0.0317186
a25	0.0495537	0.110697	0.125951	0.119781	0.115704	0.120427	0.110334	0.0909802	0.0600768	0.0315729	0.0134982	0.0195859	0.0318383
a7	0.0567033	0.122743	0.124837	0.11307	0.109775	0.116121	0.107973	0.0879474	0.0558228	0.0313982	0.0155018	0.023821	0.0342871
a44	0.0360213	0.0885855	0.129955	0.137653	0.142033	0.144963	0.116559	0.088016	0.0445221	0.0220148	0.0118701	0.0140318	0.0237757
a93	0.0262989	0.0720635	0.106593	0.128016	0.144166	0.147551	0.122859	0.0960859	0.0580725	0.0292289	0.0157257	0.0185902	0.0347493
a70	0.0234855	0.0553583	0.0921946	0.115897	0.14073	0.160669	0.140799	0.106332	0.0601277	0.0303704	0.0148292	0.0201069	0.0391005
a34	0.00694146	0.014363	0.0458052	0.10803	0.152666	0.183239	0.162794	0.129352	0.0703591	0.0343042	0.017532	0.026552	0.0480628
a21	0.0132651	0.0349761	0.0779702	0.121293	0.157013	0.179198	0.141086	0.0972903	0.057437	0.0308296	0.0134327	0.0228548	0.0533541
a37	0.0189745	0.0501676	0.101801	0.139393	0.180567	0.178545	0.119667	0.0782845	0.0483589	0.0249899	0.0125057	0.0176096	0.0291363
a34	0.0133956	0.0268148	0.0668769	0.111042	0.161248	0.193782	0.14645	0.0960988	0.0584028	0.0315121	0.0151271	0.025618	0.0536315
a96	0.0122223	0.027553	0.071696	0.115502	0.164873	0.189679	0.131838	0.084768	0.052224	0.0309029	0.0188479	0.03361	0.066285
a90	0.0115364	0.0208442	0.0558883	0.0945946	0.143275	0.182378	0.150116	0.0963715	0.0593286	0.0373728	0.0232986	0.0411073	0.0838879
a69	0.00792883	0.020788	0.0691687	0.106051	0.14979	0.173215	0.133722	0.0808201	0.0511103	0.0361198	0.0277438	0.0508849	0.0926584
a58	0.00580786	0.0112728	0.0396344	0.0820994	0.126736	0.155098	0.14151	0.0896625	0.0616689	0.0541568	0.0424005	0.0638882	0.126065
a82	0.00708698	0.00934736	0.0213266	0.0557302	0.118342	0.151559	0.152547	0.10366	0.0745469	0.0647828	0.0429921	0.0705346	0.127545
a87	0.0188454	0.0198722	0.0285618	0.0452942	0.0732761	0.104713	0.124203	0.106446	0.103398	0.11819	0.075614	0.0831633	0.0984233
a23	0.047235	0.0338373	0.0287868	0.0394644	0.0505746	0.0784435	0.0889759	0.0890425	0.121257	0.125453	0.113634	0.0957137	0.087582
a87	0.0333819	0.027537	0.028268	0.035958	0.0463874	0.0698157	0.0835117	0.0770151	0.0923909	0.122365	0.125977	0.122582	0.134811
