 	il	a	accompagné	l'	enfant	au	village	</S>
a23	0.496659	0.283198	0.0987114	0.0325022	0.0197728	0.0153121	0.0201946	0.0336502
a79	0.296807	0.143011	0.10165	0.0750142	0.0716723	0.071684	0.100032	0.140129
a20	0.207132	0.17804	0.160312	0.119651	0.0903642	0.0619517	0.0762024	0.106347
a14	0.403655	0.309431	0.18135	0.0583579	0.024807	0.0105762	0.00631333	0.00550931
a26	0.247485	0.283497	0.304842	0.10514	0.0378325	0.0119959	0.00517895	0.00402938
a38	0.256233	0.23671	0.281319	0.115904	0.0573702	0.0247196	0.0141866	0.0135567
a25	0.228122	0.186788	0.243185	0.141542	0.0927923	0.050301	0.0281703	0.0291002
a35	0.196174	0.14192	0.193195	0.159748	0.122346	0.0721273	0.0514272	0.0630623
a26	0.193497	0.160645	0.191515	0.135929	0.121071	0.0849564	0.0549747	0.0574113
a35	0.176456	0.162552	0.15935	0.126538	0.126032	0.102749	0.0728276	0.0734964
a14	0.0835478	0.0825968	0.0908412	0.113749	0.156236	0.171523	0.156977	0.14453
a35	0.0471386	0.0517754	0.049951	0.0664271	0.133726	0.199014	0.226852	0.225115
a76	0.0500185	0.0526919	0.0513406	0.0479042	0.0927761	0.173909	0.255789	0.275571
a90	0.0266947	0.0280883	0.0323085	0.0336493	0.0899343	0.204395	0.285896	0.299034
a82	0.0266467	0.024583	0.0326099	0.0388144	0.0928696	0.185547	0.292529	0.306401
a87	0.00530522	0.00470424	0.00679778	0.0133137	0.0430177	0.140306	0.331655	0.4549
a79	0.00143375	0.00133181	0.00297203	0.00525874	0.0270582	0.102867	0.312067	0.547011
a93	0.000883694	0.000708795	0.00216734	0.00510501	0.0230448	0.0959712	0.327508	0.544611
a4	0.00186306	0.00147107	0.00320915	0.00595285	0.0217677	0.0825598	0.295288	0.587888
a13	0.000807471	0.000730677	0.00164559	0.0044288	0.0199021	0.073652	0.297027	0.601807
a99	0.0032432	0.0022094	0.00440624	0.00912806	0.0434678	0.118471	0.303388	0.515686
a87	0.00704045	0.00383731	0.00748548	0.015109	0.0623377	0.136541	0.282499	0.485151
</S>	0.105086	0.0604942	0.0524877	0.0330609	0.0626218	0.110161	0.225516	0.350573
