 	le	soleil	fait	transpirer	le	cultivateur	</S>
a66	0.268724	0.229005	0.186188	0.183493	0.0812592	0.0312383	0.0200927
a10	0.272479	0.174685	0.10953	0.121326	0.157294	0.0891797	0.0755071
a87	0.241692	0.234938	0.220188	0.206799	0.0438415	0.0220241	0.0305178
a97	0.213284	0.221235	0.25404	0.203627	0.0537896	0.0260228	0.0280019
a38	0.192702	0.204585	0.276586	0.220376	0.046604	0.0275798	0.0315664
a70	0.196778	0.191326	0.27996	0.222281	0.05115	0.0291672	0.0293387
a75	0.206317	0.228249	0.339833	0.197296	0.0184259	0.00573839	0.00414019
a21	0.205132	0.213224	0.334469	0.208804	0.0230781	0.00809089	0.00720318
a75	0.128127	0.178177	0.357738	0.268929	0.045716	0.012261	0.00905215
a90	0.131909	0.169974	0.329972	0.266628	0.0594973	0.0222201	0.0197997
a25	0.123665	0.188877	0.293041	0.230176	0.075598	0.0452435	0.0434001
a69	0.106975	0.164385	0.264455	0.20134	0.116392	0.0747882	0.0716652
a90	0.105064	0.139476	0.249765	0.239251	0.102635	0.0708433	0.0929646
a44	0.113895	0.14214	0.226639	0.199282	0.11913	0.0946578	0.104256
a90	0.0766996	0.106607	0.199568	0.221744	0.139434	0.112634	0.143312
a25	0.0696403	0.0881925	0.142381	0.172307	0.178149	0.166663	0.182667
a56	0.0253823	0.0395407	0.092059	0.14588	0.232926	0.240287	0.223925
a25	0.0295751	0.0327409	0.053502	0.0920434	0.181947	0.270828	0.339364
a56	0.00859991	0.0117719	0.0233196	0.0487582	0.154538	0.331874	0.421138
a21	0.00698747	0.00707398	0.0119457	0.0261523	0.0828127	0.278942	0.586086
a47	0.00268636	0.00260256	0.00469847	0.00866833	0.0450644	0.22084	0.71544
a96	0.00220244	0.00198628	0.00266464	0.00453505	0.0253244	0.203949	0.759338
a18	0.0012637	0.00115498	0.00145137	0.00243952	0.0173392	0.185374	0.790977
a4	0.00180173	0.00125555	0.000984372	0.00160427	0.0254555	0.197688	0.771211
a53	0.00121621	0.00120182	0.00140611	0.00260706	0.0344842	0.227146	0.731939
a15	0.000427547	0.000393578	0.000451463	0.000840985	0.0128056	0.140826	0.844255
a7	0.000137486	0.000130401	0.000147149	0.000243491	0.00696128	0.117787	0.874593
a84	0.000700747	0.000557643	0.000434079	0.000593915	0.0152826	0.160968	0.821463
a82	0.0481396	0.0369744	0.0206044	0.0376355	0.145897	0.280418	0.430332
a10	0.108432	0.0775431	0.0483149	0.0730163	0.16909	0.255322	0.268282
a97	0.104378	0.0736826	0.0487012	0.060096	0.128762	0.243225	0.341155
a87	0.0628671	0.050469	0.0329871	0.0371706	0.140605	0.312352	0.363549
a97	0.0146739	0.0109037	0.00843979	0.010727	0.068862	0.28728	0.599113
</S>	0.012534	0.0118389	0.0142379	0.0229435	0.0759701	0.259869	0.602606
