 	quand	tu	étais	encore	petit	tu	insultais	les	gens	</S>
a66	0.153166	0.142357	0.126811	0.164548	0.132604	0.125203	0.0715627	0.0482341	0.022114	0.0134008
a87	0.169645	0.133244	0.108074	0.123655	0.107384	0.142871	0.12433	0.058034	0.0212339	0.0115301
a23	0.371222	0.239077	0.135734	0.0840238	0.0505983	0.0448991	0.0335539	0.0167187	0.0109895	0.0131842
a87	0.233231	0.19757	0.130797	0.128551	0.104353	0.0904445	0.0570202	0.0243863	0.0142648	0.0193818
a23	0.242528	0.204316	0.124933	0.127381	0.0898075	0.0767587	0.0631565	0.0328779	0.0189976	0.0192437
a87	0.181776	0.17493	0.129582	0.135183	0.0905981	0.0810552	0.0772434	0.0474966	0.0363654	0.04577
a83	0.162582	0.189948	0.14902	0.151756	0.0970201	0.0865405	0.0756751	0.0401063	0.0252536	0.0220984
a71	0.154727	0.195682	0.145428	0.122807	0.0735849	0.0733576	0.06892	0.0689307	0.0529942	0.0435682
a75	0.189627	0.212475	0.15378	0.0988633	0.0646187	0.0554378	0.0525171	0.0745145	0.0512553	0.046911
a85	0.072273	0.105002	0.122383	0.141129	0.132936	0.125376	0.0860032	0.0695911	0.0742778	0.0710287
a6	0.0747433	0.120176	0.144455	0.137973	0.121398	0.11407	0.0643038	0.0586493	0.072984	0.0912474
a92	0.101713	0.132517	0.149166	0.144308	0.120696	0.109334	0.0541198	0.038349	0.0505945	0.099203
a85	0.11928	0.14002	0.152749	0.14208	0.122923	0.110228	0.0537032	0.034076	0.0414742	0.0834675
a6	0.0531589	0.0742876	0.097334	0.112252	0.110896	0.111465	0.0707671	0.0778377	0.110234	0.181768
a85	0.0802046	0.100484	0.114529	0.120582	0.115394	0.108436	0.0657133	0.057989	0.0835194	0.153148
a92	0.0575396	0.0713841	0.0825401	0.0877163	0.0887684	0.0822157	0.0530184	0.077826	0.142639	0.256352
a56	0.0526187	0.0749447	0.116366	0.161627	0.18123	0.161211	0.0818041	0.0473417	0.049439	0.0734173
a25	0.0311054	0.0430029	0.0760487	0.155819	0.20894	0.195739	0.105955	0.0580599	0.0519636	0.0733671
a90	0.0200807	0.0257917	0.0403437	0.103433	0.19093	0.184266	0.0994429	0.0744308	0.0903471	0.170935
a69	0.0153092	0.0169501	0.0252366	0.0671275	0.159052	0.202474	0.156363	0.0927356	0.0984571	0.166295
a32	0.0165244	0.0155894	0.0198443	0.0453083	0.121422	0.184736	0.176966	0.117212	0.11633	0.186067
a62	0.0099864	0.0114854	0.0154829	0.0347696	0.109959	0.186925	0.160137	0.0913622	0.122252	0.257639
a21	0.0082213	0.0102322	0.0133723	0.0263506	0.0683913	0.1022	0.103137	0.11925	0.178849	0.369997
a12	0.0117053	0.0133095	0.0159637	0.0249297	0.054561	0.0710323	0.0741478	0.132506	0.21412	0.387724
a18	0.00760475	0.00908226	0.0108477	0.0175252	0.038391	0.052177	0.0594088	0.110419	0.236575	0.45797
a71	0.00902644	0.0150935	0.022691	0.0417677	0.0862165	0.11123	0.0997036	0.0894899	0.189679	0.335103
a83	0.0139466	0.0197771	0.0311071	0.0569823	0.107128	0.114859	0.104768	0.10359	0.195156	0.252685
a75	0.00777958	0.0100447	0.0150641	0.0279853	0.0587844	0.0831256	0.108827	0.106295	0.243289	0.338805
a92	0.00175959	0.00198453	0.00264792	0.00610442	0.0158377	0.0257146	0.0442101	0.0826609	0.282438	0.536642
a93	0.00171896	0.00169067	0.00195372	0.00453401	0.0118535	0.0180275	0.0341368	0.0829873	0.297501	0.545597
a4	0.00108039	0.00116165	0.00148303	0.00366611	0.010539	0.0164962	0.0309814	0.074198	0.279216	0.581178
a44	0.00148042	0.001728	0.00239798	0.00500934	0.0126682	0.0198963	0.0295355	0.060279	0.248183	0.618822
a90	0.00138264	0.00159019	0.00214455	0.00502064	0.0138093	0.0217948	0.0310867	0.0629834	0.263053	0.597134
a25	0.000903239	0.000811988	0.000908234	0.00231395	0.00767343	0.0135952	0.0250463	0.0521646	0.250865	0.645718
a15	0.000814254	0.000647962	0.000662492	0.00140217	0.00370219	0.00635284	0.0110684	0.0349125	0.216752	0.723685
a98	0.00154289	0.00112463	0.00104646	0.0017659	0.00353672	0.00573481	0.0106922	0.0413117	0.22686	0.706385
a6	0.0011516	0.000867214	0.000766223	0.00138957	0.00307598	0.00501253	0.00880234	0.036131	0.22058	0.722224
a36	0.00140139	0.000959657	0.000769142	0.00129613	0.00274761	0.00466336	0.0116864	0.0560749	0.258819	0.661582
a27	0.00298813	0.00258887	0.00261226	0.0043502	0.0067598	0.0086502	0.0140865	0.054402	0.259292	0.64427
a82	0.0574865	0.0528046	0.0571041	0.0660483	0.0703109	0.0650202	0.0684592	0.110572	0.180813	0.271382
a87	0.169463	0.109644	0.0836858	0.0847287	0.0767833	0.074558	0.057403	0.0699166	0.116815	0.157002
a23	0.138303	0.0871298	0.0701266	0.0822782	0.102621	0.127068	0.103507	0.0963432	0.0941559	0.0984678
a87	0.0905521	0.0659009	0.0499181	0.040968	0.0397828	0.0559446	0.0806945	0.157238	0.173663	0.245338
a23	0.0424871	0.0257444	0.017694	0.0208564	0.0252927	0.0340982	0.0410292	0.0913557	0.183553	0.517889
a99	0.0711468	0.0450858	0.0320965	0.0345857	0.0389719	0.0517693	0.0582422	0.130339	0.180446	0.357317
a87	0.0742583	0.0453942	0.0368006	0.043658	0.0446859	0.0538493	0.0493551	0.115559	0.173528	0.362911
a3	0.0404303	0.026818	0.0205644	0.0240605	0.0234215	0.030231	0.0378051	0.106039	0.20118	0.48945
</S>	0.0875509	0.0647032	0.0506364	0.0519487	0.0428291	0.0469286	0.0451032	0.0875897	0.14563	0.37708
