 	cette	femme-ci	a	mal	aux	lombes	</S>
a66	0.307267	0.146023	0.195883	0.176948	0.102617	0.05236	0.0189021
a87	0.209186	0.143495	0.185734	0.16573	0.116663	0.127626	0.0515669
a23	0.409251	0.222687	0.121681	0.0709792	0.0485859	0.0999615	0.0268542
a87	0.450072	0.206143	0.115281	0.0787456	0.0467604	0.0724571	0.0305401
a23	0.426908	0.235993	0.141399	0.0903671	0.0456503	0.0426506	0.0170322
a87	0.420238	0.201566	0.133196	0.0932414	0.0583778	0.0668465	0.0265345
a30	0.433508	0.215867	0.134803	0.0903142	0.0526464	0.0470298	0.0258321
a93	0.397713	0.234237	0.142293	0.0923806	0.0557523	0.0531883	0.0244349
a61	0.157725	0.172839	0.177576	0.125184	0.130101	0.180526	0.0560498
a75	0.143701	0.21398	0.219296	0.132772	0.103243	0.137682	0.0493255
a56	0.0770712	0.183023	0.260627	0.142442	0.117136	0.140063	0.0796377
a90	0.0816426	0.152623	0.251842	0.143921	0.117131	0.150141	0.1027
a75	0.0617824	0.109188	0.214054	0.138835	0.12454	0.187618	0.163982
a90	0.0630933	0.0685393	0.133279	0.121565	0.131705	0.209439	0.27238
a13	0.0534148	0.0425699	0.089425	0.113132	0.139247	0.24605	0.316162
a93	0.0289795	0.0190889	0.0451785	0.0760147	0.126291	0.298841	0.405607
a75	0.0171197	0.0101173	0.0304676	0.0609276	0.108538	0.307499	0.465331
a21	0.00655383	0.00396079	0.0112199	0.0434926	0.123023	0.246801	0.564949
a41	0.00279435	0.0015972	0.00414713	0.0157438	0.0685392	0.225224	0.681954
a75	0.00221186	0.00108972	0.00288227	0.00955951	0.0457223	0.205428	0.733106
a85	0.00145324	0.000970284	0.00272879	0.00881605	0.0407204	0.18534	0.759971
a41	0.00196127	0.00142038	0.00372267	0.011027	0.0446897	0.215209	0.72197
a66	0.00105688	0.000722335	0.00232937	0.006545	0.0292407	0.168424	0.791681
a27	0.0067732	0.00815609	0.0242221	0.0446092	0.102829	0.264012	0.549399
a57	0.260489	0.119769	0.094245	0.0731498	0.0582676	0.14392	0.250159
a87	0.202977	0.161855	0.150246	0.111118	0.087233	0.161148	0.125424
a23	0.0833198	0.0903101	0.107876	0.0942674	0.112106	0.301514	0.210607
a99	0.0618524	0.0375932	0.0396822	0.0589991	0.09503	0.371026	0.335817
a97	0.0274406	0.0186604	0.0299118	0.0613569	0.105732	0.397386	0.359512
</S>	0.0194768	0.0169152	0.0379068	0.0616552	0.0915575	0.350842	0.421646
