 	son	infirmité	est	apparente	</S>
a23	0.433365	0.192789	0.158466	0.118051	0.0973293
a79	0.383669	0.200423	0.163032	0.116677	0.136199
a76	0.432535	0.215106	0.120491	0.0926836	0.139185
a32	0.558973	0.302512	0.085909	0.0278774	0.0247292
a75	0.4958	0.33263	0.117962	0.0307636	0.0228447
a41	0.426769	0.337376	0.14743	0.0498192	0.0386065
a35	0.400463	0.317808	0.178141	0.0641721	0.0394154
a30	0.335572	0.322515	0.207742	0.0839814	0.0501894
a76	0.306475	0.312681	0.21146	0.100747	0.0686363
a94	0.285293	0.279099	0.256319	0.107184	0.0721046
a90	0.153094	0.21483	0.29504	0.180806	0.156231
a38	0.153932	0.199541	0.306958	0.181364	0.158205
a76	0.0882657	0.136295	0.308511	0.253615	0.213314
a90	0.105113	0.113821	0.222534	0.24113	0.317402
a57	0.0903874	0.0965928	0.20733	0.305846	0.299844
a38	0.0502567	0.07196	0.209356	0.349984	0.318443
a30	0.0309335	0.0421	0.151731	0.341255	0.433981
a35	0.0355663	0.0502658	0.154571	0.327369	0.432228
a14	0.011556	0.015139	0.0427146	0.220508	0.710082
a35	0.0147866	0.0195205	0.0565221	0.260212	0.648959
a57	0.00884259	0.0118983	0.0351847	0.191777	0.752297
a38	0.00502341	0.00654911	0.0207228	0.16855	0.799155
a14	0.00516358	0.00621555	0.0201535	0.164954	0.803514
a35	0.00254641	0.00366882	0.0152791	0.15669	0.821815
a73	0.00238528	0.00344107	0.0152517	0.157899	0.821023
a57	0.00569598	0.0067	0.0238292	0.173576	0.790199
a87	0.00508497	0.00583594	0.0189631	0.176862	0.793254
a23	0.014909	0.0136465	0.0314064	0.239893	0.700145
a87	0.0972886	0.0985171	0.108358	0.266678	0.429158
a23	0.033969	0.0367353	0.0870219	0.288709	0.553565
a10	0.0574994	0.0784553	0.118889	0.313161	0.431995
</S>	0.0301924	0.0273301	0.0667457	0.307234	0.568498
