 	la	maladie	a	fait	perdre	la	mémoire	à	cette	fille	</S>
a23	0.227529	0.13303	0.101254	0.091261	0.118174	0.0935607	0.0978485	0.0597043	0.0361425	0.0230082	0.0184875
a87	0.208455	0.165476	0.139965	0.129603	0.114813	0.0727989	0.0539119	0.0365119	0.0297683	0.0260866	0.0226092
a23	0.118653	0.139127	0.141181	0.129835	0.109847	0.0815065	0.051833	0.0391886	0.0411606	0.0627712	0.0848984
a87	0.202369	0.231456	0.176806	0.109236	0.0743916	0.0402887	0.0328989	0.0290429	0.0285476	0.0345286	0.0404339
a23	0.214868	0.222284	0.161041	0.100988	0.076532	0.0389959	0.0299294	0.0267328	0.0288234	0.0442275	0.0555784
a83	0.261021	0.254169	0.181245	0.0891324	0.0601587	0.0252898	0.0184109	0.0181194	0.0221156	0.032702	0.0376358
a9	0.339526	0.317285	0.191727	0.0728433	0.0363699	0.0120882	0.00842715	0.0068479	0.00557935	0.00482526	0.00448083
a38	0.279343	0.284299	0.195323	0.0897999	0.0534713	0.0238489	0.0183358	0.0157916	0.0140312	0.012886	0.0128708
a90	0.179108	0.185647	0.154451	0.113422	0.0869361	0.056843	0.0516112	0.0460707	0.0385943	0.0400784	0.0472368
a92	0.137628	0.16471	0.181517	0.159487	0.133443	0.0748867	0.0471467	0.0313078	0.020938	0.0213297	0.0276056
a96	0.128313	0.155924	0.183864	0.167336	0.143456	0.0767378	0.0481276	0.0315212	0.0212568	0.0198307	0.0236323
a24	0.105468	0.142541	0.183408	0.173916	0.14728	0.0794267	0.0550464	0.0347379	0.024159	0.0241955	0.0298209
a31	0.0831595	0.102028	0.145644	0.174443	0.176195	0.113377	0.0813005	0.0441387	0.0283373	0.02428	0.0270976
a61	0.05868	0.0653386	0.0918601	0.139258	0.172907	0.150656	0.127989	0.0686858	0.0439388	0.0384431	0.0422448
a34	0.0564957	0.055662	0.0675364	0.0991895	0.132813	0.157406	0.153656	0.0895252	0.0626603	0.0601611	0.0648942
a56	0.0551766	0.0528647	0.0613261	0.087884	0.120158	0.163337	0.16632	0.101225	0.0657195	0.05913	0.0668599
a75	0.0385749	0.0356074	0.0397006	0.0566093	0.0851274	0.152058	0.197181	0.143576	0.097699	0.0765043	0.077362
a61	0.0285556	0.026473	0.0310906	0.0451342	0.0644355	0.104118	0.148705	0.128934	0.114506	0.139346	0.168701
a0	0.0225384	0.019657	0.0213891	0.0298087	0.0457496	0.10437	0.179845	0.172117	0.150165	0.128047	0.126314
a75	0.0161031	0.0122994	0.0124657	0.0171228	0.0269251	0.073088	0.144986	0.163765	0.180246	0.184445	0.168554
a85	0.0156607	0.011716	0.0118884	0.016458	0.0247664	0.0451402	0.0858937	0.112132	0.132388	0.214771	0.329186
a75	0.0141672	0.0119083	0.0131263	0.0192911	0.0298985	0.0518285	0.0984314	0.132106	0.150881	0.197674	0.280687
a34	0.0183697	0.0142113	0.0133066	0.0177313	0.0247219	0.0442064	0.0850542	0.119719	0.145794	0.212444	0.304442
a61	0.00582876	0.00483519	0.0051256	0.00746707	0.0114464	0.0279987	0.0587011	0.0949442	0.156436	0.288486	0.338731
a34	0.00319504	0.00250155	0.00273176	0.00413151	0.00653504	0.0172754	0.0396612	0.0735925	0.140778	0.317896	0.391702
a70	0.00283693	0.0020523	0.00212862	0.00332939	0.00552248	0.0141019	0.0309171	0.0628389	0.143348	0.329078	0.403847
a93	0.000855661	0.000690721	0.000882821	0.00170278	0.00330796	0.0092266	0.0193569	0.0395016	0.107255	0.344027	0.473193
a13	0.000442515	0.000350284	0.000458285	0.000936068	0.00190238	0.006235	0.0150696	0.0345667	0.096378	0.341422	0.502239
a9	0.000345798	0.000277232	0.000350192	0.00062262	0.000967265	0.0029873	0.00721324	0.0264999	0.117933	0.350744	0.49206
a10	0.00664829	0.00396511	0.00426758	0.00571459	0.00661961	0.0102472	0.0139948	0.0349913	0.124508	0.324813	0.46423
a87	0.0508533	0.0260118	0.0223295	0.0248399	0.0279859	0.0329748	0.0419709	0.0736041	0.161065	0.255818	0.282546
a23	0.104506	0.0632685	0.0492356	0.0484025	0.0522534	0.0589933	0.0773958	0.0982739	0.146762	0.15975	0.141159
a87	0.0472624	0.028135	0.0266731	0.0312582	0.0366003	0.0541501	0.0741563	0.104271	0.14791	0.191759	0.257825
</S>	0.0209399	0.0157875	0.017814	0.0258755	0.0348194	0.0551291	0.0611621	0.0772168	0.11749	0.222854	0.350912
