 	il	l'	a	attendu	longtemps	</S>
a79	0.222027	0.13876	0.0875246	0.128067	0.19356	0.230062
a15	0.209094	0.123696	0.0952362	0.118893	0.196964	0.256116
a41	0.386084	0.168416	0.112046	0.106574	0.111907	0.114973
a27	0.359991	0.22656	0.153828	0.115016	0.0788715	0.0657345
a11	0.325207	0.223307	0.135121	0.109407	0.102171	0.104787
a24	0.313428	0.228438	0.155025	0.113192	0.0892151	0.100701
a41	0.220201	0.202917	0.180975	0.156789	0.11885	0.120268
a61	0.193403	0.175014	0.17944	0.188707	0.134579	0.128857
a62	0.178584	0.15616	0.161498	0.19149	0.158707	0.153561
a90	0.104199	0.0925777	0.121548	0.210257	0.223439	0.24798
a4	0.108125	0.0926754	0.113773	0.196064	0.223247	0.266116
a53	0.0644739	0.0556281	0.06807	0.128489	0.244174	0.439165
a76	0.0592001	0.0505678	0.0616725	0.137785	0.268683	0.422092
a73	0.0214114	0.0236913	0.038478	0.0946188	0.289098	0.532703
a84	0.0102745	0.0113684	0.0229139	0.07243	0.274483	0.60853
a57	0.00521421	0.00503863	0.00933444	0.0357529	0.208324	0.736336
a87	0.00570179	0.00485926	0.00812853	0.0292385	0.194809	0.757263
a79	0.00431614	0.00520092	0.0135771	0.0801	0.337595	0.55921
a90	0.0156422	0.016518	0.0275342	0.0806429	0.298648	0.561015
a93	0.0204755	0.0172814	0.0206896	0.0582081	0.292999	0.590346
a56	0.0113652	0.012722	0.0193852	0.0630634	0.314901	0.578563
a98	0.0102981	0.0103986	0.0144656	0.0424056	0.257429	0.665003
a73	0.00728227	0.00714837	0.0115965	0.0384787	0.219348	0.716146
a84	0.00351233	0.00386056	0.00805793	0.0314575	0.203092	0.75002
a57	0.00353715	0.00449118	0.0112484	0.051376	0.224525	0.704823
a87	0.00745754	0.0070627	0.0128146	0.0467428	0.220946	0.704977
</S>	0.0112881	0.0110882	0.0180773	0.0562732	0.267017	0.636256
