 	cet	enfant	ne	veut	pas	travailler	c'	est	un	paresseux	</S>
a66	0.267043	0.1644	0.110976	0.103369	0.114352	0.0955237	0.0621271	0.0342276	0.019704	0.0154004	0.0128775
a87	0.323403	0.128146	0.0602134	0.0373905	0.0504464	0.0620638	0.058922	0.0644243	0.0706269	0.0706675	0.0736967
a23	0.470241	0.171338	0.0842579	0.0420595	0.0311313	0.0231711	0.0184356	0.0186284	0.0249496	0.0426722	0.0731158
a94	0.305075	0.114299	0.0714125	0.0428909	0.0380586	0.0298252	0.0284232	0.0380307	0.0600551	0.10183	0.1701
a98	0.276911	0.158952	0.0975696	0.0723379	0.0631991	0.0484179	0.0376698	0.0402237	0.0483183	0.0731772	0.083223
a85	0.228918	0.215167	0.132545	0.0799747	0.056943	0.0383609	0.0332504	0.0363621	0.042669	0.0662178	0.0695916
a98	0.181842	0.214036	0.168185	0.115934	0.0804024	0.0456257	0.0349557	0.0330393	0.0346285	0.0446751	0.0466755
a85	0.181066	0.213713	0.161134	0.122417	0.0996699	0.0607073	0.040469	0.0290977	0.02603	0.0313645	0.0343321
a37	0.101752	0.158554	0.164395	0.155582	0.137889	0.090266	0.0581104	0.0366252	0.0300175	0.0313484	0.0354596
a61	0.160643	0.175977	0.179137	0.153498	0.123094	0.0672652	0.0392264	0.0255931	0.0231538	0.0248968	0.0275156
a88	0.12279	0.155208	0.173045	0.147375	0.128791	0.074956	0.0466947	0.0333352	0.0334921	0.0392668	0.045047
a71	0.0504046	0.0784908	0.137622	0.185979	0.191613	0.114327	0.0658196	0.040756	0.0383748	0.0443635	0.0522482
a9	0.0315704	0.0497675	0.0875991	0.154844	0.196957	0.144821	0.094213	0.0575292	0.046948	0.0597692	0.0759822
a53	0.0273647	0.0409718	0.0682927	0.127941	0.170516	0.140264	0.0991622	0.0865024	0.074876	0.0787	0.0854091
a25	0.050012	0.0678659	0.101739	0.134669	0.140107	0.107117	0.0855757	0.0681186	0.0629652	0.0809262	0.100904
a56	0.0136522	0.0255423	0.0503055	0.0952387	0.140718	0.154067	0.144613	0.113656	0.0881882	0.0815837	0.092436
a43	0.0150562	0.0240423	0.0392806	0.0635298	0.102975	0.138685	0.160393	0.152868	0.120243	0.0937452	0.0891807
a75	0.00967706	0.0129514	0.0210093	0.038139	0.0692104	0.111863	0.150596	0.170685	0.148628	0.127293	0.139949
a43	0.00215395	0.00354167	0.00718535	0.017453	0.036872	0.0794552	0.125591	0.191433	0.195435	0.169782	0.171096
a75	0.00279732	0.00335758	0.00575803	0.0139468	0.0290213	0.0577475	0.0896112	0.15509	0.19464	0.20523	0.242801
a85	0.00160403	0.00226017	0.00404946	0.00881389	0.0177821	0.0397411	0.0743755	0.161502	0.225705	0.224771	0.239396
a36	0.00111784	0.00176346	0.00316021	0.00710478	0.0139943	0.0328086	0.0609454	0.13844	0.210692	0.242434	0.28754
a26	0.00137312	0.00144738	0.00198795	0.00433313	0.00812677	0.0158387	0.0290478	0.0794147	0.167589	0.276517	0.414324
