 	le	chasseur	a	raté	la	perdrix	</S>
a85	0.459464	0.197549	0.0948684	0.0796168	0.0686641	0.0561719	0.0436656
a66	0.371078	0.228191	0.106789	0.0776808	0.0864659	0.0664703	0.0633246
a87	0.327063	0.21466	0.0993396	0.0723246	0.0792473	0.0856412	0.121725
a97	0.334532	0.248386	0.126219	0.0915048	0.0876275	0.0566627	0.0550682
a30	0.319899	0.214752	0.100946	0.110959	0.101409	0.0756122	0.0764233
a4	0.443434	0.222726	0.0784662	0.0740891	0.0613684	0.0552278	0.0646885
a13	0.378422	0.228032	0.102581	0.0748336	0.0698278	0.0680917	0.0782119
a47	0.409687	0.298904	0.12997	0.0580683	0.0451612	0.03055	0.0276598
a75	0.339256	0.296296	0.160388	0.0739036	0.058117	0.037206	0.0348342
a6	0.38886	0.301555	0.156326	0.0627626	0.0478895	0.0236583	0.0189482
a36	0.297702	0.262631	0.194735	0.094073	0.0715439	0.0427434	0.0365729
a37	0.254782	0.216375	0.171874	0.125652	0.101961	0.0675908	0.0617656
a56	0.205597	0.168013	0.168559	0.15002	0.132539	0.0891392	0.0861322
a43	0.0753598	0.0927106	0.142369	0.202276	0.218696	0.143426	0.125163
a75	0.0548914	0.0688773	0.107215	0.178817	0.226942	0.183909	0.179349
a56	0.0178639	0.0346924	0.0849906	0.188894	0.263408	0.226865	0.183286
a96	0.0204617	0.0314371	0.064629	0.15659	0.240477	0.246547	0.239858
a90	0.0122023	0.0180889	0.0390242	0.115094	0.199439	0.273492	0.34266
a98	0.00490418	0.00894499	0.0257893	0.108087	0.197162	0.28491	0.370203
a85	0.00274331	0.00576456	0.0180781	0.0858791	0.159695	0.292791	0.435049
a37	0.00157989	0.00335586	0.0123214	0.0569321	0.112878	0.280855	0.532078
a18	0.00320625	0.00510037	0.0119118	0.043536	0.117313	0.28944	0.529493
a25	0.00937011	0.013047	0.0223999	0.0632429	0.132466	0.29	0.469474
a82	0.0331438	0.0367914	0.0460609	0.0855037	0.162699	0.252449	0.383352
a97	0.0426035	0.0354707	0.0346043	0.0876569	0.174983	0.257764	0.366917
a99	0.0621412	0.0515879	0.0465822	0.114293	0.218399	0.241498	0.265498
a97	0.0281507	0.026833	0.0277585	0.0916854	0.195723	0.255319	0.374531
</S>	0.044635	0.0429222	0.0451596	0.107684	0.18339	0.225997	0.350212
