 	notre	père	a	une	grande	paillotte	</S>
a66	0.437509	0.336316	0.129565	0.0545278	0.0216089	0.0102387	0.0102345
a87	0.555339	0.280762	0.12229	0.0292577	0.00714061	0.00270721	0.00250447
a23	0.489743	0.270619	0.124437	0.0512109	0.0245051	0.0184161	0.021069
a40	0.346536	0.214145	0.125415	0.0694158	0.0612265	0.0731678	0.110094
a47	0.493857	0.276462	0.105681	0.0459853	0.0300933	0.0213607	0.0265604
a36	0.35062	0.345544	0.21404	0.0581311	0.0174334	0.00743051	0.0068011
a0	0.256636	0.254504	0.248604	0.139761	0.0697817	0.0188384	0.0118748
a75	0.256936	0.219778	0.244969	0.145519	0.0760953	0.0331873	0.0235162
a5	0.240604	0.266282	0.280294	0.131308	0.0523829	0.0182591	0.0108702
a21	0.218891	0.187674	0.195563	0.131582	0.107865	0.0947068	0.0637178
a85	0.185197	0.160447	0.149148	0.120346	0.122875	0.150105	0.111883
a6	0.0557354	0.0788109	0.132787	0.156585	0.182273	0.18079	0.21302
a36	0.0511201	0.0590908	0.0844542	0.138169	0.183346	0.222449	0.26137
a85	0.0110091	0.0121529	0.0200343	0.0628129	0.151099	0.314668	0.428223
a92	0.00433072	0.00545908	0.0136234	0.0655205	0.17624	0.299303	0.435523
a5	0.00160549	0.00204745	0.00503971	0.0280925	0.117258	0.31282	0.533137
a12	0.00152514	0.00181767	0.00388159	0.0195728	0.1021	0.306355	0.564748
a96	0.000266811	0.000372231	0.00089175	0.00566209	0.0490956	0.257794	0.685918
a12	0.000407108	0.000561534	0.00129563	0.00612786	0.039474	0.226955	0.725179
a18	0.000493524	0.000721607	0.00171135	0.00795605	0.0426267	0.217582	0.728909
a82	0.000483226	0.000690011	0.0017933	0.00837497	0.0379456	0.22033	0.730383
a97	0.00912826	0.0102995	0.0155899	0.0394753	0.0903866	0.203095	0.632025
a87	0.14203	0.0924006	0.0668275	0.0828541	0.122649	0.175445	0.317793
a23	0.341832	0.253564	0.145408	0.0853318	0.0546064	0.0538315	0.065426
a87	0.0554514	0.0337329	0.0224258	0.0331283	0.0851685	0.336185	0.433908
a97	0.0056404	0.0037133	0.0033358	0.00910726	0.048237	0.340542	0.589424
</S>	0.0213811	0.0158373	0.0152368	0.0286735	0.0628571	0.275008	0.581006
