 	lekyéri	est	un	légume	au	goût	acide	</S>
a66	0.408065	0.135875	0.0631438	0.0377261	0.053458	0.079908	0.088552	0.133272
a10	0.404838	0.140646	0.112412	0.0554692	0.0374245	0.0363666	0.137709	0.0751343
a87	0.452093	0.2049	0.1357	0.031364	0.0242944	0.0226156	0.0727803	0.0562524
a23	0.3906	0.245543	0.193481	0.0445214	0.0204584	0.0181401	0.0547782	0.0324776
a62	0.611799	0.191734	0.12594	0.0222214	0.00889683	0.00921828	0.0201893	0.0100007
a47	0.68013	0.216913	0.0792939	0.0131911	0.00472049	0.00171787	0.00289376	0.00114031
a62	0.317818	0.251057	0.176323	0.111733	0.0478464	0.0300389	0.0387392	0.0264438
a21	0.110353	0.144688	0.172153	0.206157	0.142453	0.0840819	0.0794856	0.0606281
a12	0.0466166	0.0859936	0.152103	0.262519	0.176651	0.102409	0.0940737	0.0796338
a21	0.0228813	0.0232952	0.0531174	0.164492	0.243701	0.163114	0.154413	0.174986
a5	0.00282736	0.00179446	0.00513106	0.0417892	0.178297	0.234719	0.230156	0.305287
a12	0.000462316	0.000321617	0.000901695	0.00803457	0.0649022	0.175344	0.191272	0.558762
a75	5.64507e-05	6.12234e-05	0.000191067	0.00150161	0.0161859	0.092489	0.160424	0.729091
a5	0.000110222	0.000187274	0.000427362	0.00213657	0.0175567	0.0793427	0.117795	0.782444
a18	7.58042e-05	0.000135304	0.000363912	0.0016541	0.011347	0.0533839	0.107039	0.826001
a25	0.00015702	0.000350814	0.000611737	0.00182232	0.0104743	0.0425707	0.0925614	0.851452
a87	0.0156639	0.0179269	0.0171374	0.0217398	0.0546581	0.113183	0.177925	0.581767
a23	0.223689	0.175033	0.105675	0.04763	0.056578	0.0850297	0.121022	0.185343
a87	0.0338846	0.0473904	0.0415105	0.023687	0.0621076	0.133088	0.171656	0.486676
</S>	0.00624008	0.00960196	0.0168666	0.0167838	0.0713512	0.142756	0.180861	0.555539
