 	pourquoi	cet	enfant	s'	agite	comme	cela	</S>
a66	0.496638	0.209035	0.105726	0.0823715	0.0591539	0.0210286	0.0130261	0.0130214
a87	0.44178	0.272015	0.125867	0.0797697	0.0346915	0.0172178	0.0139007	0.0147576
a23	0.493974	0.294652	0.0995943	0.0405592	0.0208648	0.0162613	0.0159092	0.018185
a54	0.417911	0.230367	0.0811044	0.051172	0.0383577	0.0500741	0.0629769	0.0680362
a98	0.2387	0.226568	0.125303	0.108574	0.0941933	0.0771105	0.0669829	0.0625686
a92	0.285296	0.291515	0.160289	0.107504	0.0595547	0.0388689	0.0311536	0.0258194
a98	0.21998	0.260508	0.201783	0.144201	0.0787753	0.0433475	0.0286661	0.0227386
a85	0.167268	0.217141	0.225915	0.184647	0.103541	0.0483482	0.0305886	0.0225504
a92	0.109	0.131302	0.172036	0.184334	0.151941	0.101818	0.0799393	0.0696293
a37	0.13554	0.131228	0.149709	0.157417	0.138093	0.110375	0.0930611	0.0845764
a56	0.150051	0.157377	0.18141	0.167792	0.122262	0.0812901	0.071848	0.067969
a44	0.0794785	0.0820053	0.119755	0.161109	0.181001	0.139138	0.123371	0.114142
a90	0.0390344	0.0360537	0.0563877	0.100673	0.186115	0.202015	0.19789	0.181831
a92	0.0137287	0.0170859	0.0348381	0.0781552	0.180506	0.225547	0.227455	0.222684
a98	0.00510114	0.00716934	0.0156534	0.0385182	0.112327	0.221461	0.286718	0.313052
a79	0.00287759	0.00419251	0.00902333	0.0225653	0.0805196	0.218468	0.311936	0.350418
a56	0.00168738	0.00225646	0.00467802	0.0129327	0.0569575	0.210263	0.324786	0.386439
a43	0.00250443	0.00310635	0.00579281	0.0127753	0.0479539	0.163833	0.300642	0.463391
a11	0.00230741	0.00276368	0.00511561	0.0107654	0.044327	0.157521	0.279294	0.497905
a62	0.00124297	0.00169834	0.00396444	0.0113553	0.0537558	0.15121	0.270082	0.506691
a75	0.00308073	0.00317764	0.00568103	0.0151906	0.0711375	0.17877	0.274975	0.447988
a12	0.000728971	0.00129253	0.00253069	0.00698758	0.0324662	0.130574	0.284756	0.540664
a96	0.00119404	0.00169733	0.00323241	0.00729008	0.0310581	0.123781	0.27832	0.553427
a18	0.000815386	0.00118413	0.00255122	0.00813149	0.0509113	0.184672	0.313819	0.437915
a71	0.0126492	0.0122208	0.0190686	0.039076	0.125355	0.222557	0.271649	0.297424
a9	0.0372029	0.027986	0.0338739	0.0520706	0.131873	0.216055	0.241637	0.259302
a87	0.305272	0.175341	0.107948	0.0897027	0.101952	0.0871956	0.0715843	0.061005
a23	0.39067	0.237409	0.133395	0.0685242	0.054153	0.0449527	0.0373634	0.0335324
a87	0.189591	0.152876	0.106733	0.0782655	0.076747	0.101891	0.128625	0.165272
</S>	0.0225955	0.0233649	0.0251757	0.0296891	0.0524762	0.143889	0.279369	0.42344
