 	jésus	était	venu	pour	sauver	tout	le	monde	</S>
a66	0.167646	0.163893	0.170147	0.176521	0.121796	0.0805044	0.0481725	0.0383516	0.0329679
a82	0.190541	0.155057	0.142069	0.120838	0.0973716	0.0657104	0.063876	0.0776018	0.0869353
a3	0.601801	0.162591	0.0733211	0.0434315	0.028233	0.0178479	0.0186863	0.023318	0.030771
a82	0.548143	0.164184	0.0802887	0.0576866	0.0419919	0.0274525	0.0242251	0.0254431	0.0305856
a38	0.459344	0.168249	0.0864455	0.0637205	0.047746	0.0402324	0.0388383	0.0439309	0.0514929
a62	0.360837	0.163691	0.0877325	0.0672025	0.0585744	0.0586112	0.0602733	0.0711584	0.07192
a21	0.446927	0.222581	0.110022	0.0691061	0.0400259	0.0296731	0.0281502	0.0266851	0.0268297
a47	0.428831	0.252879	0.11601	0.0687932	0.0377419	0.0249168	0.022474	0.0227945	0.0255597
a31	0.357311	0.23191	0.120713	0.080703	0.0463892	0.0352444	0.03556	0.041091	0.051078
a75	0.327738	0.246652	0.142369	0.0978403	0.0508665	0.0347357	0.030347	0.0316797	0.0377718
a85	0.270285	0.23619	0.148988	0.11392	0.0695836	0.0464925	0.0360791	0.0365625	0.0418994
a5	0.234321	0.199758	0.161386	0.137636	0.0899861	0.0614403	0.0402235	0.0362528	0.0389968
a21	0.240651	0.206791	0.170658	0.1362	0.085097	0.0539041	0.0383665	0.0330383	0.0352941
a85	0.163288	0.174217	0.173999	0.157335	0.105668	0.0715115	0.0530834	0.0475736	0.0533241
a6	0.0741528	0.0818474	0.117827	0.14758	0.151708	0.135565	0.103998	0.0895917	0.0977305
a37	0.0499125	0.0574195	0.114023	0.156381	0.150655	0.109425	0.100683	0.109528	0.151973
a24	0.051875	0.045889	0.0885192	0.136349	0.151469	0.109571	0.102072	0.121742	0.192513
a61	0.0649104	0.0541578	0.0877921	0.119632	0.137916	0.118291	0.100905	0.117197	0.199199
a90	0.062477	0.0561942	0.0933545	0.131691	0.167167	0.133911	0.102096	0.0999814	0.153127
a56	0.0303312	0.0263434	0.050631	0.0818093	0.134947	0.135945	0.13215	0.156421	0.251423
a35	0.0275763	0.0256858	0.0521409	0.0750589	0.114227	0.132772	0.1402	0.163042	0.269297
a61	0.0165763	0.0134729	0.0271845	0.045875	0.0909257	0.115221	0.138074	0.203028	0.349642
a43	0.0204193	0.0169417	0.0338109	0.0494768	0.0798117	0.104578	0.136894	0.192385	0.365684
a75	0.0169941	0.0137504	0.0241926	0.0339061	0.0550637	0.0797187	0.135528	0.220039	0.420807
a85	0.00931835	0.00752138	0.0145647	0.0253731	0.0574733	0.0862113	0.136573	0.241313	0.421652
a36	0.00791019	0.00628207	0.0116122	0.0199373	0.0482029	0.081486	0.14591	0.262986	0.415674
a47	0.0181085	0.0111673	0.0160591	0.016407	0.0295194	0.0479919	0.10952	0.252305	0.498922
a85	0.00832704	0.00552059	0.00917737	0.011468	0.0239885	0.043698	0.11491	0.27204	0.510871
a36	0.00620915	0.00409577	0.00729281	0.0103568	0.0261435	0.0505045	0.12386	0.28862	0.482917
a26	0.0135403	0.00893962	0.0116909	0.0105325	0.0208051	0.0379379	0.101093	0.252344	0.543117
a2	0.0663565	0.0415458	0.0408471	0.0315503	0.0555651	0.0787708	0.122056	0.209281	0.354028
a57	0.134186	0.0736158	0.0635459	0.0481371	0.0766877	0.0923816	0.109959	0.161574	0.239912
a82	0.217314	0.102769	0.0756996	0.0553533	0.084983	0.089153	0.103503	0.127243	0.143981
a97	0.185709	0.095577	0.0735308	0.0586029	0.0987826	0.0974273	0.11272	0.133137	0.144514
a82	0.171612	0.0827562	0.0652984	0.0597099	0.112401	0.0965113	0.110827	0.136308	0.164576
a87	0.184966	0.093519	0.0783727	0.073782	0.12308	0.0920212	0.0989342	0.115676	0.139649
</S>	0.143892	0.0846036	0.0800355	0.0767884	0.120269	0.095213	0.104638	0.129088	0.165472
