 	le	chef	ne	tient	pas	compte	de	certaines	lois	</S>
a15	0.327717	0.183579	0.130194	0.0953684	0.0677012	0.0468139	0.0382966	0.0405617	0.0363022	0.0334661
a66	0.236937	0.139886	0.107391	0.0924138	0.0746583	0.052402	0.0466924	0.0656997	0.0803691	0.10355
a87	0.465572	0.220671	0.0896074	0.0490476	0.0251156	0.0151318	0.013804	0.0198661	0.0298759	0.0713083
a23	0.452143	0.229735	0.0962754	0.0500164	0.0244823	0.0169696	0.0154485	0.0225058	0.0328646	0.0595589
a13	0.445937	0.234626	0.102499	0.0631435	0.0362633	0.0259417	0.0167807	0.0175933	0.0179479	0.0392676
a9	0.371514	0.209277	0.116126	0.0667375	0.0433707	0.0395111	0.0331212	0.0301227	0.0321207	0.0580986
a57	0.258216	0.215936	0.153635	0.0894675	0.0606204	0.0581425	0.0460028	0.0371451	0.0325664	0.0482683
a4	0.217813	0.193663	0.152953	0.0955141	0.0676449	0.0677144	0.0560682	0.0463288	0.0429348	0.0593659
a13	0.174192	0.185222	0.162232	0.130141	0.088357	0.0696421	0.0513989	0.0472988	0.0435132	0.0480021
a70	0.140496	0.164554	0.165447	0.152864	0.0966284	0.06853	0.0534163	0.0510976	0.049287	0.0576798
a54	0.0966666	0.130852	0.157105	0.159958	0.0998691	0.0702902	0.0606942	0.0620186	0.0728712	0.089675
a41	0.0753129	0.104277	0.138676	0.136752	0.0961914	0.0708629	0.0659986	0.0689269	0.0965674	0.146435
a37	0.0447896	0.0683196	0.106957	0.118275	0.0818431	0.0621485	0.0678104	0.078377	0.138606	0.232873
a96	0.0297952	0.0482312	0.0941944	0.13569	0.109999	0.0814535	0.0767033	0.0850962	0.132901	0.205936
a94	0.023499	0.0362684	0.0768498	0.132659	0.127733	0.0972119	0.0855672	0.0932594	0.132156	0.194798
a54	0.0267731	0.0378868	0.073594	0.131109	0.140418	0.10852	0.0847122	0.0875221	0.123355	0.18611
a37	0.0197293	0.0278715	0.0471111	0.0715672	0.0913676	0.100385	0.106304	0.117046	0.172945	0.245674
a26	0.0225687	0.0287761	0.0460937	0.0690103	0.0888172	0.107272	0.105904	0.114804	0.16229	0.254463
a7	0.0215513	0.0261631	0.0393847	0.0576144	0.0667112	0.0858747	0.0941344	0.109758	0.163934	0.334874
a44	0.0161586	0.0203225	0.0318487	0.0443033	0.0509529	0.0783982	0.103131	0.120293	0.173612	0.36098
a66	0.0181904	0.0208995	0.0306653	0.0428375	0.0491303	0.0765621	0.101813	0.121378	0.170019	0.368505
a13	0.0128866	0.0135185	0.0177683	0.0271892	0.0366488	0.063013	0.10504	0.138578	0.185932	0.399426
a66	0.0134232	0.0131	0.0161025	0.0243906	0.036779	0.0662198	0.118366	0.157112	0.192939	0.361568
a9	0.00892269	0.0073787	0.00797269	0.0104682	0.0162093	0.0340243	0.0836726	0.137525	0.246149	0.447677
a97	0.0108548	0.00849657	0.0080909	0.00861117	0.0106229	0.0208222	0.0526464	0.0985379	0.278257	0.50306
a87	0.197595	0.0959263	0.0533551	0.0363321	0.0300577	0.0442045	0.0534599	0.0765043	0.160722	0.251843
a23	0.223286	0.129371	0.0683495	0.042286	0.0342719	0.0420151	0.0532169	0.0871861	0.152046	0.167971
a87	0.180195	0.0902442	0.0551974	0.0386348	0.0329668	0.0592906	0.0878423	0.109778	0.151354	0.194496
</S>	0.0587779	0.0376067	0.0270572	0.0209111	0.022373	0.0448284	0.0857709	0.126486	0.220749	0.355439
