 	il	a	mangé	la	partie	dure	des	fesses	d'	un	singe	</S>
a66	0.313009	0.250166	0.16142	0.088543	0.0635322	0.0540618	0.0223595	0.00855189	0.00785404	0.00766994	0.00991768	0.0129148
a87	0.281655	0.254036	0.154726	0.107781	0.0805276	0.0702169	0.0168067	0.00536748	0.00607985	0.0059702	0.00785666	0.00897747
a23	0.438652	0.222079	0.122399	0.077404	0.0463207	0.0277376	0.0115297	0.00892559	0.00847549	0.00910152	0.0119482	0.0154276
a53	0.229127	0.13193	0.0977119	0.0724542	0.0529862	0.043583	0.0217923	0.0203418	0.0426608	0.0627545	0.10227	0.122388
a54	0.277516	0.208106	0.155467	0.104139	0.087012	0.0781383	0.023867	0.0105688	0.012406	0.0135274	0.0142355	0.015017
a6	0.0927129	0.139012	0.196822	0.159529	0.141088	0.118394	0.0338323	0.0176782	0.020765	0.0243608	0.0263053	0.0295
a36	0.0793039	0.127691	0.213963	0.189564	0.151112	0.139394	0.0365074	0.0162804	0.0160984	0.0133664	0.00867556	0.00804331
a21	0.0831892	0.119571	0.198644	0.191712	0.136389	0.119505	0.0380605	0.0324194	0.0278212	0.0235343	0.0151864	0.0139676
a85	0.0914126	0.11879	0.148809	0.163566	0.128458	0.139022	0.0583179	0.0506258	0.0374653	0.0263601	0.018665	0.0185076
a47	0.0280938	0.0497575	0.0938856	0.136822	0.12511	0.163266	0.134348	0.111687	0.0644955	0.042366	0.0259048	0.0242635
a37	0.0405515	0.0553243	0.0770354	0.100639	0.113357	0.174754	0.119677	0.105726	0.0752611	0.0582599	0.0402556	0.039158
a85	0.0534625	0.0584291	0.0743273	0.100037	0.127428	0.166053	0.102399	0.0880644	0.0681845	0.0579702	0.0513947	0.0522499
a6	0.0200777	0.0228019	0.029922	0.0376774	0.0593165	0.0947267	0.121228	0.125158	0.138303	0.133408	0.110261	0.107119
a47	0.0202291	0.0203538	0.0276589	0.0343122	0.0541067	0.0961536	0.136581	0.135689	0.136076	0.127138	0.108538	0.103164
a6	0.00801093	0.00651854	0.00797037	0.00849504	0.0137161	0.0251733	0.0653961	0.123932	0.183094	0.20442	0.172553	0.180722
a36	0.00650048	0.00445889	0.0046217	0.00491117	0.00826452	0.0144282	0.0474013	0.119986	0.178419	0.226817	0.192487	0.191706
a27	0.00652696	0.00437921	0.00433407	0.00370049	0.00531462	0.00682084	0.0170706	0.0678991	0.135472	0.20281	0.249342	0.29633
a47	0.00922113	0.00594581	0.00445982	0.00258504	0.00250164	0.00169208	0.00564467	0.0214312	0.0490195	0.109585	0.261174	0.52674
a96	0.00489708	0.00314808	0.0027452	0.00220131	0.0030923	0.00340272	0.0158711	0.0584091	0.133299	0.175936	0.237201	0.359797
a37	0.00274114	0.0021846	0.0021374	0.00192811	0.00284387	0.0037945	0.0138594	0.0534708	0.121024	0.159059	0.237698	0.399259
a26	0.00222639	0.00181207	0.00151299	0.00125848	0.00199534	0.00280373	0.0133233	0.0391215	0.0847287	0.131939	0.240886	0.478392
a82	0.04707	0.0326824	0.0251219	0.0145703	0.0141555	0.0104066	0.0266645	0.0499127	0.09008	0.148499	0.211562	0.329276
a87	0.239029	0.127028	0.0734536	0.0440399	0.0373017	0.0271153	0.0465166	0.0621623	0.0762382	0.0842502	0.0829903	0.0998744
a23	0.347165	0.207107	0.12324	0.0811797	0.0549689	0.0358818	0.0321586	0.0268426	0.026665	0.0236462	0.0199749	0.0211707
a87	0.13295	0.071155	0.0352843	0.023801	0.0176486	0.0190215	0.0500642	0.1172	0.126114	0.128611	0.132654	0.145496
</S>	0.0184076	0.0103268	0.00608284	0.00447241	0.00356194	0.00464928	0.0205121	0.0836455	0.105778	0.170466	0.261196	0.310902
