 	la	roussette	est	accrochée	sur	une	branche	d'	arbre	</S>
a57	0.355366	0.106669	0.0832264	0.0904313	0.112523	0.119687	0.0599269	0.0264549	0.0228196	0.0228963
a30	0.298994	0.276759	0.143598	0.0940894	0.0587919	0.0301711	0.016194	0.020009	0.0264513	0.0349418
a10	0.215145	0.388503	0.130191	0.0769531	0.0467997	0.0247697	0.0133072	0.0168731	0.0333646	0.0540936
a87	0.302235	0.302664	0.125186	0.0989977	0.0491499	0.0274482	0.0164841	0.0174987	0.0234652	0.0368714
a23	0.317438	0.286695	0.110095	0.07657	0.0498896	0.0341046	0.0198588	0.021883	0.0310815	0.0523842
a62	0.188839	0.308258	0.152772	0.113731	0.0447022	0.0253388	0.0208317	0.0277946	0.0423692	0.0753642
a21	0.356825	0.259781	0.129822	0.077769	0.0373611	0.0317054	0.0275439	0.0242178	0.0254077	0.0295673
a12	0.380347	0.291431	0.15217	0.0757618	0.041175	0.0226883	0.0127471	0.00847839	0.00769392	0.007507
a21	0.303963	0.34257	0.171425	0.0869358	0.0434339	0.0188188	0.00994739	0.00684636	0.00757091	0.00848926
a12	0.230487	0.327761	0.20152	0.111628	0.0531953	0.02494	0.0138109	0.0102527	0.0119736	0.0144314
a21	0.226122	0.296539	0.200346	0.136072	0.0660669	0.0258906	0.0132869	0.00979816	0.0115029	0.0143762
a47	0.133779	0.231665	0.224145	0.183271	0.0983918	0.05412	0.0255982	0.0132408	0.0153014	0.0204887
a21	0.0506859	0.170278	0.222183	0.223761	0.139094	0.0823055	0.0401555	0.0219061	0.022491	0.0271402
a12	0.0300873	0.112976	0.208732	0.279743	0.16747	0.0921916	0.0377895	0.0198647	0.022088	0.029058
a18	0.0125282	0.073715	0.176725	0.246333	0.196188	0.123141	0.0569862	0.0314166	0.0349382	0.0480281
a75	0.00736317	0.0338321	0.0775777	0.165832	0.19481	0.18476	0.0836381	0.0518334	0.076705	0.123649
a5	0.00703738	0.0339243	0.0750637	0.141264	0.15328	0.15858	0.131554	0.08695	0.0907114	0.121634
a21	0.00863562	0.0466852	0.0958018	0.144531	0.168726	0.159021	0.096511	0.0595441	0.0837344	0.136809
a5	0.00888228	0.0297346	0.0681748	0.127652	0.151781	0.151014	0.117855	0.0842328	0.103335	0.157339
a23	0.00815243	0.0225792	0.0448232	0.0632875	0.0767918	0.108676	0.123838	0.0984687	0.156733	0.296651
a21	0.00440294	0.0139678	0.0249688	0.0370423	0.0463101	0.0796315	0.126326	0.104149	0.181998	0.381203
a85	0.0053547	0.0115494	0.0209442	0.034061	0.0522793	0.0960628	0.165864	0.137763	0.190015	0.286106
a5	0.00161912	0.00618034	0.00972893	0.0153655	0.0229959	0.0574368	0.167719	0.155582	0.21799	0.345382
a61	0.00386964	0.011579	0.0164227	0.0226189	0.0266291	0.0562459	0.181265	0.183604	0.204281	0.293485
a66	0.00238946	0.00905397	0.0127015	0.0180364	0.0194046	0.0368311	0.133633	0.189471	0.243036	0.335443
a18	0.00116586	0.00245661	0.0021388	0.00297296	0.0025846	0.00645641	0.0353558	0.112829	0.294825	0.539215
a90	0.00644862	0.00669024	0.00634042	0.00535166	0.00520373	0.0116119	0.0515099	0.133171	0.285853	0.48782
a25	0.000358513	0.00147309	0.00147921	0.00213521	0.00240792	0.00588944	0.0257062	0.100737	0.287264	0.57255
a15	0.000134315	0.000783838	0.000696788	0.00122896	0.00139597	0.00372902	0.0187482	0.0808225	0.269058	0.623403
a7	0.000316153	0.00112117	0.000959035	0.00147967	0.00158901	0.00411194	0.0153862	0.0709007	0.256494	0.647642
a84	0.00212094	0.00331935	0.00271746	0.00267392	0.00262534	0.00697043	0.0287201	0.100738	0.265516	0.584599
a87	0.0181343	0.018976	0.0214936	0.012084	0.0179714	0.0382224	0.0927652	0.143645	0.237586	0.399123
a23	0.220141	0.158439	0.105425	0.0520728	0.0538388	0.0536449	0.0594669	0.0743099	0.0898141	0.132848
a97	0.038107	0.0509732	0.0273681	0.0150669	0.0134796	0.0180932	0.0406081	0.138111	0.280307	0.377886
</S>	0.00611335	0.0163219	0.01111	0.00852285	0.00815395	0.0142387	0.0394782	0.126525	0.291462	0.478074
