 	il	a	accroché	son	chapeau	au	bout	du	piquet	</S>
a23	0.162675	0.154303	0.133676	0.144481	0.10211	0.0807168	0.0732067	0.0549492	0.0461664	0.0477167
a87	0.306442	0.223482	0.107282	0.0709326	0.0357323	0.0343791	0.0421154	0.0438675	0.0528817	0.0828859
a23	0.193496	0.178764	0.124988	0.0890074	0.0464996	0.0434199	0.0525276	0.0626391	0.0853887	0.12327
a20	0.197932	0.137871	0.0613156	0.0291288	0.0148568	0.0254857	0.0501166	0.0878469	0.137317	0.258129
a30	0.385242	0.150678	0.0514237	0.034517	0.0235254	0.0310485	0.0546901	0.0625259	0.0989076	0.107442
a35	0.44522	0.246297	0.085679	0.0609572	0.0243162	0.0245501	0.030854	0.0274447	0.0310055	0.0236754
a24	0.398503	0.247886	0.104454	0.0730121	0.0295587	0.0262142	0.0310555	0.0296638	0.0348657	0.0247873
a25	0.330286	0.239835	0.130596	0.098424	0.0417556	0.0328055	0.033506	0.0304837	0.0348986	0.0274099
a38	0.20369	0.217162	0.189945	0.147794	0.0547165	0.0406368	0.0387076	0.035449	0.0373126	0.034587
a41	0.149024	0.164875	0.180857	0.16832	0.0776397	0.0519764	0.048147	0.0488848	0.0522784	0.0579977
a35	0.115409	0.142498	0.179361	0.176893	0.0941956	0.0581638	0.05368	0.0539141	0.0579753	0.0679096
a26	0.100187	0.127757	0.162599	0.175437	0.123876	0.0711107	0.0603803	0.0542048	0.056377	0.0680712
a41	0.0830777	0.102509	0.154576	0.174015	0.13491	0.0875367	0.0737948	0.0596119	0.0577069	0.0722609
a25	0.0978897	0.118896	0.141357	0.148474	0.125791	0.0965496	0.0838363	0.0623061	0.0624021	0.0624978
a76	0.0895822	0.115455	0.134224	0.140393	0.119761	0.0832389	0.0728548	0.0742337	0.0728132	0.0974439
a90	0.0391303	0.0596345	0.0996737	0.139302	0.149369	0.113541	0.103552	0.100898	0.0899613	0.104939
a57	0.0483155	0.0603453	0.100579	0.135023	0.139436	0.124653	0.124582	0.09667	0.0865557	0.083841
a38	0.0282423	0.0353507	0.0662717	0.0983697	0.119033	0.126505	0.142476	0.132626	0.124899	0.126227
a75	0.0212253	0.0229841	0.0437864	0.0705274	0.102951	0.114865	0.144635	0.154586	0.156792	0.167647
a73	0.0199766	0.020743	0.0404336	0.0739464	0.123252	0.129735	0.150958	0.155672	0.142195	0.143088
a76	0.0223491	0.0210918	0.0334725	0.0569579	0.0991518	0.122405	0.151111	0.166548	0.158182	0.168731
a73	0.0296651	0.0252526	0.0346523	0.0591983	0.113974	0.128443	0.142798	0.151169	0.13621	0.178638
a35	0.0117927	0.0105511	0.0146504	0.0253355	0.0514312	0.0803709	0.120636	0.182781	0.224364	0.278089
a24	0.0132191	0.00980983	0.0118543	0.0185504	0.0404479	0.0661149	0.103905	0.184198	0.234536	0.317364
a25	0.0102925	0.00852215	0.0108559	0.0150664	0.0296665	0.0494659	0.0824206	0.15776	0.246081	0.389869
a11	0.00757933	0.00566537	0.00726799	0.0107857	0.0227221	0.0452558	0.0837511	0.165342	0.236621	0.41501
a26	0.00661889	0.00540743	0.00864792	0.0118553	0.022428	0.0407109	0.0775125	0.160696	0.221582	0.444541
a24	0.00663623	0.00537529	0.00724764	0.00920781	0.0177292	0.0317565	0.0616936	0.138992	0.208937	0.512425
a9	0.00623613	0.00525338	0.00673224	0.00832451	0.0183422	0.0316838	0.0608567	0.131406	0.209958	0.521207
a87	0.00900027	0.0091968	0.0134658	0.0133785	0.0233458	0.0438011	0.082904	0.165063	0.232762	0.407083
</S>	0.004918	0.00496152	0.00829942	0.0123209	0.0277084	0.0466609	0.0772196	0.168964	0.225883	0.423064
