 	ce	fou	nous	fait	rire	</S>
a87	0.423766	0.281312	0.18764	0.0582529	0.0260759	0.0229527
a23	0.455665	0.228421	0.140544	0.0811872	0.0474176	0.0467654
a62	0.351828	0.284513	0.180329	0.0766613	0.0456381	0.0610309
a70	0.528366	0.280415	0.116443	0.0339046	0.0202641	0.0206074
a44	0.512198	0.289929	0.135026	0.032066	0.0160206	0.0147606
a90	0.436611	0.265294	0.162089	0.0633208	0.0367709	0.0359147
a76	0.318623	0.241879	0.166402	0.0925925	0.0832378	0.0972653
a98	0.21724	0.228574	0.169844	0.119917	0.128079	0.136345
a5	0.212363	0.225403	0.155199	0.111276	0.140713	0.155046
a47	0.214643	0.249558	0.188463	0.114795	0.117716	0.114826
a21	0.171973	0.214259	0.176627	0.128309	0.159704	0.149129
a18	0.226338	0.226104	0.167726	0.115674	0.133429	0.130729
a47	0.0696055	0.1104	0.139812	0.20792	0.233976	0.238287
a88	0.107109	0.130512	0.1332	0.183568	0.219456	0.226155
a0	0.0395846	0.0493336	0.0675492	0.217449	0.33306	0.293024
a21	0.026727	0.0320807	0.0412666	0.163045	0.313655	0.423225
a18	0.0183485	0.0214982	0.0335674	0.157335	0.351365	0.417885
a31	0.00592954	0.00749171	0.0119793	0.0806982	0.334054	0.559847
a0	0.00328126	0.00412878	0.00754413	0.0597456	0.313416	0.611884
a10	0.00205103	0.00262476	0.00594405	0.0532635	0.281462	0.654654
a9	0.00714676	0.00627289	0.00962409	0.0563326	0.28994	0.630683
a87	0.047475	0.0352922	0.0478324	0.134358	0.302539	0.432503
a23	0.115003	0.100386	0.104762	0.179616	0.231479	0.268755
a87	0.0431138	0.0310585	0.0409064	0.129587	0.282535	0.4728
</S>	0.00724821	0.0101134	0.0224126	0.0952352	0.295476	0.569514
