 	on	se	lave	là-bas	à	l'	entrée	du	village	</S>
a66	0.521492	0.248891	0.0874921	0.023712	0.0178692	0.0179104	0.0196346	0.0241957	0.0195937	0.0192099
a87	0.358784	0.195865	0.0971689	0.0579325	0.0636936	0.0686141	0.0437464	0.0439338	0.0332738	0.036988
a23	0.331395	0.172608	0.127175	0.0779325	0.0656877	0.0491663	0.0354168	0.0416649	0.0460788	0.0528756
a99	0.197844	0.12448	0.118279	0.104669	0.0887718	0.068291	0.0445029	0.0549068	0.0771397	0.121117
a71	0.275044	0.193312	0.12568	0.0601178	0.0497141	0.0460997	0.0386235	0.0487258	0.063363	0.0993201
a27	0.29917	0.253753	0.182022	0.0899396	0.0473419	0.0320034	0.0232702	0.0217841	0.0209603	0.0297542
a94	0.288805	0.23589	0.164815	0.102711	0.0587755	0.0384749	0.0258153	0.0248258	0.0247346	0.0351518
a44	0.229831	0.251568	0.198299	0.148167	0.0836083	0.0409218	0.0153746	0.0106631	0.00957957	0.0119889
a34	0.145684	0.177727	0.197641	0.200235	0.139622	0.0674554	0.0231061	0.0159545	0.0149537	0.0176209
a61	0.0935508	0.127793	0.196686	0.186349	0.161179	0.108653	0.0477631	0.0308163	0.023309	0.0239
a18	0.0669694	0.0801673	0.132795	0.14672	0.157946	0.148996	0.0972358	0.0684624	0.0494654	0.0512436
a61	0.018227	0.0265303	0.0640787	0.108067	0.134923	0.166105	0.153369	0.131827	0.0962299	0.100642
a34	0.0355821	0.0412773	0.0645829	0.0684181	0.0812238	0.116341	0.186333	0.183601	0.118022	0.104618
a56	0.0182555	0.0179308	0.022329	0.0288017	0.0396306	0.0720636	0.179101	0.235235	0.19743	0.189222
a92	0.00398302	0.00353797	0.00412181	0.00746349	0.0137115	0.0365681	0.130476	0.240907	0.279634	0.279596
a98	0.00131206	0.0014174	0.0023545	0.0071176	0.0146594	0.039431	0.123881	0.249813	0.295566	0.264449
a15	0.00262731	0.00349275	0.00491998	0.0101658	0.0163061	0.0350963	0.0959617	0.181721	0.291152	0.358557
a7	0.000301465	0.000315365	0.000494631	0.00191974	0.00419734	0.0118856	0.0640339	0.169553	0.329801	0.417499
a44	0.000602264	0.000553402	0.000689156	0.00227827	0.00558337	0.0148194	0.0677517	0.152895	0.301084	0.453743
a4	0.000822534	0.000681997	0.00082662	0.00264281	0.00571271	0.0126311	0.0547015	0.134488	0.306989	0.480504
a57	0.000631666	0.000460641	0.0005478	0.00267449	0.00602582	0.01441	0.0604832	0.141397	0.301433	0.471937
a3	0.00282903	0.00146525	0.000954832	0.0019454	0.00395009	0.011916	0.0649432	0.14793	0.305431	0.458635
a87	0.169869	0.0712808	0.045937	0.0404813	0.0488961	0.0696884	0.0996672	0.120411	0.152728	0.181041
a23	0.241196	0.170693	0.158857	0.111949	0.0952559	0.0716311	0.0440888	0.0402664	0.0346089	0.0314542
a99	0.038615	0.0209879	0.016617	0.0152503	0.0250791	0.0506836	0.0665798	0.127064	0.267979	0.371144
a97	0.0190295	0.0127527	0.0153177	0.0165732	0.0251446	0.0386337	0.0514312	0.112855	0.277769	0.430493
</S>	0.00564855	0.0053564	0.010539	0.0148447	0.0234756	0.0330598	0.0502606	0.115815	0.288163	0.452837
